database_identifier	chemical_formula	smiles	inchi	metabolite_identification	mass_to_charge	fragmentation	modifications	charge	retention_time	taxid	species	database	database_version	reliability	uri	search_engine	search_engine_score	smallmolecule_abundance_sub	smallmolecule_abundance_stdev_sub	smallmolecule_abundance_std_error_sub	FeInt_T1_B1	FeInt_T1_B2	FeInt_T1_B3	FeInt_T1_B4	FeLim_T1_B1	FeLim_T1_B2	FeLim_T1_B3	FeLim_T1_B4	FeLim_T2_B1	FeLim_T2_B2	FeLim_T2_B3	FeLim_T2_B4	FeLim_T3_B1	FeLim_T3_B2	FeLim_T3_B3	FeLim_T3_B4	Blank_1	Blank_2	Blank_3	Blank_4	Stnd-100nMb	Stnd-250nMb	Stnd-500nMb	Stnd-1000nMb	Stnd-2500nMb	Stnd-5000nMb	Stnd-7500nMb	Stnd-10uMb
CHEBI:24265	C6H11O7			Gluconate	195.05103				5.61	NCBITaxon_303	Pseudomonas putida										504070.25	424733.625	101100.7422	150117.2031	159794.7813	197288.2969	133149.0781	168470.1563	144899.8906	140866.75	227089.7656	230288.1719	49354.9688	72799.9375	72985.2422	71654.9375	409029.0313	672491.0625	308162.5313	412179.4688	2382123.25	5342395.5	11893705	24171274	62042000	110425672	224428816	280893376
CHEBI:4170	C6H13O9P			Glucose 6-phosphate	259.02244				7.32	NCBITaxon_303	Pseudomonas putida										137508.5625	82200.0313	47118.9492	75857.1875	547084.8125	550000.8125	484275.2813	490885.4688	1803191.125	1427454.0	1688007.375	1611315.125	18997.6582	9397.5889	125169.2266	17315.9863	18997.6582	9397.5889	125169.2266	17315.9863	2899010	7744996.5	15706317			143355600	213183248	274077824
CHEBI:78697	C6H13O9P			Fructose 6-phosphate	259.02244				7.59	NCBITaxon_303	Pseudomonas putida										57282.3906	51170.5977	20498.2578	18150.9883	124387.4375	134308.1406	136433.4219	137480.3438	411089.8438	372772.5938	228471.3125	219804.25	35435.3789	33286.4609	50037.6289	47269.2695	13485.6768	13859.0547	13714.0547		4374116.5	8801495	20427524	47488684	123902072	214187136	304605344	357815808
CHEBI:48928	C6H13O10P			6-phosphogluconic acid	275.01736				12.7	NCBITaxon_303	Pseudomonas putida										465107.0938	279304.8125	190583.9531	139205.4844	963249.4375	814231.9375	527948.5	410983.5938	332527.3125	266832.625	251592.4375	202794.25	21531.1895	10571.9092	11350.3164	16685.9902	84792.8984	148015.1094	65034.6992	77852.6484	750975.3125	1420457.125	2995345.25	7404901.5	21899794	49497860	81750456	111027584
CHEBI:16108	C3H7O6P			Dihydroxyacetone phosphate	169.99802				9.02	NCBITaxon_303	Pseudomonas putida										30747.0293	53389.457	8699.7832	18270.3633	110783.1641	100098.1797	67396.2422	97652.6875	313747.75	178534.1719	240857.8125	125049.4375	2239.28	2772.9453		2388.0847		10944.4414		10271.1055	262517.9688	558202.8125	1054073	2865201.25	5999372	13117543	20734724	29219942
CHEBI:17050	C3H7O7P	OC(COP(O)(O)=O)C(O)=O	InChI=1S/C3H7O7P/c4-2(3(5)6)1-10-11(7,8)9/h2,4H,1H2,(H,5,6)(H2,7,8,9)	3-phosphoglyceric acid	184.98566				12.79	NCBITaxon_303	Pseudomonas putida										145522.9531	298219.5	163868.875	483180.2188	42834.1367	29497.5215	49766.3242	180536.3906	226256.0625	312849.625	398852.25	448416.0938	93754.9141	52838.8008	89103.5703	51909.8945	113869.4766	119922.3516	73205.2813	67371.4922	863605.6875	2109602.5	5129361	13585793	41553304	94461272	162436992	223874880
CHEBI:18021	C3H4O6P			Phosphoenolpyruvate	166.9751				12.95	NCBITaxon_303	Pseudomonas putida										581129.5625	1738288.0	768691.6875	1591282.125	44010.9883	109625.1016	377718.9063	720795.5	1539433.5	2103062.0	1760375.625	1836963.375	97047.1563	161750.6875	164576.3906	144321.7969	60616.2813	32773.832	47750.75	42529.1055	1440471.625	3664455.25	9032608	25540250	57293344	103229928	139620624	210484144
CHEBI:15361	C3H3O3			Pyruvate	87.00877				8.81	NCBITaxon_303	Pseudomonas putida										310662.6563	496623.375	368481.0	823653.6875	2108489.0	1459096.875	956294.5	1622138.375	2628831.0	2602605.0	4582510.5	5814735.5	253873.6094	564979.3125	477674.75	262200.6563	1223656.5	1126724.5	841451.1875	1149894.875	1897493	4333927.5	8627851	14612961	32849598	64812528	95992032	125243264
CHEBI:17053	C4H7NO4			Aspartic acid	132.030324				4.64	NCBITaxon_303	Pseudomonas putida										631374.3125	666918.9375	358587.0313	190532.2969	1391529.375	514116.125	1024434.063	1112804.375	971403.8125	692828.6875	809708.5	604416.5625	200954.7969	248809.4531	179802.9531	116646.4375	52516.1992	36341.3086	15168.5654	32414.5469	707916.75	1752338.125	3253741.25	7650860	17553550	31685318	46321408	66853076
CHEBI:25115	C4H6O5			Malate	115.00368				12.39	NCBITaxon_303	Pseudomonas putida										475806.9688	764433.0625	662481.5	817671.5	723701.9375	958620.3125	1161828.875	1429615.0	3077622.75	2983671.25	1662078.625	1391065.875	1137630.625	890230.0625	1141535.0	782967.0	1024532.5	1011599.813	1028091.188	871567.1875	7128645.5	15054028	30454648	71721440	128526120	235751360	332606560	407393568
