mondo_id	mondo_label	in_mondo_smd_subtree	monarch_causal_genes	omim_ids	omim_titles	omim_phenotypic_series	orphanet_ids
MONDO:0007987	Kniest dysplasia	yes	COL2A1	OMIM:156550	Kniest dysplasia		Orphanet:485
MONDO:0008476	spondyloepimetaphyseal dysplasia, Strudwick type	yes	COL2A1	OMIM:184250	Spondylometaphyseal dysplasia | Spondyloepimetaphyseal dysplasia, Strudwick type		Orphanet:93346
MONDO:0008477	spondylometaphyseal dysplasia, Kozlowski type	yes	TRPV4	OMIM:184252	Spondylometaphyseal dysplasia, Kozlowski type		Orphanet:93314
MONDO:0008478	spondylometaphyseal dysplasia, Schmidt type	yes	COL2A1	OMIM:184253	Spondylometaphyseal dysplasia, Schmidt type		Orphanet:93316
MONDO:0008479	spondylometaphyseal dysplasia, 'corner fracture' type	yes	FN1	OMIM:184255	Spondylometaphyseal dysplasia - Sutcliffe type		Orphanet:93315
MONDO:0009593	spondylometaphyseal dysplasia, Sedaghatian type	yes	GPX4	OMIM:250220	Spondylometaphyseal dysplasia, Sedaghatian type		Orphanet:93317
MONDO:0010738	spondylometaphyseal dysplasia, Golden type	yes		OMIM:313420	Spondylometaphyseal dysplasia, Golden type		Orphanet:168544
MONDO:0011211	axial spondylometaphyseal dysplasia	yes	CFAP410	OMIM:602271	Axial spondylometaphyseal dysplasia		Orphanet:168549
MONDO:0011856	spondylometaphyseal dysplasia-bowed forearms-facial dysmorphism syndrome	yes		OMIM:607543	Spondylometaphyseal dysplasia-bowed forearms-facial dysmorphism syndrome		Orphanet:168552
MONDO:0011939	Spondyloenchondrodysplasia with immune dysregulation	yes	ACP5	OMIM:271550,OMIM:607944	Spondyloenchondrodysplasia with immune dysregulation		Orphanet:1855,Orphanet:50816
MONDO:0012160	spondylometaphyseal dysplasia-cone-rod dystrophy syndrome	yes	PCYT1A	OMIM:608940	Spondylometaphyseal dysplasia-cone-rod dystrophy syndrome		Orphanet:85167
MONDO:0012185	spondylometaphyseal dysplasia, A4 type	yes		OMIM:609052	Spondylometaphyseal dysplasia, A4 type		Orphanet:168555
MONDO:0012713	spondylometaphyseal dysplasia, East African type	yes		OMIM:611702	Spondylometaphyseal dysplasia, East African type		
MONDO:0013223	autosomal recessive spondylometaphyseal dysplasia, Megarbane type	yes	PAM16	OMIM:613320	Autosomal recessive spondylometaphyseal dysplasia, Megarbane type		Orphanet:401979
MONDO:0018255	spondylometaphyseal dysplasia, Czarny-Ratajczak type	yes					Orphanet:370019
MONDO:0018663	regressive spondylometaphyseal dysplasia	yes	LBR	OMIM:618019	Regressive spondylometaphyseal dysplasia		Orphanet:448267
MONDO:0030487	spondylometaphyseal dysplasia, pagnamenta type	yes	PRKG2	OMIM:619638	Spondylometaphyseal dysplasia, pagnamenta type		
MONDO:0031010	odontochondrodysplasia 2 with hearing loss and diabetes	yes	MIA3	OMIM:619269	Odontochondrodysplasia 2 with hearing loss and diabetes		
MONDO:0031169	odontochondrodysplasia	yes	MIA3,TRIP11			OMIMPS:184260	
MONDO:0100325	odontochondrodysplasia 1	yes	TRIP11	OMIM:184260	Odontochondrodysplasia 1 | Odontochondrodysplasia		Orphanet:166272
MONDO:0850096	SBDS-related severe neonatal spondylometaphyseal dysplasia	yes					Orphanet:622934
MONDO:0030074	spondylometaphyseal dysplasia with corneal dystrophy	no	PLCB3	OMIM:618961	Spondylometaphyseal dysplasia with corneal dystrophy		Orphanet:589435
MONDO:0010814	chondrodysplasia-pseudohermaphroditism syndrome	no	HHAT	OMIM:600092	Chondrodysplasia-pseudohermaphroditism syndrome		Orphanet:1422
