GO_ID,Aspect,Term,Evidence_in_GO,Curation_lead,Rationale
GO:0005524,MF,ATP binding,IEA(InterPro),Supported (retain),Canonical NBD present; ATP binding required for mRAC function (LKA mutant fails). PMID21245388
GO:0016887,MF,ATP hydrolysis activity,IEA + IBA (no EXP),OVER-ANNOTATED (non-core/unresolved),Purified signal ~0.01 ATP/min near background (PMID21245388); ortholog Ssz1 NBD catalytically inert by crystal structure (PMID23202586;28067917); Ssz1 not an ATPase in vitro (PMID17901048); ATP binding not hydrolysis operative
GO:0042026,BP,protein refolding,IBA only,OVER-ANNOTATED (non-core),Hageman screen (PMID21231916) gave HSPA14 only a cytosol IDA not refolding; engagement is transient nascent-chain binding (PMID32198371) not post-denaturation refolding; no EEVD/GGMP; atypical Ssz1-like
GO:0051083,BP,de novo cotranslational protein folding,TAS PMID16002468,Supported (retain CORE),mRAC binds nascent chains at ribosome; core function
GO:0006457,BP,protein folding,NAS PMID16002468,Supported but generalize under 0051083,Parent term; keep specific child
GO:0005829,CC,cytosol,IDA x2 (16002468;21231916),Supported (retain CORE),Direct localization
GO:0005840,CC,ribosome,IDA PMID16002468,Supported (retain CORE),mRAC ribosome-associated
GO:0005634,CC,nucleus,IBA only,UNRESOLVED,No EXP for endogenous HSPA14; functional lead PMID30635648 (chromatin DNAJC2-dependent) is separate
GO:0005886,CC,plasma membrane,IBA (absent in current QuickGO),REMOVE (stale carry-over),Not in current PANTHER path; no plasma-membrane-specific data
GO:0016020,CC,membrane,HDA PMID19946888,Non-core (generic fraction),NK-cell whole-membrane proteome; HSP70 common contaminant; not PM-specific
GO:0031072,MF,heat shock protein binding,IBA,Plausible,PMID21245388 shows mRAC stimulates HSPA1/Hsp70
GO:0005515,MF,protein binding,IPI (DNAJC2 Q99543 etc.),Supported but uninformative,Prefer specific complex/partner terms
