GO_ID,GO_name,Aspect,Evidence,Reference,WithFrom_source,AssignedBy,Interpretation
GO:0000221,"vacuolar proton-transporting V-type ATPase, V1 domain",CC,IBA,GO_REF:0000033,"PTN000389802; SGD:S000002344; UniProtKB:P38606 (ATP6V1A human, V-ATPase cat. subunit A); UniProtKB:P31404 (ATP6V1A bovine, V-ATPase cat. subunit A)",GO_Central,IBA carry-over from V-type ATPase subunit A = ancestral V1-A/F1-beta misplacement; REMOVE for chloroplast beta
GO:0000325,plant-type vacuole,CC,IBA,GO_REF:0000033,PTHR15184 ancestral node (per seed/UniProt snapshot),GO_Central,IBA carry-over; REMOVE/deprioritize
GO:0005774,vacuolar membrane,CC,IBA,GO_REF:0000033,PTHR15184 ancestral node (per seed/UniProt snapshot),GO_Central,IBA carry-over; REMOVE/deprioritize
GO:0009535,chloroplast thylakoid membrane,CC,IEA,GO_REF:0000120,UniProtKB-SubCell:SL-0058 (HAMAP MF_01347),UniProt,Authentic curated location; RETAIN
GO:0045259,proton-transporting ATP synthase complex,CC,IEA,GO_REF:0000002,IPR005722,InterPro,Authentic complex term; RETAIN (more specific CF1)
GO:0046961,"proton-transporting ATPase activity, rotational mechanism",MF,IBA,GO_REF:0000033,PTN000389800; MGI:1201780,GO_Central,Reversible ATPase activity; genuine but thylakoid-based; RETAIN (not vacuolar evidence)
GO:0046933,"proton-transporting ATP synthase activity, rotational mechanism",MF,IEA,GO_REF:0000120,IPR005722 (ATP_synth_F1_bsu),UniProt,Core catalytic activity; RETAIN
GO:0005524,ATP binding,MF,IEA,GO_REF:0000120,IPR000194; IPR020003; UniRule,UniProt,Core; RETAIN
GO:0015986,proton motive force-driven ATP synthesis,BP,IEA,GO_REF:0000120,IPR005722,UniProt,Core process; RETAIN
GO:1902600,proton transmembrane transport,BP,IBA/IEA,GO_REF:0000033/0000002,PTN000389800; IPR004100,GO_Central/InterPro,Generic; RETAIN as background
