family	GO_id	GO_label	InterPro	support	n_S_and_G	n_G_in_fam	precision	sig_family_spread	sig_specificity	status
AA3	GO:0050233	pyranose oxidase activity	IPR051473	4	4	4	1.0	1	family-specific	PROPOSED_new
AA3	GO:0050233	pyranose oxidase activity	IPR012814	4	4	4	1.0	1	family-specific	CONFIRMS
AA3	GO:0046562	beta-D-glucose oxidase activity	IPR027424	3	3	3	1.0	1	family-specific	PROPOSED_new
AA7	GO:0016899	oxidoreductase activity, acting on the CH-OH group of donors, oxygen as acceptor	IPR016169	3	3	3	1.0	2	family-specific	PROPOSED_new
AA7	GO:0016899	oxidoreductase activity, acting on the CH-OH group of donors, oxygen as acceptor	IPR006094	3	3	3	1.0	2	family-specific	PROPOSED_other
AA7	GO:0016899	oxidoreductase activity, acting on the CH-OH group of donors, oxygen as acceptor	IPR016166	3	3	3	1.0	2	family-specific	PROPOSED_other
AA7	GO:0016899	oxidoreductase activity, acting on the CH-OH group of donors, oxygen as acceptor	IPR012951	3	3	3	1.0	1	family-specific	PROPOSED_specific
AA7	GO:0016899	oxidoreductase activity, acting on the CH-OH group of donors, oxygen as acceptor	IPR036318	3	3	3	1.0	2	family-specific	PROPOSED_other
AA7	GO:0016899	oxidoreductase activity, acting on the CH-OH group of donors, oxygen as acceptor	IPR050416	3	3	3	1.0	1	family-specific	PROPOSED_new
GH1	GO:0008422	beta-glucosidase activity	IPR017736	15	15	46	1.0	1	family-specific	CONFIRMS
GH1	GO:0033920	6-phospho-beta-galactosidase activity	IPR005928	6	6	6	1.0	1	family-specific	CONFIRMS
GH1	GO:0004565	beta-galactosidase activity	IPR053427	4	4	5	1.0	1	family-specific	PROPOSED_new
GH10	GO:0031176	endo-1,4-beta-xylanase activity	IPR001000	65	63	64	0.97	14	broad	PROPOSED_specific
GH10	GO:0031176	endo-1,4-beta-xylanase activity	IPR017853	65	63	64	0.97	80	broad	PROPOSED_new
GH10	GO:0031176	endo-1,4-beta-xylanase activity	IPR044846	63	62	64	0.98	11	broad	PROPOSED_specific
