token	kind	accession	entry_name	gene	protein	organism	status	length	n_hits	go_id	go_name	evidence	reference
PANTHER:PTN002749826	panther-node				PANTHER tree node (not a protein)					GO:0001525	angiogenesis	IBA	GO_REF:0000033
ZFIN:ZDB-GENE-060929-836	mod-id	Q08CK9	Q08CK9_DANRE	aggf1	Zgc:152959	Danio rerio	TrEMBL	774	4	GO:0001525	angiogenesis	IBA	GO_REF:0000033
PANTHER:PTN008590572	panther-node				PANTHER tree node (not a protein)					GO:0005576	extracellular region	IBA	GO_REF:0000033
UniProtKB:Q8N302	protein	Q8N302	AGGF1_HUMAN	AGGF1	Angiogenic factor with G patch and FHA domains 1	Homo sapiens	Swiss-Prot	714	1	GO:0005576	extracellular region	IBA	GO_REF:0000033
InterPro:IPR000467	interpro				not a protein identifier					GO:0003676	nucleic acid binding	IEA	GO_REF:0000002
UniProtKB-SubCell:SL-0243	uniprotkb-subcell				not a protein identifier					GO:0005576	extracellular region	IEA	GO_REF:0000044
UniProtKB-SubCell:SL-0086	uniprotkb-subcell				not a protein identifier					GO:0005737	cytoplasm	IEA	GO_REF:0000044
UniProtKB:Q9UL45	protein	Q9UL45	BL1S6_HUMAN	BLOC1S6	Biogenesis of lysosome-related organelles complex 1 subunit 6	Homo sapiens	Swiss-Prot	172	1	GO:0005515	protein binding	IPI	PMID:16189514
UniProtKB:Q8N8X9	protein	Q8N8X9	MB213_HUMAN	MAB21L3	Protein mab-21-like 3	Homo sapiens	Swiss-Prot	362	1	GO:0005515	protein binding	IPI	PMID:31515488
UniProtKB:O43143	protein	O43143	DHX15_HUMAN	DHX15	ATP-dependent RNA helicase DHX15	Homo sapiens	Swiss-Prot	795	1	GO:0005515	protein binding	IPI	PMID:32296183
UniProtKB:Q8N8X9	protein	Q8N8X9	MB213_HUMAN	MAB21L3	Protein mab-21-like 3	Homo sapiens	Swiss-Prot	362	1	GO:0005515	protein binding	IPI	PMID:32296183
UniProtKB:Q96EZ8	protein	Q96EZ8	MCRS1_HUMAN	MCRS1	Microspherule protein 1	Homo sapiens	Swiss-Prot	462	1	GO:0005515	protein binding	IPI	PMID:32296183
UniProtKB:Q9NVF7	protein	Q9NVF7	FBX28_HUMAN	FBXO28	F-box only protein 28	Homo sapiens	Swiss-Prot	368	1	GO:0005515	protein binding	IPI	PMID:32296183
UniProtKB:Q9UL45	protein	Q9UL45	BL1S6_HUMAN	BLOC1S6	Biogenesis of lysosome-related organelles complex 1 subunit 6	Homo sapiens	Swiss-Prot	172	1	GO:0005515	protein binding	IPI	PMID:33961781
UniProtKB:Q8N8X9	protein	Q8N8X9	MB213_HUMAN	MAB21L3	Protein mab-21-like 3	Homo sapiens	Swiss-Prot	362	1	GO:0005515	protein binding	IPI	PMID:40205054
UniProtKB:Q8N302	protein	Q8N302	AGGF1_HUMAN	AGGF1	Angiogenic factor with G patch and FHA domains 1	Homo sapiens	Swiss-Prot	714	1	GO:0042802	identical protein binding	IPI	PMID:22365833
UniProtKB:Q8N302	protein	Q8N302	AGGF1_HUMAN	AGGF1	Angiogenic factor with G patch and FHA domains 1	Homo sapiens	Swiss-Prot	714	1	GO:0042802	identical protein binding	IPI	PMID:25416956
UniProtKB:Q8N302	protein	Q8N302	AGGF1_HUMAN	AGGF1	Angiogenic factor with G patch and FHA domains 1	Homo sapiens	Swiss-Prot	714	1	GO:0042802	identical protein binding	IPI	PMID:39251607
UniProtKB:O43508	protein	O43508	TNF12_HUMAN	TNFSF12	Tumor necrosis factor ligand superfamily member 12	Homo sapiens	Swiss-Prot	249	1	GO:0005515	protein binding	IPI	PMID:14961121
