# UniProtKB entries with a CARD cross-reference (snapshot for the annotation-gain report).
# Source: https://rest.uniprot.org/uniprotkb/stream?query=database:card  fields=accession,xref_card,go_id
# Fetched: 2026-06-12
Entry	CARD	Gene Ontology IDs
A0A0F7KYQ8	ARO:3002271;	GO:0008800; GO:0017001; GO:0042597; GO:0046677; GO:0046872
A0A0R6L508	ARO:3003689;ARO:3007280;	GO:0005886; GO:0009244; GO:0016776; GO:0046677; GO:0046872
A0A1C3NEV1	ARO:3004110;	GO:0005886; GO:0009244; GO:0016776; GO:0046677; GO:0046872
A0A5R8T042	ARO:3001878;	GO:0005576; GO:0008800; GO:0030655; GO:0046677
A0A649V088	ARO:3001877;	GO:0005576; GO:0008800; GO:0030655; GO:0046677
A8C927	ARO:3002665;	GO:0008168; GO:0032259; GO:0046677
C7C422	ARO:3000589;	GO:0008270; GO:0008800; GO:0017001; GO:0042597; GO:0046677
O08498	ARO:3005522;	GO:0008270; GO:0008800; GO:0017001; GO:0042597; GO:0046677
O69078	ARO:3005069;	GO:0005829; GO:0006109; GO:0006402; GO:0009372; GO:0030254; GO:0033103; GO:0043455; GO:0045947; GO:0045948; GO:0048027; GO:1900190
O87489	ARO:3002370;	GO:0008800; GO:0030655; GO:0046677
P00383	ARO:3002864;	GO:0004146; GO:0006730; GO:0009410; GO:0031427; GO:0046654; GO:0046677
P00811	ARO:3004290;	GO:0008800; GO:0017001; GO:0030288; GO:0046677
P05058	ARO:3002623;	GO:0005524; GO:0016779; GO:0046677
P05364	ARO:3007961;	GO:0008800; GO:0017001; GO:0030288; GO:0046677
P0ACR9	ARO:3000516;	GO:0003677; GO:0003700; GO:0005829; GO:0006351; GO:0006355; GO:0006950; GO:0045892; GO:0046677
P0AD64	ARO:3001059;	GO:0008800; GO:0030655; GO:0046677
