GO_ID,Aspect,Term,Current_evidence,Recommended_action,Rationale
GO:0002950,MF,ceramide phosphoethanolamine synthase activity,IEA:Ensembl,RETAIN & STRENGTHEN (upgrade to IDA),"Correct primary catalytic identity (PMID 19506037,25667419)"
GO:0047493,MF,ceramide cholinephosphotransferase activity,IBA:GO_Central,REMOVE / do-not-annotate,"= SM-synthase reaction (uses phosphocholine); SAMD8 is monofunctional CPE synthase (PMID 25667419)"
GO:0033188,MF,sphingomyelin synthase activity,IBA:GO_Central,REMOVE / do-not-annotate,"Paralog (SGMS1/2) activity; SAMD8 makes no SM (PMID 19506037,25667419)"
GO:0005789,CC,endoplasmic reticulum membrane,IDA:UniProtKB,RETAIN (core CC),"Native localization (PMID 28120887,19506037)"
GO:0005783,CC,endoplasmic reticulum,IDA:HPA,RETAIN,HPA imaging supports ER
GO:0000139,CC,Golgi membrane,IBA:GO_Central,REMOVE / do-not-annotate,"Golgi only in SAM-mutant redistribution (PMID 28120887); Golgi=SGMS1 (PMID 14685263)"
GO:0005886,CC,plasma membrane,IBA:GO_Central,REMOVE / do-not-annotate,Paralog SGMS2 localization (PMID 14685263)
GO:0016020,CC,membrane,NAS:UniProtKB,GENERALIZE/redundant,Subsumed by ER membrane
GO:0046513,BP,ceramide biosynthetic process,IDA:UniProtKB,RE-EXAMINE / generalize,"SAMD8 consumes ceramide to make CPE; prefer sphingolipid/CPE biosynthetic or regulation term"
GO:2000303,BP,regulation of ceramide biosynthetic process,IDA:UniProtKB,RETAIN,"Consistent with sensor role + SPT switch (PMID 19506037)"
GO:0006686,BP,sphingomyelin biosynthetic process,NAS:UniProtKB,REMOVE / re-examine,SAMD8 does not make SM
