# UniProt allergen registry (keyword KW-0020, reviewed); release 2026_02; query: keyword:KW-0020 AND reviewed:true
who_iuis_name	allergen_molecule	accession	species_code	gene	organism	taxon_id	fetch_command
Aca s 13	Aca s 13	O76821	ACASI		Acarus siro (Flour mite) (Tyroglyphus farinae)	66546	uv run ai-gene-review fetch-gene ACASI O76821 -u O76821
Aca s 4	Aca s 4	B0KZK1	ACASI		Acarus siro (Flour mite) (Tyroglyphus farinae)	66546	uv run ai-gene-review fetch-gene ACASI B0KZK1 -u B0KZK1
Act c 1	Act c 1	P00785	ACTCC	ACT1A	Actinidia chinensis var. chinensis (Chinese soft-hair kiwi)	1590841	uv run ai-gene-review fetch-gene ACTCC ACT1A -u P00785
Act c 10	Act c 10	P85204	ACTCC	NLTP1	Actinidia chinensis var. chinensis (Chinese soft-hair kiwi)	1590841	uv run ai-gene-review fetch-gene ACTCC NLTP1 -u P85204
Act c 2	Act c 2	P83958	ACTCC	TLP	Actinidia chinensis var. chinensis (Chinese soft-hair kiwi)	1590841	uv run ai-gene-review fetch-gene ACTCC TLP -u P83958
Act c 5	Act c 5	P85261	ACTCC	KWL1	Actinidia chinensis var. chinensis (Chinese soft-hair kiwi)	1590841	uv run ai-gene-review fetch-gene ACTCC KWL1 -u P85261
		P86472	ACTCC	CYT1	Actinidia chinensis var. chinensis (Chinese soft-hair kiwi)	1590841	uv run ai-gene-review fetch-gene ACTCC CYT1 -u P86472
		P86473	ACTCC		Actinidia chinensis var. chinensis (Chinese soft-hair kiwi)	1590841	uv run ai-gene-review fetch-gene ACTCC P86473 -u P86473
Act d 1	Act d 1	A5HII1	ACTDE		Actinidia deliciosa (Kiwi)	3627	uv run ai-gene-review fetch-gene ACTDE A5HII1 -u A5HII1
Act d 10.01	Act d 10	P86137	ACTDE		Actinidia deliciosa (Kiwi)	3627	uv run ai-gene-review fetch-gene ACTDE P86137 -u P86137
Act d 10.02	Act d 10	P85206	ACTDE		Actinidia deliciosa (Kiwi)	3627	uv run ai-gene-review fetch-gene ACTDE P85206 -u P85206
Act d 11	Act d 11	P85524	ACTDE		Actinidia deliciosa (Kiwi)	3627	uv run ai-gene-review fetch-gene ACTDE P85524 -u P85524
Act d 12	Act d 12	C0HJF9	ACTDE		Actinidia deliciosa (Kiwi)	3627	uv run ai-gene-review fetch-gene ACTDE C0HJF9 -u C0HJF9
Act d 13	Act d 13	C0HJG0	ACTDE		Actinidia deliciosa (Kiwi)	3627	uv run ai-gene-review fetch-gene ACTDE C0HJG0 -u C0HJG0
Act d 2	Act d 2	P81370	ACTDE	tlp	Actinidia deliciosa (Kiwi)	3627	uv run ai-gene-review fetch-gene ACTDE tlp -u P81370
Act d 3	Act d 3	P85063	ACTDE		Actinidia deliciosa (Kiwi)	3627	uv run ai-gene-review fetch-gene ACTDE P85063 -u P85063
Act d 4	Act d 4	Q6TPK4	ACTDE		Actinidia deliciosa (Kiwi)	3627	uv run ai-gene-review fetch-gene ACTDE Q6TPK4 -u Q6TPK4
Act d 5	Act d 5	P84527	ACTDE		Actinidia deliciosa (Kiwi)	3627	uv run ai-gene-review fetch-gene ACTDE P84527 -u P84527
Act d 9	Act d 9	C0HL99	ACTDE		Actinidia deliciosa (Kiwi)	3627	uv run ai-gene-review fetch-gene ACTDE C0HL99 -u C0HL99
Ade v RIP	Ade v RIP	Q70US9	ADEVO	volk38	Adenia volkensii (Kilyambiti plant)	219186	uv run ai-gene-review fetch-gene ADEVO volk38 -u Q70US9
Aed a 1	Aed a 1	P50635	AEDAE	APY	Aedes aegypti (Yellowfever mosquito) (Culex aegypti)	7159	uv run ai-gene-review fetch-gene AEDAE APY -u P50635
Aed a 2	Aed a 2	P18153	AEDAE	D7	Aedes aegypti (Yellowfever mosquito) (Culex aegypti)	7159	uv run ai-gene-review fetch-gene AEDAE D7 -u P18153
Aed a 3	Aed a 3	O01949	AEDAE		Aedes aegypti (Yellowfever mosquito) (Culex aegypti)	7159	uv run ai-gene-review fetch-gene AEDAE O01949 -u O01949
Aed a 4	Aed a 4	P13080	AEDAE	MAL1	Aedes aegypti (Yellowfever mosquito) (Culex aegypti)	7159	uv run ai-gene-review fetch-gene AEDAE MAL1 -u P13080
Aed al 1	Aed al 1	E0D877	AEDAL	APY	Aedes albopictus (Asian tiger mosquito) (Stegomyia albopicta)	7160	uv run ai-gene-review fetch-gene AEDAL APY -u E0D877
