# UniProt allergen registry (keyword KW-0020, reviewed); release 2026_02; query: keyword:KW-0020 AND reviewed:true
accession	entry_name	species_code	gene	organism	taxon_id	who_iuis_name	allergen_molecule	allergome_id
O76821	FABP_ACASI	ACASI		Acarus siro (Flour mite) (Tyroglyphus farinae)	66546	Aca s 13	Aca s 13	2
B0KZK1	AMY_ACASI	ACASI		Acarus siro (Flour mite) (Tyroglyphus farinae)	66546	Aca s 4	Aca s 4	9894
P00785	ACTN_ACTCC	ACTCC	ACT1A	Actinidia chinensis var. chinensis (Chinese soft-hair kiwi)	1590841	Act c 1	Act c 1	1
P85204	NLTP1_ACTCC	ACTCC	NLTP1	Actinidia chinensis var. chinensis (Chinese soft-hair kiwi)	1590841	Act c 10	Act c 10	5735
P83958	TLP_ACTCC	ACTCC	TLP	Actinidia chinensis var. chinensis (Chinese soft-hair kiwi)	1590841	Act c 2	Act c 2	2407
P85261	KIWEL_ACTCC	ACTCC	KWL1	Actinidia chinensis var. chinensis (Chinese soft-hair kiwi)	1590841	Act c 5	Act c 5	11668
P86472	CYT1_ACTCC	ACTCC	CYT1	Actinidia chinensis var. chinensis (Chinese soft-hair kiwi)	1590841			2406
P86473	CHIT_ACTCC	ACTCC		Actinidia chinensis var. chinensis (Chinese soft-hair kiwi)	1590841			2408
A5HII1	ACTN_ACTDE	ACTDE		Actinidia deliciosa (Kiwi)	3627	Act d 1	Act d 1	1
P86137	NLTP1_ACTDE	ACTDE		Actinidia deliciosa (Kiwi)	3627	Act d 10.01	Act d 10	5737
P85206	NLTP2_ACTDE	ACTDE		Actinidia deliciosa (Kiwi)	3627	Act d 10.02	Act d 10	5737
P85524	KIRO_ACTDE	ACTDE		Actinidia deliciosa (Kiwi)	3627	Act d 11	Act d 11	5903
C0HJF9	ALL12_ACTDE	ACTDE		Actinidia deliciosa (Kiwi)	3627	Act d 12	Act d 12	11947
C0HJG0	ALL13_ACTDE	ACTDE		Actinidia deliciosa (Kiwi)	3627	Act d 13	Act d 13	11424
P81370	TLP_ACTDE	ACTDE	tlp	Actinidia deliciosa (Kiwi)	3627	Act d 2	Act d 2	3053
P85063	ALLD3_ACTDE	ACTDE		Actinidia deliciosa (Kiwi)	3627	Act d 3	Act d 3	3553
Q6TPK4	CYT1_ACTDE	ACTDE		Actinidia deliciosa (Kiwi)	3627	Act d 4	Act d 4	2404
P84527	KIWEL_ACTDE	ACTDE		Actinidia deliciosa (Kiwi)	3627	Act d 5	Act d 5	2821
C0HL99	PROF_ACTDE	ACTDE		Actinidia deliciosa (Kiwi)	3627	Act d 9	Act d 9	5740
Q70US9	VOLK_ADEVO	ADEVO	volk38	Adenia volkensii (Kilyambiti plant)	219186	Ade v RIP	Ade v RIP	2795
P50635	APY_AEDAE	AEDAE	APY	Aedes aegypti (Yellowfever mosquito) (Culex aegypti)	7159	Aed a 1	Aed a 1	3
P18153	D7L1_AEDAE	AEDAE	D7	Aedes aegypti (Yellowfever mosquito) (Culex aegypti)	7159	Aed a 2	Aed a 2	3540
O01949	ALL3_AEDAE	AEDAE		Aedes aegypti (Yellowfever mosquito) (Culex aegypti)	7159	Aed a 3	Aed a 3	3054
P13080	MALT_AEDAE	AEDAE	MAL1	Aedes aegypti (Yellowfever mosquito) (Culex aegypti)	7159	Aed a 4	Aed a 4	11944
E0D877	APY_AEDAL	AEDAL	APY	Aedes albopictus (Asian tiger mosquito) (Stegomyia albopicta)	7160	Aed al 1	Aed al 1	1345
Q5MIU2	34K2_AEDAL	AEDAL		Aedes albopictus (Asian tiger mosquito) (Stegomyia albopicta)	7160	Aed al 14	Aed al 14	
Q5MIT9	ALL3_AEDAL	AEDAL		Aedes albopictus (Asian tiger mosquito) (Stegomyia albopicta)	7160	Aed al 3	Aed al 3	12173
P38948	MPAG1_ALNGL	ALNGL		Alnus glutinosa (European alder) (Betula alnus var. glutinosa)	3517	Aln g 1	Aln g 1	3055
O81701	POLC4_ALNGL	ALNGL		Alnus glutinosa (European alder) (Betula alnus var. glutinosa)	3517	Aln g 4	Aln g 4	3056
P79085	ALTA1_ALTAL	ALTAL	ALTA1	Alternaria alternata (Alternaria rot fungus) (Torula alternata)	5599	Alt a 1	Alt a 1	11
P42041	ALDH_ALTAL	ALTAL	ALTA10	Alternaria alternata (Alternaria rot fungus) (Torula alternata)	5599	Alt a 10	Alt a 10	13
P49148	RLA1_ALTAL	ALTAL	ALTA12	Alternaria alternata (Alternaria rot fungus) (Torula alternata)	5599	Alt a 12	Alt a 12	15
Q6R4B4	GST_ALTAL	ALTAL		Alternaria alternata (Alternaria rot fungus) (Torula alternata)	5599	Alt a 13	Alt a 13	2542
O94095	ALTA2_ALTAL	ALTAL	ALTA2	Alternaria alternata (Alternaria rot fungus) (Torula alternata)	5599	Alt a 2	Alt a 2	16
P78983	HSP70_ALTAL	ALTAL	HSP70	Alternaria alternata (Alternaria rot fungus) (Torula alternata)	5599	Alt a 3	Alt a 3	17
Q00002	PDI_ALTAL	ALTAL		Alternaria alternata (Alternaria rot fungus) (Torula alternata)	5599	Alt a 4	Alt a 4	18
P42037	RLA2_ALTAL	ALTAL	ALTA5	Alternaria alternata (Alternaria rot fungus) (Torula alternata)	5599	Alt a 5	Alt a 5	20
Q9HDT3	ENO_ALTAL	ALTAL	ENO	Alternaria alternata (Alternaria rot fungus) (Torula alternata)	5599	Alt a 6	Alt a 6	14
P42058	ALTA7_ALTAL	ALTAL	ALTA7	Alternaria alternata (Alternaria rot fungus) (Torula alternata)	5599	Alt a 7	Alt a 7	21
P0C0Y4	NMTDH_ALTAL	ALTAL		Alternaria alternata (Alternaria rot fungus) (Torula alternata)	5599	Alt a 8	Alt a 8	22
P86254	SODM_ALTAL	ALTAL		Alternaria alternata (Alternaria rot fungus) (Torula alternata)	5599	Alt a MnSOD	Alt a MnSOD	11425
D0MQ50	TCTP_ALTAL	ALTAL		Alternaria alternata (Alternaria rot fungus) (Torula alternata)	5599	Alt a TCTP	Alt a TCTP	8237
Q5EZ82	ALTA1_ALTBO	ALTBO	alta1	Alternaria botrytis (Ulocladium botrytis)	119956	Ulo b 1	Ulo b 1	2646
P27759	PLY5_AMBAR	AMBAR		Ambrosia artemisiifolia (Common ragweed)	4212	Amb a 1.1	Amb a 1	24
P27760	PLY1_AMBAR	AMBAR		Ambrosia artemisiifolia (Common ragweed)	4212	Amb a 1.2	Amb a 1	24
P27761	PLY2_AMBAR	AMBAR		Ambrosia artemisiifolia (Common ragweed)	4212	Amb a 1.3	Amb a 1	24
P28744	PLY3_AMBAR	AMBAR		Ambrosia artemisiifolia (Common ragweed)	4212	Amb a 1.4	Amb a 1	24
V5LU01	CEP01_AMBAR	AMBAR		Ambrosia artemisiifolia (Common ragweed)	4212	Amb a 11.0101	Amb a 11	11405
P27762	PLY4_AMBAR	AMBAR		Ambrosia artemisiifolia (Common ragweed)	4212	Amb a 2	Amb a 2	26
O04004	NLTP6_AMBAR	AMBAR		Ambrosia artemisiifolia (Common ragweed)	4212	Amb a 6	Amb a 6	29
Q64LH2	PROF2_AMBAR	AMBAR		Ambrosia artemisiifolia (Common ragweed)	4212	Amb a 8	Amb a 8	751
Q64LH1	PROF1_AMBAR	AMBAR		Ambrosia artemisiifolia (Common ragweed)	4212	Amb a 8	Amb a 8	751
Q64LH0	PROF3_AMBAR	AMBAR		Ambrosia artemisiifolia (Common ragweed)	4212	Amb a 8	Amb a 8	751
P00304	MPAA3_AMBEL	AMBEL		Ambrosia artemisiifolia var. elatior (Short ragweed) (Ambrosia elatior)	4215	Amb a 3	Amb a 3	27
P02878	MPAA5_AMBEL	AMBEL		Ambrosia artemisiifolia var. elatior (Short ragweed) (Ambrosia elatior)	4215	Amb a 5	Amb a 5	28
P43174	MPA5A_AMBPS	AMBPS		Ambrosia psilostachya (Western ragweed) (Ambrosia coronopifolia)	29715	Amb p 5a	Amb p 5a	3072
P43175	MPA5B_AMBPS	AMBPS		Ambrosia psilostachya (Western ragweed) (Ambrosia coronopifolia)	29715	Amb p 5b	Amb p 5b	3073
P10414	MPAT5_AMBTR	AMBTR		Ambrosia trifida (Giant ragweed)	4214	Amb t 5	Amb t 5	3074
G1ESZ9	KARG_AMPFA	AMPFA		Amphioctopus fangsiao (Ocellated octopus) (Octopus ocellatus)	515817	Oct f 2	Oct f 2	9898
Q8GZP6	ANAO2_ANAOC	ANAOC		Anacardium occidentale (Cashew)	171929	Ana o 2.0101	Ana o 2	3077
Q94JN2	PROF_ANACO	ANACO		Ananas comosus (Pineapple) (Ananas ananas)	4615	Ana c 1	Ana c 1	3075
O23791	BROM1_ANACO	ANACO		Ananas comosus (Pineapple) (Ananas ananas)	4615	Ana c 2	Ana c 2	3076
Q7Z1K3	ANIS1_ANISI	ANISI		Anisakis simplex (Herring worm)	6269	Ani s 1	Ani s 1	3079
