allergen_molecule	source_taxon_id	n_epitopes	n_bcell_assays	n_tcell_assays	n_references	has_ige	iedb_antigen_iris
Fel d 1	9685	127	128	581	26	yes	UNIPROT:A0ABI7XLA3;UNIPROT:A0ABI7XLG5
Can f 1	9615	83	15	250	9	yes	UNIPROT:O18873
Fel d 4	9685	14	5	26	2	yes	UNIPROT:A0ABI7XHC5
Fel d 7	9685	14	0	56	2	no	UNIPROT:A0ABI7Y2H1
Can f 2	9615	9	0	18	1	no	UNIPROT:O18874
Fel d 3	9685	6	0	36	3	no	UNIPROT:A0ABI7XP06
Can f 6	9615	5	15	0	1	yes	UNIPROT:H2B3G5
Fel d 2	9685	4	0	8	1	no	UNIPROT:A0ABI7XGG7
Sola t 1	4113	1	1	0	1	yes	UNIPROT:Q3YJT3
Can f 3	9615	0	0	0	0	no	
Fel d 8	9685	0	0	0	0	no	
Hom s 8	9606	0	0	0	0	no	
Hom s Glucocerebrosidase	9606	0	0	0	0	no	
Hom s Insulin	9606	0	0	0	0	no	
Hom s Trx	9606	0	0	0	0	no	
Hom s alpha-Galactosidase	9606	0	0	0	0	no	
Sac c MnSOD	559292	0	0	0	0	no	
Sola l PG	4081	0	0	0	0	no	
Zea m 8	4577	0	0	0	0	no	
