gene	taxon	target	klass	best_hit	evalue	bitscore	pct_id	detected
FraD	103690	Nostoc sp. PCC 7120	SELF	sp|P46079|Y2393_NOSS1	3.0e-236	781.1	100.0	True
FraC	103690	Nostoc sp. PCC 7120	SELF	sp|P46078|FRAC_NOSS1	2.7e-113	374.4	100.0	True
SepN	103690	Nostoc sp. PCC 7120	SELF	tr|A0ACD7RWW5|A0ACD7RWW5_NOSS1	4.6e-156	515.2	100.0	True
SepJ	103690	Nostoc sp. PCC 7120	SELF	tr|A0ACD7RSI0|A0ACD7RSI0_NOSS1	0.0e+00	1600.3	100.0	True
FraE	103690	Nostoc sp. PCC 7120	SELF	tr|A0ACD7RSN5|A0ACD7RSN5_NOSS1	8.2e-164	541.4	100.0	True
AmiC1	103690	Nostoc sp. PCC 7120	SELF	tr|A0ACD7S1M0|A0ACD7S1M0_NOSS1	0.0e+00	1379.7	100.0	True
AmiC2	103690	Nostoc sp. PCC 7120	SELF	tr|A0ACD7S2F2|A0ACD7S2F2_NOSS1	0.0e+00	1369.5	100.0	True
FraD	63737	Nostoc punctiforme PCC 73102	POS	tr|B2IXC8|B2IXC8_NOSP7	7.4e-165	546.4	70.3	True
FraC	63737	Nostoc punctiforme PCC 73102	POS	tr|B2IXC9|B2IXC9_NOSP7	3.7e-64	214.5	59.7	True
SepN	63737	Nostoc punctiforme PCC 73102	POS	tr|B2IXD4|B2IXD4_NOSP7	5.8e-127	420.2	81.5	True
SepJ	63737	Nostoc punctiforme PCC 73102	POS	tr|B2J1N1|B2J1N1_NOSP7	2.3e-214	712.3	53.1	True
FraE	63737	Nostoc punctiforme PCC 73102	POS	tr|B2IXC7|B2IXC7_NOSP7	5.9e-119	394.7	74.5	True
AmiC1	63737	Nostoc punctiforme PCC 73102	POS	tr|B2J2S3|B2J2S3_NOSP7	2.8e-246	817.3	63.0	True
AmiC2	63737	Nostoc punctiforme PCC 73102	POS	tr|B2J2S4|B2J2S4_NOSP7	2.3e-272	903.3	71.3	True
FraD	240292	Anabaena variabilis ATCC 29413	POS	tr|Q3MGQ1|Q3MGQ1_TRIV2	1.9e-233	771.7	97.7	True
FraC	240292	Anabaena variabilis ATCC 29413	POS	tr|Q3MGQ2|Q3MGQ2_TRIV2	9.8e-110	362.7	95.5	True
SepN	240292	Anabaena variabilis ATCC 29413	POS	tr|Q3MF16|Q3MF16_TRIV2	4.6e-151	498.8	96.6	True
SepJ	240292	Anabaena variabilis ATCC 29413	POS	tr|Q3MGV3|Q3MGV3_TRIV2	0.0e+00	1548.6	97.1	True
FraE	240292	Anabaena variabilis ATCC 29413	POS	tr|Q3MGQ0|Q3MGQ0_TRIV2	2.6e-152	503.6	97.3	True
AmiC1	240292	Anabaena variabilis ATCC 29413	POS	tr|Q3MD48|Q3MD48_TRIV2	0.0e+00	1303.6	94.3	True
AmiC2	240292	Anabaena variabilis ATCC 29413	POS	tr|Q3MD47|Q3MD47_TRIV2	0.0e+00	1326.6	95.9	True
FraD	1111708	Synechocystis sp. PCC 6803	NEG	-				False
FraC	1111708	Synechocystis sp. PCC 6803	NEG	-				False
SepN	1111708	Synechocystis sp. PCC 6803	NEG	-				False
SepJ	1111708	Synechocystis sp. PCC 6803	NEG	sp|P72732|Y1319_SYNY3	1.1e-47	160.5	34.0	True
FraE	1111708	Synechocystis sp. PCC 6803	NEG	tr|P74719|P74719_SYNY3	2.3e-78	260.9	49.6	True
AmiC1	1111708	Synechocystis sp. PCC 6803	NEG	tr|P73736|P73736_SYNY3	1.5e-126	420.9	39.7	True
AmiC2	1111708	Synechocystis sp. PCC 6803	NEG	tr|P73736|P73736_SYNY3	2.1e-117	390.7	41.8	True
FraD	1140	Synechococcus elongatus PCC 7942	NEG	-				False
FraC	1140	Synechococcus elongatus PCC 7942	NEG	-				False
SepN	1140	Synechococcus elongatus PCC 7942	NEG	-				False
SepJ	1140	Synechococcus elongatus PCC 7942	NEG	sp|Q31ND6|GLO2_SYNE7	5.9e-03	12.3	32.2	False
FraE	1140	Synechococcus elongatus PCC 7942	NEG	-				False
AmiC1	1140	Synechococcus elongatus PCC 7942	NEG	tr|Q31KM9|Q31KM9_SYNE7	2.2e-99	330.8	52.5	True
AmiC2	1140	Synechococcus elongatus PCC 7942	NEG	tr|Q31KM9|Q31KM9_SYNE7	1.6e-88	294.9	52.0	True
