gene	interpro	family_specific	taxon	target	klass	n_members	members
FraD	IPR020360	True	103690	Nostoc sp. PCC 7120	SELF	1	P46079
FraD	IPR020360	True	63737	Nostoc punctiforme PCC 73102	POS	1	B2IXC8
FraD	IPR020360	True	240292	Anabaena variabilis ATCC 29413	POS	1	Q3MGQ1
FraD	IPR020360	True	1111708	Synechocystis sp. PCC 6803	NEG	0	
FraD	IPR020360	True	1140	Synechococcus elongatus PCC 7942	NEG	0	
FraC	IPR054663	True	103690	Nostoc sp. PCC 7120	SELF	1	P46078
FraC	IPR054663	True	63737	Nostoc punctiforme PCC 73102	POS	1	B2IXC9
FraC	IPR054663	True	240292	Anabaena variabilis ATCC 29413	POS	1	Q3MGQ2
FraC	IPR054663	True	1111708	Synechocystis sp. PCC 6803	NEG	0	
FraC	IPR054663	True	1140	Synechococcus elongatus PCC 7942	NEG	0	
SepN	(none)	False	103690	Nostoc sp. PCC 7120	SELF	NA	no family model - homology only
SepN	(none)	False	63737	Nostoc punctiforme PCC 73102	POS	NA	no family model - homology only
SepN	(none)	False	240292	Anabaena variabilis ATCC 29413	POS	NA	no family model - homology only
SepN	(none)	False	1111708	Synechocystis sp. PCC 6803	NEG	NA	no family model - homology only
SepN	(none)	False	1140	Synechococcus elongatus PCC 7942	NEG	NA	no family model - homology only
SepJ	IPR000620	False	103690	Nostoc sp. PCC 7120	SELF	6	A0ACD7RQS1;A0ACD7RSI0;A0ACD7RTH9;A0ACD7RW25;A0ACD7RYS8;A0ACD7S2L3
SepJ	IPR000620	False	63737	Nostoc punctiforme PCC 73102	POS	9	B2ITX5;B2IWG1;B2IXW2;B2IYB3;B2J1N1;B2J2U8;B2J3A6;B2J5K2;B2J5K3
SepJ	IPR000620	False	240292	Anabaena variabilis ATCC 29413	POS	6	Q3M361;Q3M507;Q3M7A0;Q3MCX1;Q3MFK2;Q3MGV3
SepJ	IPR000620	False	1111708	Synechocystis sp. PCC 6803	NEG	4	P72732;P73771;P74436;Q55844
SepJ	IPR000620	False	1140	Synechococcus elongatus PCC 7942	NEG	3	Q31LX2;Q31NW1;Q31PG5
FraE	IPR032688	False	103690	Nostoc sp. PCC 7120	SELF	2	A0ACD7RSN5;A0ACD7S2T1
FraE	IPR032688	False	63737	Nostoc punctiforme PCC 73102	POS	3	B2IVF4;B2IXC7;B2J866
FraE	IPR032688	False	240292	Anabaena variabilis ATCC 29413	POS	2	Q3M5A6;Q3MGQ0
FraE	IPR032688	False	1111708	Synechocystis sp. PCC 6803	NEG	1	P74719
FraE	IPR032688	False	1140	Synechococcus elongatus PCC 7942	NEG	1	Q31S70
AmiC1	IPR050695	False	103690	Nostoc sp. PCC 7120	SELF	5	A0ACD7RQR5;A0ACD7RYV5;A0ACD7RZG8;A0ACD7S1M0;A0ACD7S2F2
AmiC1	IPR050695	False	63737	Nostoc punctiforme PCC 73102	POS	4	B2IUS9;B2IYA6;B2J2S3;B2J2S4
AmiC1	IPR050695	False	240292	Anabaena variabilis ATCC 29413	POS	4	Q3M6J0;Q3MAV0;Q3MD47;Q3MD48
AmiC1	IPR050695	False	1111708	Synechocystis sp. PCC 6803	NEG	3	P73105;P73581;P73736
AmiC1	IPR050695	False	1140	Synechococcus elongatus PCC 7942	NEG	3	Q31KM9;Q31LA5;Q31QC3
AmiC2	IPR050695	False	103690	Nostoc sp. PCC 7120	SELF	5	A0ACD7RQR5;A0ACD7RYV5;A0ACD7RZG8;A0ACD7S1M0;A0ACD7S2F2
AmiC2	IPR050695	False	63737	Nostoc punctiforme PCC 73102	POS	4	B2IUS9;B2IYA6;B2J2S3;B2J2S4
AmiC2	IPR050695	False	240292	Anabaena variabilis ATCC 29413	POS	4	Q3M6J0;Q3MAV0;Q3MD47;Q3MD48
AmiC2	IPR050695	False	1111708	Synechocystis sp. PCC 6803	NEG	3	P73105;P73581;P73736
AmiC2	IPR050695	False	1140	Synechococcus elongatus PCC 7942	NEG	3	Q31KM9;Q31LA5;Q31QC3
