citation,evidence_type,stance,claim_tested,key_finding,context,confidence_limitations
UniProt Q9TX43,review/database,qualifies-provenance,GO:0007189 experimentally supported for cAR4?,GO:0007189 is IBA:GO_Central; direct MF=cAMP binding IDA & PTP activator TAS; no experimental cyclase code,DB record 7-TM GPCR 443aa,High provenance; IBA not receptor-specific
PMID:7958880,mutant phenotype/expression,refutes-relevance,cAR4 acts in aggregation vs late patterning,car4-null normal early dev; late AP patterning defects & reduced prestalk,Dicty late dev in vivo,High; no cyclase assay
PMID:9284050,genetic epistasis,competing,Which pathway cAR4 feeds,cAR4 antagonistic to cAR1/cAR3; converges on GSK3,Dicty in vivo,High patterning; indirect MF
PMID:10571182,in vitro kinase+mutant,competing,GSK3 regulation downstream of cARs,ZAK1 (cAR3 arm) activates GSK3; cAR4 opposing phosphatase arm,recombinant ZAK1,High; defines GSK3 axis not cyclase
PMID:11121784,review,qualifies,Which receptor stimulates GSK3,cAMP->GSK3 via cAR3+ZAK1; cAR4 counteracts,Review,Medium review
PMID:9578623,adenylyl cyclase assay,qualifies/partial-support,Can low-affinity cAR subtypes activate ACA,cAR1/cAR2/cAR3 activate ACA at different cAMP conc; cAR4 NOT assayed,Dicty aggregation constitutive expression,High for cAR1/2/3; extrapolation for cAR4
PMID:11041494,mutant phenotype,supports-paralog-specificity,Components essential for cAMP relay,ACA-/cAR1cAR3-/G-protein-/PKA-null block relay,Dicty early dev,High; cAR1/cAR3 relay-competent
PMID:7496377,review,orientation,Family organization,4 cARs distinct expression/phenotypes,Review,Medium orientation
PMID:1333842,adenylyl cyclase assay,supports-paralog-specific/competing,Which receptors couple to ACA,cAR1 + another receptor (cAR3 at aggregation) linked to ACA; both require Galpha2; cAR4 NOT tested,Dicty aggregation stage,High; published basis is cAR1/cAR3 not cAR4
PMC316452/PMID:9284050,review+author-unpublished,qualifies-weakens,Does cAR4 activate ACA,"Verbatim: all CARs may be capable of ACA activation (Pupillo 1992; A.R. Kimmel unpubl.); difficult to predict responses affected by loss of CAR4",Full text primary paper,High that cAR4-ACA claim is unpublished not published
