go_id,aspect,evidence_code,eco,reference,note
GO:0007189,biological_process,IBA,ECO:0000318,GO_REF:0000033,adenylate cyclase-activating GPCR signaling - PHYLOGENETIC family inference (under review)
GO:0004930,molecular_function,IBA,ECO:0000318,GO_REF:0000033,GPCR activity - phylogenetic
GO:0004930,molecular_function,IEA,,GO_REF:0000002,GPCR activity - InterPro2GO
GO:0007186,biological_process,IEA,,GO_REF:0000002,GPCR signaling pathway (parent term) - InterPro2GO ALREADY PRESENT
GO:0005886,cellular_component,IBA,ECO:0000318,GO_REF:0000033,plasma membrane - phylogenetic
GO:0005886,cellular_component,TAS,,PMID:15473840,plasma membrane
GO:0030552,molecular_function,IDA,,PMID:2722797,cAMP binding - direct experimental
GO:0001646,molecular_function,ISS,,PMID:7958880,cAMP receptor activity
GO:0008160,molecular_function,TAS,,PMID:12408804,protein tyrosine phosphatase activator activity - primary ref
GO:0030154,biological_process,IMP,,PMID:7958880,cell differentiation - car4-null phenotype
GO:0031154,biological_process,IMP,,PMID:7958880,culmination - car4-null phenotype
GO:0010628,biological_process,IMP,,PMID:7958880,positive regulation of gene expression - prestalk
GO:0010629,biological_process,IMP,,PMID:7958880,negative regulation of gene expression - prespore
GO:0035589,biological_process,IEA,,GO_REF:0000108,G protein-coupled purinergic nucleotide receptor signaling (electronic)
GO:0007165,biological_process,TAS,,PMID:15473840,signal transduction
