go_id,aspect,term,evidence_code,source,note
GO:0005886,C,plasma membrane,TAS,dictyBase,location
GO:0030552,F,cAMP binding,IDA,dictyBase,direct experimental MF
GO:0001646,F,cAMP receptor activity,ISS,dictyBase,sequence similarity
GO:0004930,F,G protein-coupled receptor activity,IBA,GO_Central,family inference
GO:0008160,F,protein tyrosine phosphatase activator activity,TAS,dictyBase,GSK3-arm coupling (cAR4-specific)
GO:0007189,P,adenylate cyclase-activating GPCR signaling pathway,IBA,GO_Central,FAMILY CARRY-OVER - under review
GO:0030154,P,cell differentiation,IMP,dictyBase,car4-null phenotype
GO:0031154,P,culmination involved in sorocarp development,IMP,dictyBase,car4-null phenotype
GO:0010629,P,negative regulation of gene expression,IMP,dictyBase,prespore repression
GO:0010628,P,positive regulation of gene expression,IMP,dictyBase,prestalk induction
GO:0007165,P,signal transduction,TAS,dictyBase,general
