#                                                                            --- full sequence --- -------------- this domain -------------   hmm coord   ali coord   env coord
# target name        accession   tlen query name           accession   qlen   E-value  score  bias   #  of  c-Evalue  i-Evalue  score  bias  from    to  from    to  from    to  acc description of target
#------------------- ---------- ----- -------------------- ---------- ----- --------- ------ ----- --- --- --------- --------- ------ ----- ----- ----- ----- ----- ----- ----- ---- ---------------------
Q90WD8               -            974 Trypsin              PF00089.33   220  3.2e-115  370.6   0.0   1   2   3.8e-64   3.8e-64  203.6   0.0     1   219    50   293    50   294 0.91 -
Q90WD8               -            974 Trypsin              PF00089.33   220  3.2e-115  370.6   0.0   2   2     3e-52     3e-52  164.7   0.0     3   220   592   814   590   814 0.93 -
sp|P00760|TRY1_BOVIN -            246 Trypsin              PF00089.33   220   3.8e-83  265.7   9.0   1   1   4.3e-83   4.3e-83  265.5   9.0     1   220    24   239    24   239 0.98 -
#
# Program:         hmmsearch
# Version:         3.4 (Aug 2023)
# Pipeline mode:   SEARCH
# Query file:      inputs/PF00089.hmm
# Target file:     control-results/combined.fasta
# Option settings: hmmsearch -o control-results/hmmsearch.txt --domtblout control-results/domains.tsv inputs/PF00089.hmm control-results/combined.fasta 
# Current dir:     /Users/cjm/worktrees/protnlm-sept/genes/DROME/CG43124/CG43124-bioinformatics
# Date:            Tue Sep  8 16:56:35 2026
# [ok]
