goa_partner_token	canonical_accession	entry_name	gene	organism	reviewed	length	is_isoform_token	intact_records	distinct_publications	distinct_experiments	spoke_expanded_records	max_mi_score	detection_methods	partner_total_intact_partners
P19338	P19338	NUCL_HUMAN	NCL	Homo sapiens	Swiss-Prot	710	False	5	1	1	3	0.5	anti bait coip	303
P55160	P55160	NCKPL_HUMAN	NCKAP1L	Homo sapiens	Swiss-Prot	1127	False	0	0	0	0			7
Q13459-2	Q13459	MYO9B_HUMAN	MYO9B	Homo sapiens	Swiss-Prot	2157	True	2	1	2	0	0.56	anti bait coip;pull down	79
Q14432	Q14432	PDE3A_HUMAN	PDE3A	Homo sapiens	Swiss-Prot	1141	False	6	1	2	5	0.58	anti bait coip;molecular sieving	59
Q14678	Q14678	KANK1_HUMAN	KANK1	Homo sapiens	Swiss-Prot	1352	False	8	1	2	3	0.63	anti bait coip;anti tag coip	35
Q7Z4S6	Q7Z4S6	KI21A_HUMAN	KIF21A	Homo sapiens	Swiss-Prot	1674	False	11	2	6	3	0.71	anti bait coip;anti tag coip;confocal microscopy;molecular sieving	58
Q7Z4S6-2	Q7Z4S6	KI21A_HUMAN	KIF21A	Homo sapiens	Swiss-Prot	1674	True	11	2	6	3	0.71	anti bait coip;anti tag coip;confocal microscopy;molecular sieving	58
Q8K3E7	Q8K3E7	DPY30_RAT	Dpy30	Rattus norvegicus	Swiss-Prot	99	False	0	0	0	0			1
Q8WUA7	Q8WUA7	TB22A_HUMAN	TBC1D22A	Homo sapiens	Swiss-Prot	517	False	0	0	0	0			45
Q99417	Q99417	MYCBP_HUMAN	MYCBP	Homo sapiens	Swiss-Prot	103	False	7	4	6	4	0.79	2 hybrid;anti tag coip;imaging technique	141
Q9NU19	Q9NU19	TB22B_HUMAN	TBC1D22B	Homo sapiens	Swiss-Prot	505	False	1	1	1	1	0.35	pull down	175
Q9Y6D5	Q9Y6D5	BIG2_HUMAN	ARFGEF2	Homo sapiens	Swiss-Prot	1785	False	14	4	6	8	0.84	anti bait coip;anti tag coip;molecular sieving	99
