reference	annotations	rows_read	truncated	distinct_entities	distinct_terms	max_entities_for_one_term
PMID:10716990	5	5	False	2	3	2
PMID:15644318	18	18	False	7	6	6
PMID:16866877	4	4	False	3	1	3
PMID:18292223	3	3	False	2	2	2
PMID:19020088	3	3	False	2	1	2
PMID:19332778	6	6	False	3	1	3
PMID:22084092	14	14	False	4	5	4
PMID:33961781	9514	200	True	UNAVAILABLE (paginated)	UNAVAILABLE (paginated)	UNAVAILABLE
PMID:35271311	2876	200	True	UNAVAILABLE (paginated)	UNAVAILABLE (paginated)	UNAVAILABLE
PMID:40205054	3026	200	True	UNAVAILABLE (paginated)	UNAVAILABLE (paginated)	UNAVAILABLE
PMID:14973189	3	3	False	1	3	1
PMID:12571360	7	7	False	2	6	2
PMID:17227842	2	2	False	1	2	1
PMID:23572552	45	45	False	17	2	17
PMID:20360857	4	4	False	2	3	2
PMID:16417406	40	40	False	15	13	15
PMID:19651892	5	5	False	3	4	2
PMID:10212200	4	4	False	2	2	2
