token	kind	accession	entry_name	gene	protein	organism	reviewed	length	n_hits	resolved_by
AGI_LocusCode:AT1G01960	mod-id	Q9LPC5	BIG3_ARATH	BIG3	Brefeldin A-inhibited guanine nucleotide-exchange protein 3	Arabidopsis thaliana	Swiss-Prot	1750	1	xref:araport-AT1G01960
AGI_LocusCode:AT1G13980	mod-id	Q42510	GNOM_ARATH	GN	ARF guanine-nucleotide exchange factor GNOM	Arabidopsis thaliana	Swiss-Prot	1451	1	xref:araport-AT1G13980
AGI_LocusCode:AT3G43300	mod-id	F4IXW2	BIG5_ARATH	BIG5	Brefeldin A-inhibited guanine nucleotide-exchange protein 5	Arabidopsis thaliana	Swiss-Prot	1739	1	xref:araport-AT3G43300
AGI_LocusCode:AT3G60860	mod-id	Q9LZX8	BIG2_ARATH	BIG2	Brefeldin A-inhibited guanine nucleotide-exchange protein 2	Arabidopsis thaliana	Swiss-Prot	1793	1	xref:araport-AT3G60860
AGI_LocusCode:AT5G39500	mod-id	Q9FLY5	GNL1_ARATH	GNL1	ARF guanine-nucleotide exchange factor GNL1	Arabidopsis thaliana	Swiss-Prot	1443	1	xref:araport-AT5G39500
ARBA:ARBA00026889	arba									n/a
ARBA:ARBA00027178	arba									n/a
ARBA:ARBA00028188	arba									n/a
ARBA:ARBA00028708	arba									n/a
ARBA:ARBA00090632	arba									n/a
FB:FBgn0028538	mod-id	Q9VJW1	Q9VJW1_DROME	Sec71	Secretory 71	Drosophila melanogaster	TrEMBL	1653	1	xref:flybase-FBgn0028538
FB:FBgn0264560	mod-id	A1Z8W8	A1Z8W8_DROME	garz	Golgi-specific brefeldin A-resistance guanine nucleotide exchange factor 1	Drosophila melanogaster	TrEMBL	1983	4	xref:flybase-FBgn0264560
InterPro:IPR000904	interpro									n/a
InterPro:IPR035999	interpro									n/a
MGI:MGI:1334257	mod-id	Q9QX11	CYH1_MOUSE	Cyth1	Cytohesin-1	Mus musculus	Swiss-Prot	398	5	xref:mgi-1334257
MGI:MGI:1918215	mod-id	Q2PFD7	PSD3_MOUSE	Psd3	PH and SEC7 domain-containing protein 3	Mus musculus	Swiss-Prot	1037	5	xref:mgi-1918215
PANTHER:PTN002240728	panther-node				PAINT ancestral node (not a protein)					n/a
PANTHER:PTN002580171	panther-node				PAINT ancestral node (not a protein)					n/a
PANTHER:PTN008950430	panther-node				PAINT ancestral node (not a protein)					n/a
