GO_ID,Aspect,Term,Current_evidence,Recommended_lead,Rationale
GO:0033791,MF,24-hydroxylase activity (THCA-CoA),"IDA(27884763),ISS,IBA","Retain activity, FLAG term","def=hydroxylation(25R,H2O,EC1.17.99.3/RHEA:15733) conflicts with real reaction oxidase(25S,O2->H2O2,RHEA:46728); 24-OH is downstream DBP(15769750)"
GO:0003997,MF,acyl-CoA oxidase activity,IEA,Retain accurate general MF,"def matches: 2,3-sat acyl-CoA+O2=(2E)-enoyl-CoA+H2O2"
GO:0016402,MF,pristanoyl-CoA oxidase activity,IEA:RHEA,Retain branched-chain core,RHEA:40459; PMID:29287774 redundant w/ ACOX3
GO:0120523,MF,medium-chain acyl-CoA oxidase,IEA:RHEA,Retain low-eff capacity,RHEA:40179 C10; minor(29287774)
GO:0120524,MF,long-chain acyl-CoA oxidase,"IEA:RHEA,IBA",Retain low-eff capacity,RHEA:40167 C16; minor(29287774)
GO:0005504,MF,fatty acid binding,IBA only,CANDIDATE REMOVE/non-core,no ACOX2-specific evidence; substrate is acyl-CoA not free FA
GO:0006699,BP,bile acid biosynthetic process,IDA(27884763),Retain,patient C27 accumulation + overexpression rescue
GO:0033540,BP,FA beta-oxidation using acyl-CoA oxidase,"IDA/IMP(27884763),IBA",Retain,def = oxidase first step producing H2O2
GO:0000038,BP,very long-chain fatty acid metabolic process,IBA only,CANDIDATE REMOVE/non-core,def needs >22C aliphatic; ACOX2 <=C16 low-eff; VLCFA=ACOX1(29287774)
GO:0005777,CC,peroxisome,"IDA(2079609;8943006),IMP(27884763),IBA,ISS",Retain,localization well supported
