assigned_by	bioentity	bioentity_label	reference	qualifier	annotation_class	annotation_class_label	evidence_type	evidence_with	bioentity_isoform	panther_family	date	annotation_extension_class	taxon	suggested_bp_terms	rationale_and_supporting_quotes
ComplexPortal	SGD:S000217885	CPX-2143	PMID:23775086		GO:0032917	polyamine acetylation	IDA				20240827		NCBITaxon:559292	GO:0006473 protein acetylation; GO:0006338 chromatin remodeling	CPX-2143 contains Hpa2 and Hpa3, both of which acetylate histone H4 in vitro (Hpa3 also Hpa2). Note: GO histone-specific acetylation BP terms (GO:0043966, GO:0043968) are obsolete as of 2024 (GitHub issue #24294); GO:0006473 is the current recommended BP term. Quote: "Hpa2 and Hpa3 (from Met-19) acetylated histones and polyamines. Whereas Hpa2 acetylated histones H3 and H4 (at H3 Lys-14, H4 Lys-5, and H4 Lys-12), Hpa3 acetylated only histone H4 (at Lys-8)."
ComplexPortal	SGD:S000006397	HPA2	PMID:23775086		GO:0032917	polyamine acetylation	IDA		SGD:S000006397	PANTHER:PTHR10545	20240827		NCBITaxon:559292	GO:0006473 protein acetylation; GO:0006338 chromatin remodeling	Hpa2 directly acetylates histones H3 and H4 at specific lysines (H3-K14, H4-K5, H4-K12). Note: GO histone-specific BP acetylation terms are now obsolete; GO:0006473 (protein acetylation) is the current active BP term. Quote: "Hpa2 acetylated histones H3 and H4 (at H3 Lys-14, H4 Lys-5, and H4 Lys-12)." And: "Hpa2, but not Hpa3, acetylated certain small basic proteins."
RGD	RGD:1586174	Sat1	PMID:15541750		GO:0032918	spermidine acetylation	IDA		RGD:1586174	PANTHER:PTHR10545	20130528		NCBITaxon:10116	GO:0006598 polyamine catabolic process	Paper frames Sat1 in context of polyamine catabolism; SSAT produces acetylated polyamines that are then oxidised by downstream polyamine oxidase. Note: abstract only, full text unavailable. Quote: "the enzyme involved in mitoguazone response of the liver is the polyamine oxidase, which acts on acetylated polyamines as substrate."
TAIR	AGI_LocusCode:AT5G07080	AT5G07080	PMID:33519864|TAIR:Publication:501792985		GO:0032918	spermidine acetylation	IDA		TAIR:locus:2169459		20210214		NCBITaxon:3702	GO:0009699 phenylpropanoid biosynthetic process [NOTE: existing annotation likely incorrect]	AT5G07080 (OAO95042.1) is a BAHD acyltransferase using hydroxycinnamoyl-CoA (not acetyl-CoA) as acyl donor and putrescine (not spermidine) as main acyl-acceptor. The reaction produces phenolamides, not acetylated polyamines. The GO:0032918 annotation is not supported by this paper. Quote: "we successfully predicted and verified the functions of two uncharacterized Arabidopsis BAHD acyltransferases, OAO95042.1 and NP_190301.2, which use putrescine as the main acyl-acceptor." And: "BAHD acyltransferases catalyze the transfer of acyl groups from acyl-donors (Acyl-CoA) to various acyl-acceptors" in the context of "phenolamide biosynthesis."
UniProt	UniProtKB:Q96F10	SAT2	PMID:12803540		GO:0032918	spermidine acetylation	IDA		UniProtKB:Q96F10	PANTHER:PTHR10545	20131209		NCBITaxon:9606	GO:0006598 polyamine catabolic process; GO:0006595 polyamine metabolic process	Paper describes SSAT-2 in the context of the polyamine back-conversion pathway. Note: later work (PMID:15283699) showed SSAT-2 does not function as a polyamine catabolic enzyme in vivo. Quote: "In the polyamine back-conversion pathway, spermine and spermidine are first acetylated by spermidine/spermine N(1)-acetyl-transferase (SSAT-1) and then oxidized by polyamine oxidase to produce spermidine and putrescine respectively."
UniProt	UniProtKB:P21673	SAT1	PMID:15283699		GO:0032918	spermidine acetylation	IDA		UniProtKB:P21673	PANTHER:PTHR10545	20200807		NCBITaxon:9606	GO:0006598 polyamine catabolic process; GO:0006595 polyamine metabolic process	Paper uses SSAT1 as functional comparator and explicitly characterises its role in polyamine homeostasis. Quote: "Spermidine/spermine-N1-acetyltransferase (SSAT1) is a short-lived polyamine catabolic enzyme inducible by polyamines and polyamine analogues. Induction of SSAT1 plays an important role in polyamine homoeostasis, since the N1-acetylated polyamines can be excreted or oxidized by acetylpolyamine oxidase."
UniProt	UniProtKB:Q96F10	SAT2	PMID:15283699	not	GO:0032918	spermidine acetylation	IDA		UniProtKB:Q96F10	PANTHER:PTHR10545	20200807		NCBITaxon:9606	GO:0006520 amino acid metabolic process (positive annotation; no specific GO term exists for thialysine N-acetylation)	NOT annotation strongly supported. Paper additionally shows SAT2's true substrate is thialysine, warranting a positive annotation. No specific GO term exists for thialysine acetylation; GO:0006520 is the best available parent term. Quote: "A promising candidate for the physiological substrate of SSAT2 is thialysine [S-(2-aminoethyl)-L-cysteine], which is acetylated predominantly at the epsilon-amino group with Km and kcat values of 290 muM and 5.2 s-1." And: "SSAT2 should be renamed 'thialysine N(epsilon)-acetyltransferase', and may regulate this pathway."
UniProt	WB:WBGene00008408	D2023.4	PMID:15283700	not	GO:0032918	spermidine acetylation	IDA		WB:WBGene00008408	PANTHER:PTHR10545	20200807		NCBITaxon:6239	GO:0006520 amino acid metabolic process (positive annotation); GO:0009636 response to toxic substance	NOT annotation fully supported. Paper shows D2023.4 preferentially N-acetylates thialysine and confers protection against its toxicity. No specific GO term exists for thialysine acetylation; GO:0006520 is the best available parent. Quote: "the C. elegans N-acetyltransferase prefers thialysine [S-(2-aminoethyl)-L-cysteine]" (based on kcat/Km). And: "heterologous expression of C. elegans N-acetyltransferase D2023.4 in Escherichia coli, which does not possess a homologous gene, results in a pronounced resistance against the anti-metabolite thialysine."
UniProt	UniProtKB:Q5CPU3	SSAT	PMID:17289169		GO:0032918	spermidine acetylation	IDA				20140519		NCBITaxon:353152	GO:0006598 polyamine catabolic process; GO:0006595 polyamine metabolic process	CpSSAT is part of the polyamine back-conversion pathway in C. parvum. Note: abstract only, full text unavailable. Quote: "The parasite scavenges host-derived polyamines, particularly spermine, which is then converted to the lower polyamines by the combined action of spermidine/spermine N(1)-acetyltransferase (SSAT) and polyamine oxidase (PAO)."
UniProt	UniProtKB:Q96F10	SAT2	PMID:12803540		GO:0032919	spermine acetylation	IDA		UniProtKB:Q96F10	PANTHER:PTHR10545	20131209		NCBITaxon:9606	GO:0006598 polyamine catabolic process; GO:0006595 polyamine metabolic process	Same paper as spermidine acetylation annotation for SAT2. SSAT-2 framed in context of polyamine back-conversion. Note: later work showed SSAT-2 is not a genuine polyamine catabolic enzyme in vivo (PMID:15283699). Quote: "In the polyamine back-conversion pathway, spermine and spermidine are first acetylated by spermidine/spermine N(1)-acetyl-transferase (SSAT-1) and then oxidized by polyamine oxidase to produce spermidine and putrescine respectively."
