AI suggested action	AI note	COMMENT (FIXED /OK) - by Contributor	Contributor note	Git handle of respondent	assigned_by	bioentity	bioentity_label	reference	qualifier	annotation_class	annotation_class_label	evidence_type	evidence_with	bioentity_isoform	panther_family	date	annotation_extension_class	taxon
UNDECIDED	PMID:37486705 supports chaperone-related handling of non-native clients for AHSA1, but the precise MF replacement requires curator choice (e.g., carrier vs unfolded-protein binding term).				DisProt	UniProtKB:O95433	AHSA1	PMID:37486705		GO:0036506	maintenance of unfolded protein	EXP		UniProtKB:O95433	PANTHER:PTHR13009	20220228		NCBITaxon:9606
UNDECIDED	PMID:37486705 supports chaperone-related handling of non-native clients for AHSA1, but the precise MF replacement requires curator choice (e.g., carrier vs unfolded-protein binding term).				DisProt	UniProtKB:O95433	AHSA1	PMID:37486705		GO:0036506	maintenance of unfolded protein	IDA		UniProtKB:O95433	PANTHER:PTHR13009	20220228		NCBITaxon:9606
TRANSFER_TO GO:0140309 unfolded protein holdase activity	PMID:14685279 describes Hsp33 as a chaperone holdase that binds unfolding protein intermediates and sequesters them until DnaK/DnaJ/GrpE can refold them; migrate to unfolded protein holdase activity (GO:0051082 obsoleted).				EcoCyc	EcoCyc:G7744-MONOMER	Hsp33	PMID:14685279		GO:0036506	maintenance of unfolded protein	IDA		EcoCyc:G7744-MONOMER		20160706		NCBITaxon:83333
TRANSFER_TO GO:0140309 unfolded protein holdase activity	PMID:22385960 shows Hsp33 uses its own disordered regions to bind and sequester unfolded/partially-structured client proteins, holding them until refolding conditions are restored; migrate to unfolded protein holdase activity (GO:0051082 obsoleted).				EcoCyc	EcoCyc:G7744-MONOMER	Hsp33	PMID:22385960		GO:0036506	maintenance of unfolded protein	IDA		EcoCyc:G7744-MONOMER		20160706		NCBITaxon:83333
TRANSFER_TO GO:0140309 unfolded protein holdase activity	PMID:26344570 supports SurA maintaining OMP clients in an unfolded state for downstream handling; transfer to unfolded protein holdase activity.				EcoCyc	EcoCyc:EG10985-MONOMER	SurA	PMID:26344570		GO:0036506	maintenance of unfolded protein	IDA		EcoCyc:EG10985-MONOMER		20241103		NCBITaxon:83333
TRANSFER_TO GO:0140309 unfolded protein holdase activity	PMID:2834066 supports SecB antifolding/chaperone function on preproteins; replace obsolete process term with unfolded protein holdase activity.				EcoCyc	EcoCyc:SECB	SecB	PMID:2834066		GO:0036506	maintenance of unfolded protein	IMP		EcoCyc:SECB		20211202		NCBITaxon:83333
TRANSFER_TO GO:0140309 unfolded protein holdase activity	PMID:2848249 supports SecB maintaining substrate proteins in export-competent unfolded conformations; transfer to unfolded protein holdase activity.				EcoCyc	EcoCyc:SECB	SecB	PMID:2848249		GO:0036506	maintenance of unfolded protein	IDA		EcoCyc:SECB		20211202		NCBITaxon:83333
TRANSFER_TO GO:0140597 protein carrier activity	PMID:29754824 supports CnoX chaperone-client maintenance/escort behavior; map obsolete process annotation to protein carrier activity MF.				EcoCyc	EcoCyc:G6268-MONOMER	CnoX	PMID:29754824		GO:0036506	maintenance of unfolded protein	IDA		EcoCyc:G6268-MONOMER		20180620		NCBITaxon:83333
TRANSFER_TO GO:0140597 protein carrier activity	PMID:21636303 supports BAG6/GET4 pathway client shielding/transfer; replace obsolete process term with protein carrier activity MF for GET4.				ParkinsonsUK-UCL	UniProtKB:Q7L5D6	GET4	PMID:21636303		GO:0036506	maintenance of unfolded protein	IMP		UniProtKB:Q7L5D6	PANTHER:PTHR12875	20231121	GO:0036503	NCBITaxon:9606
TRANSFER_TO GO:0140597 protein carrier activity	PMID:21636303 supports BAG6-mediated client maintenance/transfer in this pathway; replace obsolete process term with protein carrier activity MF.				ParkinsonsUK-UCL	UniProtKB:P46379	BAG6	PMID:21636303		GO:0036506	maintenance of unfolded protein	IMP		UniProtKB:P46379	PANTHER:PTHR15204	20231121	GO:0036503	NCBITaxon:9606
TRANSFER_TO GO:0140597 protein carrier activity	PMID:21636303 supports complex-level client maintenance/transfer activity; replace obsolete process term with protein carrier activity MF.				ParkinsonsUK-UCL	ComplexPortal:CPX-132	bag6-ubl4a-get4_human	PMID:21636303		GO:0036506	maintenance of unfolded protein	IMP				20231121	GO:0036503	NCBITaxon:9606
REMOVE	PMID:24424410 supports USP13 regulatory/deubiquitination roles in ERAD context rather than direct unfolded-protein maintenance/chaperone MF.				ParkinsonsUK-UCL	UniProtKB:Q92995	USP13	PMID:24424410		GO:0036506	maintenance of unfolded protein	IMP		UniProtKB:Q92995	PANTHER:PTHR24006	20231121	GO:0036503	NCBITaxon:9606
KEEP	GO:0140597 is already a molecular-function term (protein carrier activity) and is the expected replacement class for GO:0036506 migrations.				ParkinsonsUK-UCL	UniProtKB:P46379	BAG6	PMID:21636303		GO:0140597	protein carrier activity	IDA		UniProtKB:P46379	PANTHER:PTHR15204	20241101	GO:0036506	NCBITaxon:9606
