AI suggested action	AI note	COMMENT (FIXED /OK) - by Contributor	Contributor note	Git handle of respondent	assigned_by	bioentity	bioentity_label	reference	qualifier	annotation_class	annotation_class_label	evidence_type	evidence_with	bioentity_isoform	panther_family	date	annotation_extension_class	taxon
TRANSFER_TO_MF_GO:0140474 + ADD_BP: GO:0097553 (calcium ion transmembrane transport from endoplasmic reticulum, or GO:0010975 regulation of neuron projection development as BP)	PACS-2 controls ER-mitochondria apposition by maintaining MAM integrity; the paper (PMID:15692567) demonstrates that PACS-2 also controls ER lipid-synthesizing centers (MAMs) and ER homeostasis and, upon apoptotic induction, translocates Bid to mitochondria via a Ca2+-related pathway. The evidence supports both the tethering activity (transfer to MF) and participation in apoptosis regulation as a broader BP (e.g. GO:0097553 calcium ion transmembrane transport from ER, or apoptosis via the ER-mitochondria axis).				CACAO	UniProtKB:Q86VP3	PACS2	PMID:15692567		GO:1990456	mitochondrion-endoplasmic reticulum membrane tethering	IMP		UniProtKB:Q86VP3	PANTHER:PTHR13280	20170228		NCBITaxon:9606
TRANSFER_TO_MF_GO:0140474	PMID:21945531 identifies Gem1 as a new ERMES subunit and maps the glycosylation sites of ERMES components; the focus is on the structural composition and topology of the complex with no functional experiments in this paper demonstrating a broader BP beyond the tethering activity. Evidence type is NAS.				ComplexPortal	SGD:S000003187	MDM34	PMID:21945531		GO:1990456	mitochondrion-endoplasmic reticulum membrane tethering	NAS		SGD:S000003187	PANTHER:PTHR28185	20240827		NCBITaxon:559292
TRANSFER_TO_MF_GO:0140474	PMID:21945531 identifies Gem1 as a new ERMES subunit and characterizes ERMES composition and topology; the study focuses on the structure of the complex without providing direct experimental evidence in this paper for a specific downstream BP beyond tethering. Evidence type is NAS.				ComplexPortal	SGD:S000000046	GEM1	PMID:21945531		GO:1990456	mitochondrion-endoplasmic reticulum membrane tethering	NAS		SGD:S000000046	PANTHER:PTHR24072	20240827		NCBITaxon:559292
TRANSFER_TO_MF_GO:0140474	PMID:21945531 identifies Gem1 as a new ERMES subunit and characterizes ERMES composition and topology; no functional BP experiments are performed in this paper beyond demonstrating complex membership. Evidence type is NAS.				ComplexPortal	SGD:S000000008	MDM10	PMID:21945531		GO:1990456	mitochondrion-endoplasmic reticulum membrane tethering	NAS		SGD:S000000008	PANTHER:PTHR28035	20240827		NCBITaxon:559292
TRANSFER_TO_MF_GO:0140474	PMID:21945531 characterizes ERMES composition and topology in yeast; the complex entity annotation is NAS and the paper does not provide direct experimental evidence in this paper for a broader BP beyond tethering for this complex entry.				ComplexPortal	SGD:S000217827	CPX-3196	PMID:21945531		GO:1990456	mitochondrion-endoplasmic reticulum membrane tethering	NAS				20240827		NCBITaxon:559292
TRANSFER_TO_MF_GO:0140474	PMID:21945531 identifies Gem1 as a new ERMES subunit and maps ERMES topology; no direct experimental BP evidence beyond complex composition is provided in this paper for Mmm1. Evidence type is NAS.				ComplexPortal	SGD:S000003929	MMM1	PMID:21945531		GO:1990456	mitochondrion-endoplasmic reticulum membrane tethering	NAS		SGD:S000003929	PANTHER:PTHR13466	20240827		NCBITaxon:559292
TRANSFER_TO_MF_GO:0140474	PMID:21945531 identifies Gem1 as a new ERMES subunit and maps ERMES topology; no direct experimental BP evidence beyond complex composition is provided in this paper for Mdm12. Evidence type is NAS.				ComplexPortal	SGD:S000005369	MDM12	PMID:21945531		GO:1990456	mitochondrion-endoplasmic reticulum membrane tethering	NAS		SGD:S000005369	PANTHER:PTHR28204	20240827		NCBITaxon:559292
TRANSFER_TO_MF_GO:0140474 + ADD_BP: GO:0048313 (mitochondrion distribution)	PMID:23341591 shows by IDA that Num1, together with Mdm36, forms the MECA tether that anchors mitochondria to the cell cortex via ER; the paper directly demonstrates that Num1-dependent anchoring is essential for distribution of the mitochondrial network (GO:0048313 mitochondrion distribution), making this a clear BP supported by the cited reference.				ComplexPortal	SGD:S000002557	NUM1	PMID:23341591		GO:1990456	mitochondrion-endoplasmic reticulum membrane tethering	IDA		SGD:S000002557	PANTHER:PTHR28190	20240827		NCBITaxon:559292
TRANSFER_TO_MF_GO:0140474 + ADD_BP: GO:0048313 (mitochondrion distribution)	PMID:23341591 shows by IDA that Mdm36, together with Num1, forms the MECA tether; Mdm36 stabilizes Num1 cluster assembly and is required for robust mitochondrial anchoring to the cortex, which is directly shown to be essential for mitochondrion distribution (GO:0048313) in fzo1 dnm1 cells.				ComplexPortal	SGD:S000006287	MDM36	PMID:23341591		GO:1990456	mitochondrion-endoplasmic reticulum membrane tethering	IDA		SGD:S000006287		20240827		NCBITaxon:559292
TRANSFER_TO_MF_GO:0140474 + ADD_BP: GO:0048313 (mitochondrion distribution)	PMID:23341591 shows by IDA that the MECA complex (Num1 + Mdm36, CPX-8559) tethers mitochondria to the cortex via ER; this tethering is directly demonstrated to be essential for mitochondrion distribution (GO:0048313) in cells lacking mitochondrial dynamics proteins.				ComplexPortal	SGD:S000348575	CPX-8559	PMID:23341591		GO:1990456	mitochondrion-endoplasmic reticulum membrane tethering	IDA				20240827		NCBITaxon:559292
