AI suggested action	AI note	COMMENT (FIXED /OK) - by Contributor	Contributor note	Git handle of respondent	assigned_by	bioentity	bioentity_label	reference	qualifier	annotation_class	annotation_class_label	evidence_type	evidence_with	bioentity_isoform	panther_family	date	annotation_extension_class	taxon
UNDECIDED	PMID:18513366 reports broad altered aminergic neurotransmission/decreased intracellular aminergic transmitters in Oct3/Slc22a3 KO, but does not directly support serotonin-specific uptake.				ARUK-UCL	MGI:MGI:1333817	Slc22a3	PMID:18513366		GO:0006837	serotonin transport	IMP		MGI:MGI:1333817	PANTHER:PTHR24064	20200604	UBERON:0000988	NCBITaxon:10090
TRANSFER_TO GO:0051610 serotonin uptake	'Serotonin transporters (SERTs) are targets for drugs such as Prozac that increase serotonin levels by blocking 5HT reuptake' (PMID:10404179); dSERT plasma membrane reuptake				FlyBase	FB:FBgn0010414	SerT	PMID:10404179		GO:0006837	serotonin transport	IDA		FB:FBgn0010414	PANTHER:PTHR11616	20190926		NCBITaxon:7227
TRANSFER_TO GO:0098700 neurotransmitter loading into synaptic vesicle	'DVMAT-A recognizes DA, 5HT, octopamine, tyramine, and histamine as substrates...vesicular transporter' (PMID:15849736)				FlyBase	FB:FBgn0260964	Vmat	PMID:15849736		GO:0006837	serotonin transport	IDA		FB:FBgn0260964	PANTHER:PTHR23506	20251128		NCBITaxon:7227
TRANSFER_TO GO:0051610 serotonin uptake	SERT is canonical serotonin reuptake transporter (PMID:12220705 TAS)				RGD	RGD:3714	Slc6a4	PMID:12220705		GO:0006837	serotonin transport	TAS		RGD:3714	PANTHER:PTHR11616	20050217		NCBITaxon:10116
TRANSFER_TO GO:0051610 serotonin uptake	SERT KO mouse shows 5-HT depletion confirming serotonin reuptake function (IMP)				RGD	RGD:3714	Slc6a4	PMID:15994310		GO:0006837	serotonin transport	IMP		RGD:3714	PANTHER:PTHR11616	20060817		NCBITaxon:10116
UNDECIDED	PMID:10196521 primarily supports OCT3 as an extraneuronal catecholamine/organic cation transporter; insufficient primary evidence in this row for serotonin-specific uptake transfer.				UniProt	UniProtKB:O75751	SLC22A3	PMID:10196521		GO:0006837	serotonin transport	IDA		UniProtKB:O75751	PANTHER:PTHR24064	20230125		NCBITaxon:9606
TRANSFER_TO GO:0051610 serotonin uptake	'SERT plays a critical role...SERT-mediated 5-HT uptake' (PMID:11709063)				UniProt	RGD:3714	Slc6a4	PMID:11709063		GO:0006837	serotonin transport	IDA		RGD:3714	PANTHER:PTHR11616	20100827		NCBITaxon:10116
TRANSFER_TO GO:0051610 serotonin uptake	OCT1-mediated serotonin uptake at the plasma membrane is supported by the cited study (PMID:12439218).				UniProt	UniProtKB:O15245	SLC22A1	PMID:12439218		GO:0006837	serotonin transport	IDA		UniProtKB:O15245	PANTHER:PTHR24064	20221005		NCBITaxon:9606
TRANSFER_TO GO:0051610 serotonin uptake	'PMAT efficiently transports serotonin (Km=114 uM)' (PMID:15448143); plasma membrane uptake				UniProt	UniProtKB:Q7RTT9	SLC29A4	PMID:15448143		GO:0006837	serotonin transport	IDA		UniProtKB:Q7RTT9	PANTHER:PTHR10332	20230125		NCBITaxon:9606
TRANSFER_TO GO:0051610 serotonin uptake	Rat OCT1-mediated serotonin uptake at the plasma membrane is supported by the cited study (PMID:15662044).				UniProt	RGD:3224	Slc22a1	PMID:15662044		GO:0006837	serotonin transport	IDA		RGD:3224	PANTHER:PTHR24064	20221005		NCBITaxon:10116
