recommended_replacement	reasoning	assigned_by	bioentity	bioentity_label	reference	qualifier	annotation_class	annotation_class_label	evidence_type	evidence_with	bioentity_isoform	panther_family	date	annotation_extension_class	taxon
REPLACE: GO:0006904 vesicle docking involved in exocytosis (BP)	Exocyst complex subunit. The exocyst is the canonical vesicle tethering complex, physically bridging secretory vesicles to the plasma membrane prior to SNARE-mediated fusion and docking. NAS from bioinformatics screen (PMID:10798391) identifying fly homologs of vertebrate SVC proteins; experimental support exists in the broader literature. Note: if a specific BP term for vesicle tethering exists (child of GO:0006904), that would be even more precise.	FlyBase	FB:FBgn0290418	Exo84	PMID:10798391		GO:0016080	synaptic vesicle targeting	NAS		FB:FBgn0290418		20070523		NCBITaxon:7227
REPLACE: GO:0007416 synapse assembly (BP)	CASK is a MAGUK scaffold protein (CaMK-like, L27, PDZ, SH3, GK domains) that organizes the presynaptic active zone and links neurexin to the cytoskeleton; it is not an exocyst/tethering complex subunit. PMID:10798391 is a genome-wide bioinformatics screen with NAS evidence — it provides no direct experimental support for vesicle targeting. Synapse assembly is more appropriate for a scaffold protein.	FlyBase	FB:FBgn0013759	CASK	PMID:10798391		GO:0016080	synaptic vesicle targeting	NAS		FB:FBgn0013759	PANTHER:PTHR23122	20070523		NCBITaxon:7227
REPLACE: GO:0006904 vesicle docking involved in exocytosis (BP)	Exocyst complex subunit. Same reasoning as Exo84: the exocyst tethers vesicles to the plasma membrane prior to docking and fusion. NAS from bioinformatics screen (PMID:10798391). Verify whether a more specific BP tethering child term exists.	FlyBase	FB:FBgn0266673	Sec10	PMID:10798391		GO:0016080	synaptic vesicle targeting	NAS		FB:FBgn0266673	PANTHER:PTHR12100	20070523		NCBITaxon:7227
REPLACE: GO:0006904 vesicle docking involved in exocytosis (BP)	Exocyst complex subunit. Same reasoning as Exo84: the exocyst tethers vesicles to the plasma membrane prior to docking and fusion. NAS from bioinformatics screen (PMID:10798391). Verify whether a more specific BP tethering child term exists.	FlyBase	FB:FBgn0266672	Sec8	PMID:10798391		GO:0016080	synaptic vesicle targeting	NAS		FB:FBgn0266672	PANTHER:PTHR14146	20070523		NCBITaxon:7227
REPLACE: GO:0006904 vesicle docking involved in exocytosis (BP)	Exocyst complex subunit. Same reasoning as Exo84: the exocyst tethers vesicles to the plasma membrane prior to docking and fusion. NAS from bioinformatics screen (PMID:10798391). Verify whether a more specific BP tethering child term exists.	FlyBase	FB:FBgn0266671	Sec6	PMID:10798391		GO:0016080	synaptic vesicle targeting	NAS		FB:FBgn0266671	PANTHER:PTHR21292	20070523		NCBITaxon:7227
REPLACE: GO:0006904 vesicle docking involved in exocytosis (BP)	Exocyst complex subunit. Same reasoning as Exo84: the exocyst tethers vesicles to the plasma membrane prior to docking and fusion. NAS from bioinformatics screen (PMID:10798391). Verify whether a more specific BP tethering child term exists.	FlyBase	FB:FBgn0266670	Sec5	PMID:10798391		GO:0016080	synaptic vesicle targeting	NAS		FB:FBgn0266670	PANTHER:PTHR13043	20070523		NCBITaxon:7227
REPLACE: GO:0006904 vesicle docking involved in exocytosis (BP)	Exocyst complex subunit. Same reasoning as Exo84: the exocyst tethers vesicles to the plasma membrane prior to docking and fusion. NAS from bioinformatics screen (PMID:10798391). Verify whether a more specific BP tethering child term exists.	FlyBase	FB:FBgn0266667	Exo70	PMID:10798391		GO:0016080	synaptic vesicle targeting	NAS		FB:FBgn0266667	PANTHER:PTHR12542	20070523		NCBITaxon:7227
REPLACE: GO:0048489 synaptic vesicle transport (BP)	PMID:12805290 shows that PS1 mutations increase GSK3β activity, causing hyperphosphorylation of kinesin light chains, reduced kinesin binding to membrane organelles, and decreased vesicle density in neuritic processes. The defect is in kinesin-based fast axonal transport, not in targeting to the active zone. GO:0016080 is an overreach; synaptic vesicle transport (GO:0048489) better reflects the paper's finding.	MGI	MGI:MGI:1202717	Psen1	PMID:12805290		GO:0016080	synaptic vesicle targeting	IMP		MGI:MGI:1202717	PANTHER:PTHR10202	20080125		NCBITaxon:10090
REPLACE: GO:0045920 negative regulation of exocytosis (BP)	PMID:10321247 shows CDCrel-1/SEPTIN5 localizes to synaptic vesicles, directly binds syntaxin-1 (t-SNARE), and negatively regulates exocytosis: overexpression inhibits secretion, dominant-negative mutants enhance it. The function is inhibition of SNARE-mediated vesicle fusion, not vesicle targeting. GO:0045920 (negative regulation of exocytosis) is the correct BP term.	UniProt	UniProtKB:Q99719	SEPTIN5	PMID:10321247		GO:0016080	synaptic vesicle targeting	TAS		UniProtKB:Q99719	PANTHER:PTHR18884	20050505		NCBITaxon:9606
REPLACE: GO:0097091 synaptic vesicle clustering (BP)	PMID:10508862 describes Aczonin (PCLO) as a ~550 kDa presynaptic active zone scaffolding protein with zinc fingers, PDZ, and C2 domains, concentrated at active zones and binding profilin. The paper proposes a role in organizing active zone architecture. Synaptic vesicle clustering (GO:0097091) is more accurate than synaptic vesicle targeting for a structural scaffold. Evidence is NAS.	UniProt	MGI:MGI:1349390	Pclo	PMID:10508862		GO:0016080	synaptic vesicle targeting	NAS		MGI:MGI:1349390	PANTHER:PTHR14113	20020430		NCBITaxon:10090
REPLACE: GO:0097091 synaptic vesicle clustering (BP)	PMID:10707984 describes Piccolo as an active zone cytomatrix protein structurally related to Bassoon, whose zinc finger domains interact with PRA1 (a Rab-GDI displacement factor). Role is in organizing the presynaptic active zone via the Rab GTPase pathway. Synaptic vesicle clustering (GO:0097091) is more accurate for an active zone scaffold. Evidence is NAS.	UniProt	RGD:69406	Pclo	PMID:10707984		GO:0016080	synaptic vesicle targeting	NAS		RGD:69406	PANTHER:PTHR14113	20020430		NCBITaxon:10116
REPLACE: GO:0007416 synapse assembly (BP)	PMID:10892652 shows Neuroligin-1 is a postsynaptic cell-adhesion molecule that triggers de novo presynaptic differentiation in contacting axons via trans-synaptic interaction with β-neurexin. It is a synaptogenic organizer, not a vesicle targeting/tethering factor. GO:0007416 (synapse assembly) reflects the paper's core finding. IMP evidence: knockout disrupts presynaptic assembly.	UniProt	MGI:MGI:2179435	Nlgn1	PMID:10892652		GO:0016080	synaptic vesicle targeting	IMP		MGI:MGI:2179435	PANTHER:PTHR43903	20030815		NCBITaxon:10090
REPLACE: GO:0097091 synaptic vesicle clustering (BP)	PMID:19458197 directly demonstrates that scribble knockdown causes "diffuse distribution of synaptic vesicles along the axon" without affecting synapse number or active zone (Bassoon) distribution. The paper title is "Scribble interacts with beta-catenin to localize synaptic vesicles to synapses" and concludes "scribble functions downstream of β-catenin to cluster synaptic vesicles at developing synapses." GO:0097091 precisely captures this function.	UniProt	MGI:MGI:2145950	Scrib	PMID:19458197		GO:0016080	synaptic vesicle targeting	IMP		MGI:MGI:2145950	PANTHER:PTHR23119	20090831		NCBITaxon:10090
REPLACE: GO:0048489 synaptic vesicle transport (BP)	PMID:23527112 shows that loss of mec-15 (F-box/SCF ubiquitin ligase adaptor) causes SNB-1 (synaptobrevin) to accumulate in cell bodies and be depleted at GABAergic synapses, selectively impairing GABAergic but not cholinergic transmission. The phenotype is a failure of synaptic vesicle protein trafficking to synapses. GO:0048489 (synaptic vesicle transport) captures this better than the obsolete targeting term.	WB	WB:WBGene00003177	mec-15	PMID:23527112		GO:0016080	synaptic vesicle targeting	IMP		WB:WBGene00003177	PANTHER:PTHR19855	20170113	UniProtKB:O02495	NCBITaxon:6239
