action	gp2term	notes	assigned_by	bioentity	bioentity_label	reference	qualifier	existing_gp2term	annotation_class	annotation_class_label	evidence_type	evidence_with	bioentity_isoform	panther_family	date	annotation_extension_class	taxon
REANNOTATE GO:7770062 vesicle membrane tethering activity	enables	"Exocyst complex (human complex CPX-4944). PMID:22420621 is a review confirming the exocyst is ""an evolutionarily conserved multisubunit protein complex implicated in tethering secretory vesicles to the plasma membrane."" All eight exocyst subunits function together as the tethering complex. Reannotate to GO:7770062 vesicle membrane tethering activity (MF)."	ComplexPortal	ComplexPortal:CPX-4944	exocyst_human-1	PMID:22420621		involved_in	GO:0090522	vesicle tethering involved in exocytosis	NAS				20251229		NCBITaxon:9606
REANNOTATE GO:7770062 vesicle membrane tethering activity	enables	"Exocyst complex (human complex CPX-4943). PMID:22420621 review establishes the exocyst complex as ""implicated in tethering secretory vesicles to the plasma membrane."" Reannotate to GO:7770062 vesicle membrane tethering activity (MF)."	ComplexPortal	ComplexPortal:CPX-4943	exocyst_human	PMID:22420621		involved_in	GO:0090522	vesicle tethering involved in exocytosis	NAS				20251229		NCBITaxon:9606
REANNOTATE GO:7770062 vesicle membrane tethering activity	enables	"Exoc8 (mouse Exo84 homolog), exocyst subunit. PMID:22420621 review establishes the exocyst complex role in ""tethering secretory vesicles to the plasma membrane."" Reannotate to GO:7770062 vesicle membrane tethering activity (MF)."	ComplexPortal	MGI:MGI:2142527	Exoc8	PMID:22420621		involved_in	GO:0090522	vesicle tethering involved in exocytosis	NAS		MGI:MGI:2142527	PANTHER:PTHR21426	20250305		NCBITaxon:10090
REANNOTATE GO:7770062 vesicle membrane tethering activity	enables	Exoc2 (mouse Sec5 homolog), exocyst subunit. PMID:22420621 review establishes exocyst tethering function. Reannotate to GO:7770062 vesicle membrane tethering activity (MF).	ComplexPortal	MGI:MGI:1913732	Exoc2	PMID:22420621		involved_in	GO:0090522	vesicle tethering involved in exocytosis	NAS		MGI:MGI:1913732	PANTHER:PTHR13043	20250305		NCBITaxon:10090
REANNOTATE GO:7770062 vesicle membrane tethering activity	enables	Exoc5 (mouse Sec10 homolog), exocyst subunit. PMID:22420621 review establishes exocyst tethering function. Reannotate to GO:7770062 vesicle membrane tethering activity (MF).	ComplexPortal	MGI:MGI:2145645	Exoc5	PMID:22420621		involved_in	GO:0090522	vesicle tethering involved in exocytosis	NAS		MGI:MGI:2145645	PANTHER:PTHR12100	20250305		NCBITaxon:10090
REANNOTATE GO:7770062 vesicle membrane tethering activity	enables	Exoc4 (mouse Sec8 homolog), exocyst subunit. PMID:22420621 review establishes exocyst tethering function. Reannotate to GO:7770062 vesicle membrane tethering activity (MF).	ComplexPortal	MGI:MGI:1096376	Exoc4	PMID:22420621		involved_in	GO:0090522	vesicle tethering involved in exocytosis	NAS		MGI:MGI:1096376	PANTHER:PTHR14146	20250305		NCBITaxon:10090
REANNOTATE GO:7770062 vesicle membrane tethering activity	enables	Exoc6b (mouse Sec15 paralog), exocyst subunit. PMID:22420621 review establishes exocyst tethering function. Reannotate to GO:7770062 vesicle membrane tethering activity (MF).	ComplexPortal	MGI:MGI:1923164	Exoc6b	PMID:22420621		involved_in	GO:0090522	vesicle tethering involved in exocytosis	NAS		MGI:MGI:1923164	PANTHER:PTHR12702	20250305		NCBITaxon:10090
REANNOTATE GO:7770062 vesicle membrane tethering activity	enables	Exoc6 (mouse Sec15 homolog), exocyst subunit. PMID:22420621 review establishes exocyst tethering function. Reannotate to GO:7770062 vesicle membrane tethering activity (MF).	ComplexPortal	MGI:MGI:1351611	Exoc6	PMID:22420621		involved_in	GO:0090522	vesicle tethering involved in exocytosis	NAS		MGI:MGI:1351611	PANTHER:PTHR12702	20250305		NCBITaxon:10090
REANNOTATE GO:7770062 vesicle membrane tethering activity	enables	"EXOC2 (human Sec5 homolog), exocyst subunit. PMID:22420621 review establishes exocyst as ""implicated in tethering secretory vesicles to the plasma membrane."" Reannotate to GO:7770062 vesicle membrane tethering activity (MF)."	ComplexPortal	UniProtKB:Q96KP1	EXOC2	PMID:22420621		involved_in	GO:0090522	vesicle tethering involved in exocytosis	NAS		UniProtKB:Q96KP1	PANTHER:PTHR13043	20251229		NCBITaxon:9606
REANNOTATE GO:7770062 vesicle membrane tethering activity	enables	EXOC6B (human Sec15 paralog), exocyst subunit. PMID:22420621 review establishes exocyst tethering function. Reannotate to GO:7770062 vesicle membrane tethering activity (MF).	ComplexPortal	UniProtKB:Q9Y2D4	EXOC6B	PMID:22420621		involved_in	GO:0090522	vesicle tethering involved in exocytosis	NAS		UniProtKB:Q9Y2D4	PANTHER:PTHR12702	20251229		NCBITaxon:9606
REANNOTATE GO:7770062 vesicle membrane tethering activity	enables	EXOC1 (human Sec3 homolog), exocyst subunit. PMID:22420621 review establishes exocyst tethering function. Reannotate to GO:7770062 vesicle membrane tethering activity (MF).	ComplexPortal	UniProtKB:Q9NV70	EXOC1	PMID:22420621		involved_in	GO:0090522	vesicle tethering involved in exocytosis	NAS		UniProtKB:Q9NV70	PANTHER:PTHR16092	20251229		NCBITaxon:9606
REANNOTATE GO:7770062 vesicle membrane tethering activity	enables	EXOC7 (human Exo70 homolog), exocyst subunit. PMID:22420621 review establishes exocyst tethering function. Reannotate to GO:7770062 vesicle membrane tethering activity (MF).	ComplexPortal	UniProtKB:Q9UPT5	EXOC7	PMID:22420621		involved_in	GO:0090522	vesicle tethering involved in exocytosis	NAS		UniProtKB:Q9UPT5	PANTHER:PTHR12542	20251229		NCBITaxon:9606
REANNOTATE GO:7770062 vesicle membrane tethering activity	enables	EXOC4 (human Sec8 homolog), exocyst subunit. PMID:22420621 review establishes exocyst tethering function. Reannotate to GO:7770062 vesicle membrane tethering activity (MF).	ComplexPortal	UniProtKB:Q96A65	EXOC4	PMID:22420621		involved_in	GO:0090522	vesicle tethering involved in exocytosis	NAS		UniProtKB:Q96A65	PANTHER:PTHR14146	20251229		NCBITaxon:9606
REANNOTATE GO:7770062 vesicle membrane tethering activity	enables	EXOC8 (human Exo84 homolog), exocyst subunit. PMID:22420621 review establishes exocyst tethering function. Reannotate to GO:7770062 vesicle membrane tethering activity (MF).	ComplexPortal	UniProtKB:Q8IYI6	EXOC8	PMID:22420621		involved_in	GO:0090522	vesicle tethering involved in exocytosis	NAS		UniProtKB:Q8IYI6	PANTHER:PTHR21426	20251229		NCBITaxon:9606
REANNOTATE GO:7770062 vesicle membrane tethering activity	enables	Exoc3 (mouse Sec6 homolog), exocyst subunit. PMID:22420621 review establishes exocyst tethering function. Reannotate to GO:7770062 vesicle membrane tethering activity (MF).	ComplexPortal	MGI:MGI:2443972	Exoc3	PMID:22420621		involved_in	GO:0090522	vesicle tethering involved in exocytosis	NAS		MGI:MGI:2443972	PANTHER:PTHR21292	20250305		NCBITaxon:10090
