symbol,uniprot_id,species,reason_included
dfrP,D0VXF2,9CAUD,bioreason-rl-eval
fibrolase,P28891,AGKCO,bioreason-rl-eval
PGRPLB,F5HMW5,ANOGA,bioreason-rl-eval
BRI1,O22476,ARATH,bioreason-rl-eval
COP1,P43254,ARATH,bioreason-rl-eval
ETR1,P49333,ARATH,bioreason-rl-eval
amyE,P00691,BACSU,bioreason-rl-eval
aprE,P04189,BACSU,bioreason-rl-eval
comK,P40396,BACSU,bioreason-rl-eval
divIVA,P71021,BACSU,bioreason-rl-eval
fliY,P24073,BACSU,bioreason-rl-eval
ftsZ,P17865,BACSU,bioreason-rl-eval
secA,P28366,BACSU,bioreason-rl-eval
sigF,P07860,BACSU,bioreason-rl-eval
sigG,P19940,BACSU,bioreason-rl-eval
sigK,P12254,BACSU,bioreason-rl-eval
spo0A,P06534,BACSU,bioreason-rl-eval
spoIIE,P37475,BACSU,bioreason-rl-eval
spoIIGA,P13801,BACSU,bioreason-rl-eval
Akt1,Q8INB9,DROME,bioreason-rl-eval
Buffy,Q8T8Y5,DROME,bioreason-rl-eval
CRY,O77059,DROME,bioreason-rl-eval
Dscam1,Q0E9H9,DROME,bioreason-rl-eval
Hsp83,P02828,DROME,bioreason-rl-eval
LysB,Q08694,DROME,bioreason-rl-eval
Nmnat,Q9VC03,DROME,bioreason-rl-eval
git,Q95RG8,DROME,bioreason-rl-eval
CnoX,P77395,ECOLI,bioreason-rl-eval
CpxP,P0AE85,ECOLI,bioreason-rl-eval
DnaJ,P08622,ECOLI,bioreason-rl-eval
DnaK,P0A6Y8,ECOLI,bioreason-rl-eval
GroEL,P0A6F5,ECOLI,bioreason-rl-eval
RidA,P0AF93,ECOLI,bioreason-rl-eval
SecB,P0AG86,ECOLI,bioreason-rl-eval
Skp,P0AEU7,ECOLI,bioreason-rl-eval
SlyD,P0A9K9,ECOLI,bioreason-rl-eval
Spy,P77754,ECOLI,bioreason-rl-eval
ftsI,P0AD68,ECOLI,bioreason-rl-eval
mrdA,P0AD65,ECOLI,bioreason-rl-eval
surA,P0ABZ6,ECOLI,bioreason-rl-eval
BenR,Q88I42,PSEPK,bioreason-rl-eval
catA,Q88GK8,PSEPK,bioreason-rl-eval
ftsY,Q88CR9,PSEPK,bioreason-rl-eval
mrcA,Q88CU6,PSEPK,bioreason-rl-eval
pedH,Q88JH0,PSEPK,bioreason-rl-eval
phaC,Q88D23,PSEPK,bioreason-rl-eval
pvdA,Q88GC8,PSEPK,bioreason-rl-eval
rpoS,Q88ME8,PSEPK,bioreason-rl-eval
Epe1,O94603,SCHPO,bioreason-rl-eval
SPAC8E11.10,Q9Y6Z9,SCHPO,bioreason-rl-eval
SPCC16C4.02c,O74447,SCHPO,bioreason-rl-eval
Shu1,Q92340,SCHPO,bioreason-rl-eval
Tim10,Q9UTE9,SCHPO,bioreason-rl-eval
alo1,Q9HDX8,SCHPO,bioreason-rl-eval
atg101,O13978,SCHPO,bioreason-rl-eval
atg13,O36019,SCHPO,bioreason-rl-eval
atg16,O94656,SCHPO,bioreason-rl-eval
atg2,O94649,SCHPO,bioreason-rl-eval
atg38,O94427,SCHPO,bioreason-rl-eval
atg5,O74971,SCHPO,bioreason-rl-eval
bst1,Q9UT41,SCHPO,bioreason-rl-eval
cps1,O13968,SCHPO,bioreason-rl-eval
cts2,Q9C105,SCHPO,bioreason-rl-eval
gaa1,Q9US48,SCHPO,bioreason-rl-eval
pmp20,O14313,SCHPO,bioreason-rl-eval
pol5,O60094,SCHPO,bioreason-rl-eval
ral2,P15258,SCHPO,bioreason-rl-eval
snx41,O60107,SCHPO,bioreason-rl-eval
tam10,G2TRQ9,SCHPO,bioreason-rl-eval
tpx1,O74887,SCHPO,bioreason-rl-eval
ura7,O42644,SCHPO,bioreason-rl-eval
APP,P05067,human,bioreason-rl-eval
BCL2,P10415,human,bioreason-rl-eval
BRCA2,P51587,human,bioreason-rl-eval
CYCS,P99999,human,bioreason-rl-eval
EGFR,P00533,human,bioreason-rl-eval
FXN,Q16595,human,bioreason-rl-eval
GAPDH,P04406,human,bioreason-rl-eval
HTT,P42858,human,bioreason-rl-eval
KEAP1,Q14145,human,bioreason-rl-eval
LRRK2,Q5S007,human,bioreason-rl-eval
MYC,P01106,human,bioreason-rl-eval
NFE2L2,Q16236,human,bioreason-rl-eval
NOTCH1,P46531,human,bioreason-rl-eval
PARK7,Q99497,human,bioreason-rl-eval
PTEN,P60484,human,bioreason-rl-eval
SIRT1,Q96EB6,human,bioreason-rl-eval
TARDBP,Q13148,human,bioreason-rl-eval
TP53,P04637,human,bioreason-rl-eval
VEGFA,P15692,human,bioreason-rl-eval
Akt1,P31750,mouse,bioreason-rl-eval
Bcl2,P10417,mouse,bioreason-rl-eval
Calm1,P0DP26,mouse,bioreason-rl-eval
Ctnnb1,Q02248,mouse,bioreason-rl-eval
Egfr,Q01279,mouse,bioreason-rl-eval
Fyn,P39688,mouse,bioreason-rl-eval
Myc,P01108,mouse,bioreason-rl-eval
Notch1,Q01705,mouse,bioreason-rl-eval
Pten,O08586,mouse,bioreason-rl-eval
Src,P05480,mouse,bioreason-rl-eval
Trp53,P02340,mouse,bioreason-rl-eval
Akt1,P47196,rat,bioreason-rl-eval
Casp3,P55213,rat,bioreason-rl-eval
Egfr,G3V6K6,rat,bioreason-rl-eval
Hspa5,P06761,rat,bioreason-rl-eval
Hspa8,P63018,rat,bioreason-rl-eval
Mapk1,P63086,rat,bioreason-rl-eval
Prkaa2,Q09137,rat,bioreason-rl-eval
Rgn,Q03336,rat,bioreason-rl-eval
Slc5a1,P53790,rat,bioreason-rl-eval
St13,P50503,rat,bioreason-rl-eval
Tp53,P10361,rat,bioreason-rl-eval
Uggt1,Q9JLA3,rat,bioreason-rl-eval
atfs-1,Q23272,worm,bioreason-rl-eval
cmd-1,O16305,worm,bioreason-rl-eval
csr-1,Q21992,worm,bioreason-rl-eval
daf-16,O16850,worm,bioreason-rl-eval
daf-2,Q968Y9,worm,bioreason-rl-eval
drp-1,Q8WQC9,worm,bioreason-rl-eval
hlh-30,H2KZZ2,worm,bioreason-rl-eval
hsf-1,G5EFT5,worm,bioreason-rl-eval
hsp-90,Q18688,worm,bioreason-rl-eval
ire-1,Q09499,worm,bioreason-rl-eval
lgg-1,Q09490,worm,bioreason-rl-eval
pgl-1,Q9TZQ3,worm,bioreason-rl-eval
pink-1,Q09298,worm,bioreason-rl-eval
pmk-1,Q17446,worm,bioreason-rl-eval
skn-1,P34707,worm,bioreason-rl-eval
CAT2,P32796,yeast,bioreason-rl-eval
CDC37,P06101,yeast,bioreason-rl-eval
HSP104,P31539,yeast,bioreason-rl-eval
HSP60,P19882,yeast,bioreason-rl-eval
IRE1,P32361,yeast,bioreason-rl-eval
KAR2,P16474,yeast,bioreason-rl-eval
PDI1,P17967,yeast,bioreason-rl-eval
RAS2,P01120,yeast,bioreason-rl-eval
SIR2,P06700,yeast,bioreason-rl-eval
SSA1,P10591,yeast,bioreason-rl-eval
TOR1,P35169,yeast,bioreason-rl-eval
