Citation,Evidence type,Direction,Claim tested,Key finding,Context,Confidence/Limitations
PMID:9545220,interaction(in vitro)+localization,Qualifies(weak pro-clathrin),AP-3 is a clathrin adaptor,beta3 appendage binds clathrin N-terminal domain in vitro; AP-3/clathrin colocalize; "function may depend on clathrin",Mammalian in vitro + IF/IEM,Hedged ("may"); beta3 not mu3B; largely superseded by clathrin-independent view
PMID:15051738,localization(immuno-EM),Qualifies/competes,AP-3 acts at TGN / is clathrin adaptor,AP-3 buds from tubular sorting endosomes to lysosomes; colocalizes with clathrin LESS than AP-1,Human cells,Endosomal (not Golgi) site; only partial clathrin overlap
PMID:34688652,structural+reconstitution,Supports(Golgi cargo)/competes(organism),AP-3 collects cargo at trans-Golgi,Yeast AP-3 open conformation; cargo-driven recruitment; vesicle formation at trans-Golgi upon Arf1,YEAST (not human),Yeast ALP pathway; clathrin-independent; not direct human AP3M2
PMID:39705307,cryo-EM(human),Supports(AP-3 coat)/competes(clathrin+paralog),AP-3-mediated clathrin cargo loading,Arf1-driven self-polymerizing AP-3 coat with LAMP1 cargo; NO clathrin in structure,Human reconstituted AP-3 (mu3A/AP3M1),9C5B uses AP3M1 not AP3M2; supports clathrin-INDEPENDENT coat
PMID:9748267,direct assay(Y2H combinatorial library),Supports(cargo MF),mu3B selects YXXphi tyrosine signals,mu3A and mu3B bind distinct/overlapping YXXphi sorting signals,In vitro yeast two-hybrid,Direct mu3B activity = cargo recognition (not clathrin)
PMID:11588176,mutant/in vitro assay+localization,Supports(endosomal budding BP/CC),Neuronal AP-3 buds vesicles from endosomes,Only neuronal AP-3 makes synaptic vesicles from endosomes; expressed in axons/varicosities,Mouse brain / in vitro,Neuronal form; endosome-derived; distinct from AP-2/clathrin route
PMID:19010779,in vivo crosslink/MS,Supports(complex binding)/qualifies(clathrin),AP-3 complex binding; clathrin association,AP-3 co-isolated with BLOC-1/2, HOPS, clathrin and PI4KIIalpha,Mouse neuronal & non-neuronal cells,Complex-level co-isolation; clathrin co-purification may be indirect
PMID:8666661,localization + biochemical (discovery paper),Refutes/qualifies (clathrin),AP-3 is a clathrin adaptor,"mu3/beta-NAP complex NOT enriched in clathrin-coated vesicles; 'a novel type of coat' on non-clathrin-coated TGN buds",Primary neuronal cells + biochemistry,Founding characterization = non-clathrin coat (supports TGN localization too)
PMID:16162817,localization + mutant,Qualifies (partial clathrin; dileucine cargo),AP-3 clathrin-coated bud localization,"AP-3 and AP-1 on clathrin-coated buds of tubular early endosomes; recognize tyrosinase DILEUCINE signal; partially redundant",Mouse melanocytes,Some AP-3 IS on clathrin buds; cargo signal is dileucine not YXXphi
PMID:22875976,mutant phenotype (HPS2),Qualifies (clathrin-independent function),AP-3 depends on clathrin endocytosis,"Blocking clathrin-mediated endocytosis did NOT reverse AP-3-deficiency defect in HIV assembly",Human HPS2 fibroblasts,AP-3 function separable from clathrin-mediated endocytosis
PMID:15066634,review,Qualifies,AP-3 clathrin dependence,"AP-3 and AP-4 ... might function independently of clathrin",Review,Review-level orientation
RCSB 9C5B (this run),structural/evolutionary,Competing(paralog),Human AP-3 structure is AP3M2,Medium subunit in 9C5B is AP3M1/Q9Y2T2 (with LAMP1 cargo + Arf1) not AP3M2,PDB entity metadata,Direct human structural evidence is for paralog mu3A
Pairwise alignment (this run),computational,Supports(residue transfer),Cargo-contact residues transfer mu3A->mu3B,AP3M1/AP3M2 84.2% identical (352/418); AP3M2 pos405 Ile vs AP3M1 Val (conservative V405I),Needleman-Wunsch P53677 vs Q9Y2T2,Justifies structural inference by paralogy only
UniProt P53677 (curated),database,Refutes(clathrin terms),AP-3 is clathrin-associated,"Curated FUNCTION: AP-3 is 'an adaptor-related complex which is not clathrin-associated'",Human curated record,Curator statement directly conflicts with clathrin annotations
PANTHER PTHR10529 (this run),computational(IBA source),Context,IBA provenance of clathrin terms,GO:0035615/0035651/0006896 are family-level annotations; family contains AP-1/2/3/4 mu subunits,PAN-GO family SF341,clathrin-cargo MF fits AP-1/AP-2 but is over-propagated to AP-3
QuickGO (this run),computational,Refutes(AP-3-specific clathrin MF),GO:0035615 is AP-3-specific evidence,"GO:0035615 experimentally supported (IDA+TAS) only for AP2M1; AP1M1/AP3M1/AP3M2/AP4M1 IBA-only; AP-4 is clathrin-independent yet still annotated",Human AP mu subunits,Quantifies family carry-over; term not AP-3-anchored
