partner,interaction_type,detection_method,pmid,partner_class
KAP123,association,tandem affinity purification,16429126,karyopherin/nuclear import
CSA1,physical association,inferred by author,16429126,chaperone-associated
AHA1,physical association,inferred by author,16429126,Hsp90 co-chaperone
FUN19,physical association,two hybrid array,14690591,self (Y2H)
SSA1,association,tandem affinity purification,19536198,Hsp70 chaperone
SSE2,association,tandem affinity purification,19536198,Hsp70-related (NEF)
HSP104,association,tandem affinity purification,19536198,disaggregase chaperone
HSC82,association,tandem affinity purification,19536198,Hsp90 chaperone
GIM4,association,tandem affinity purification,19536198,prefoldin
# Source: EBI IntAct via PSICQUIC (id:P28003), MITAB2.7.
# NOTE: No curated FUN19-SIN3 or FUN19-SAGA binary interaction present.
# Reproducible experimental partners = molecular chaperones + karyopherin KAP123 (nuclear import).
