partner,total_score,experimental_escore,database_dscore,textmining_tscore,complex_membership
TAF5,0.811,0.608,0.540,0.000,TFIID/SAGA-shared
SIN3,0.755,0.755,0.000,0.000,Rpd3L/Rpd3S co-repressor scaffold
KAP123,0.727,0.727,0.000,0.000,karyopherin (nuclear import)
TAF1,0.673,0.668,0.000,0.057,TFIID
GIP4,0.669,0.057,0.000,0.632,PP1 regulatory
ADH1,0.625,0.625,0.000,0.000,metabolic (likely abundance artifact)
AHC1,0.573,0.000,0.540,0.000,ADA complex
SGF73,0.563,0.090,0.540,0.000,SAGA
CHD1,0.548,0.000,0.540,0.000,chromatin remodeler
GCN5,0.540,0.000,0.540,0.000,SAGA(db-only)
ADA2,0.540,0.000,0.540,0.000,SAGA(db-only)
NGG1,0.540,0.000,0.540,0.000,SAGA(db-only)
SPT7,0.540,0.000,0.540,0.000,SAGA(db-only)
TRA1,0.540,0.000,0.540,0.000,SAGA(db-only)
# NOTE: SAGA-subunit rows have experimental escore=0.000 (database co-annotation only, dscore=0.540);
# strongest EXPERIMENTAL partner is SIN3 (Rpd3 co-repressor), escore=0.755. Source: STRING v12, species 4932, identifier YAL034C.
