accession	label	group	purpose	interpro_accession	domain	start	end	region_length	sequence_length
Q1L5Z9	LONRF2_HUMAN	LONRF	query	IPR001841	RING_type_zinc_finger	143	193	51	754
Q1L5Z9	LONRF2_HUMAN	LONRF	query	IPR001841	RING_type_zinc_finger	448	487	40	754
Q1L5Z9	LONRF2_HUMAN	LONRF	query	IPR003111	Lon_N_terminal	528	737	210	754
Q1L5Z9	LONRF2_HUMAN	LONRF	query	IPR017907	RING_conserved_site	464	473	10	754
Q17RB8	LONRF1_HUMAN	LONRF	curated_paralog	IPR001841	RING_type_zinc_finger	123	159	37	773
Q17RB8	LONRF1_HUMAN	LONRF	curated_paralog	IPR001841	RING_type_zinc_finger	478	517	40	773
Q17RB8	LONRF1_HUMAN	LONRF	curated_paralog	IPR003111	Lon_N_terminal	558	768	211	773
Q17RB8	LONRF1_HUMAN	LONRF	curated_paralog	IPR017907	RING_conserved_site	138	147	10	773
Q17RB8	LONRF1_HUMAN	LONRF	curated_paralog	IPR017907	RING_conserved_site	494	503	10	773
Q17RB8	LONRF1_HUMAN	LONRF	curated_paralog	IPR018957	C3HC4_RING_type	123	158	36	773
Q496Y0	LONRF3_HUMAN	LONRF	curated_paralog	IPR001841	RING_type_zinc_finger	158	195	38	759
Q496Y0	LONRF3_HUMAN	LONRF	curated_paralog	IPR001841	RING_type_zinc_finger	466	505	40	759
Q496Y0	LONRF3_HUMAN	LONRF	curated_paralog	IPR003111	Lon_N_terminal	546	756	211	759
Q496Y0	LONRF3_HUMAN	LONRF	curated_paralog	IPR017907	RING_conserved_site	173	182	10	759
Q496Y0	LONRF3_HUMAN	LONRF	curated_paralog	IPR017907	RING_conserved_site	482	491	10	759
Q496Y0	LONRF3_HUMAN	LONRF	curated_paralog	IPR018957	C3HC4_RING_type	158	195	38	759
P78317	RNF4_HUMAN	RING_control	positive_Ring_E3_control	IPR001841	RING_type_zinc_finger	131	177	47	190
P78317	RNF4_HUMAN	RING_control	positive_Ring_E3_control	IPR017907	RING_conserved_site	154	163	10	190
P36776	LONP1_HUMAN	Lon_control	active_Lon_protease_control	IPR003111	Lon_N_terminal	123	370	248	959
P36776	LONP1_HUMAN	Lon_control	active_Lon_protease_control	IPR003593	AAA_plus_ATPase_domain	515	660	146	959
P36776	LONP1_HUMAN	Lon_control	active_Lon_protease_control	IPR003959	AAA_type_ATPase_core	519	656	138	959
P36776	LONP1_HUMAN	Lon_control	active_Lon_protease_control	IPR004815	Lon_protease_family	125	947	823	959
P36776	LONP1_HUMAN	Lon_control	active_Lon_protease_control	IPR008268	Peptidase_S16_active_site	852	860	9	959
P36776	LONP1_HUMAN	Lon_control	active_Lon_protease_control	IPR008269	Lon_proteolytic_domain	737	949	213	959
