accession,organism,protein_name,pred_id,pred_label,match_category,assessment,confidence,phmmer_hit_relevant,reasoning
A0A2I0M3K7,Columba livia (pigeon),TruB pseudouridine (Psi) synthase family member 2 (TRUB2),GO:0106029,tRNA pseudouridine synthase activity,MORE_SPECIFIC,TRIVIALLY_DERIVABLE,HIGH,True,"GO:0106029 (tRNA pseudouridine synthase activity) is a direct child of the existing GOA annotation GO:0009982 (pseudouridine synthase activity). The protein is TRUB2 -- a TruB family pseudouridine synthase -- and TRUB2 is experimentally established to catalyze pseudouridine-55 formation in mitochondrial tRNAs (PMID:33023933). While the prediction is biologically correct, it is trivially derivable: the substrate specificity for tRNA is encoded in the protein name, family membership, and the is_a relationship to the existing annotation. The phmmer hit Q2SML1 (bacterial TruB, score 34.5, model confidence 0.33) is a distant homolog sharing the same TruB catalytic domain but from a marine bacterium (Hahella chejuensis), making it a weak cross-kingdom hit. The absence of GO:0106029 in GOA reflects this being an unreviewed TrEMBL entry for a non-model organism (pigeon), not a genuine annotation gap."
A0A2K5UJ34,Macaca fascicularis (crab-eating macaque),Tetratricopeptide repeat domain 39C (TTC39C),GO:0061371,determination of heart left/right asymmetry,NO_OVERLAP,PHMMER_TRANSFER_PLAUSIBLE,MEDIUM,True,"Q1LXE6 is zebrafish TTC39C, a true ortholog of macaque A0A2K5UJ34. Both are TTC39 family members with identical TPR domain architecture, and the phmmer score of 934.7 is very high. The zebrafish protein has IMP experimental evidence for GO:0061371 from ZFIN (Xu et al. 2015). Heart left/right asymmetry determination is a conserved cilium-dependent process across vertebrates, and the macaque protein is already annotated for cilium assembly, making this biologically plausible. However, this is essentially standard ortholog-based transfer (equivalent to ISS/ISO), not a genuinely novel insight. The low ProtNLM model score (0.27) suggests limited model confidence. The annotation adds real information beyond existing annotations (cilium assembly alone does not specify laterality determination), but the prediction is what any curator performing ISS transfer from zebrafish would derive."
A0A2U1PS28,Artemisia annua (sweet wormwood),"Translation factor GUF1 homolog, mitochondrial",GO:0009507,chloroplast,NO_OVERLAP,PHMMER_TRANSFER_DUBIOUS,HIGH,False,"This protein is annotated by UniProt as 'Translation factor GUF1 homolog, mitochondrial' with subcellular localization to 'Mitochondrion inner membrane; Matrix side' and existing GO annotations GO:0005743 (mitochondrial inner membrane) and GO:0005759 (mitochondrial matrix). The prediction of chloroplast localization appears to derive from the PANTHER subfamily PTHR43512:SF4 which is named 'TRANSLATION FACTOR GUF1 HOMOLOG, CHLOROPLASTIC' -- a misleading subfamily name for this particular protein. In plants, the LepA/EF4 translation factor family has distinct paralogs for chloroplasts (cpLEPA) and mitochondria (GUF1). This protein is the mitochondrial paralog based on all UniProt annotations, but ProtNLM2 transferred the chloroplast localization from the PANTHER subfamily label. The prediction directly contradicts the experimentally-inferred (IEA via UniRule) mitochondrial localization. The PANTHER subfamily match is a true homolog in terms of domain architecture (same EF4/LepA family), but the localization annotation transfer is incorrect because the subfamily name refers to the wrong organellar paralog."
A0A3B6GK97,Triticum aestivum (wheat),Patatin (PNPLA domain-containing protein),GO:0016042,lipid catabolic process,MORE_SPECIFIC,TRIVIALLY_DERIVABLE,HIGH,True,"GO:0016042 (lipid catabolic process) is a direct is_a child of the already-annotated GO:0006629 (lipid metabolic process). Furthermore, the protein already has lipase MF annotations (GO:0004620 glycerophospholipase activity, GO:0047372 monoacylglycerol lipase activity) which by definition imply involvement in lipid catabolism -- lipases catalyze the hydrolytic breakdown of lipids. The phmmer hit B8AQW7 is an excellent true ortholog (Patatin-like protein 1 from rice, same Poaceae family, same PNPLA domain architecture, strong score of 316.2), and it does carry GO:0016042, but this prediction is trivially derivable from the target's existing annotations rather than representing genuinely novel biological insight."
A0A3B6NKR6,Triticum aestivum (wheat),GHMP kinase N-terminal domain-containing protein,GO:0016310,phosphorylation,NO_OVERLAP,TRIVIALLY_DERIVABLE,HIGH,True,"The phmmer hit Q9LY82 (GLAK2_ARATH, probable glucuronokinase 2, EC 2.7.1.43) is an excellent ortholog candidate: same GHMP kinase domain architecture (PF00288 N-terminal + PF08544 C-terminal), same InterPro family IPR053034 (Glucuronokinase-like), near-identical length (360 vs 366 aa), score 545.2, and both are plants (wheat vs Arabidopsis). However, GO:0016310 'phosphorylation' is a generic biological process that is trivially derivable from the protein's kinase nature. The protein already has ATP binding (GO:0005524) annotated and contains GHMP kinase domains -- kinases by definition catalyze phosphorylation. This is a cross-aspect inference (MF kinase activity implies BP phosphorylation) that any rule-based system could derive. The term is also uninformatively broad; a more useful prediction would be the specific process (e.g., glucuronate phosphorylation or UDP-glucuronic acid biosynthesis) rather than the generic parent term."
A0A3B6RKV1,Triticum aestivum (wheat),JmjC domain-containing protein,GO:0010099,regulation of photomorphogenesis,NO_OVERLAP,PHMMER_TRANSFER_PLAUSIBLE,HIGH,True,"Q67XX3 (Arabidopsis JMJ22) is a strong ortholog (score 689.2) sharing identical domain architecture (F-box + JmjC) with A0A3B6RKV1. JMJ22 is experimentally annotated to GO:0010099 with IMP evidence. Photomorphogenesis is a conserved plant process and biologically plausible for wheat. However, this is essentially an ISS/ISO-equivalent transfer from a well-characterized Arabidopsis ortholog -- the kind of annotation curators could already make via phylogenomic methods. It adds real biological process information since A0A3B6RKV1 currently has no BP annotations, but the prediction mechanism is ortholog transfer rather than genuinely novel inference."
A0A3B6RKV1,Triticum aestivum (wheat),JmjC domain-containing protein,GO:0010476,gibberellin mediated signaling pathway,NO_OVERLAP,PHMMER_TRANSFER_PLAUSIBLE,HIGH,True,"Q67XX3 (JMJ22) is annotated to GO:0010476 with IMP evidence, showing it acts upstream of or within (positive effect) the gibberellin signaling pathway. JMJ20/JMJ22 promote GA biosynthesis by demethylating repressive histone marks at GA3ox1/GA3ox2 loci. Gibberellin signaling is a core plant hormone pathway fully conserved in wheat. The wheat ortholog likely retains this function given the strong sequence conservation. This is a plausible ortholog-based transfer, equivalent to what an ISS annotation would provide."
A0A3B6RKV1,Triticum aestivum (wheat),JmjC domain-containing protein,GO:0040029,epigenetic regulation of gene expression,NO_OVERLAP,PHMMER_TRANSFER_PLAUSIBLE,HIGH,True,"Q67XX3 is annotated to GO:0040029 with IDA evidence, consistent with its demonstrated histone arginine demethylase activity. A0A3B6RKV1 belongs to the JARID1 histone demethylase family and possesses the catalytic JmjC domain, so epigenetic regulation is the expected core molecular function for this protein class. This is arguably the most fundamental biological process for any JmjC demethylase. While it could be considered partially derivable from the oxidoreductase activity annotation (GO:0016491), the specific link to epigenetic regulation requires knowledge of the substrate (histones), so this qualifies as a plausible ortholog transfer that adds genuine biological context."
A0A3B6RKV1,Triticum aestivum (wheat),JmjC domain-containing protein,GO:0010114,response to red light,NO_OVERLAP,PHMMER_TRANSFER_PLAUSIBLE,MEDIUM,True,"Q67XX3 is annotated to GO:0010114 with both IMP and IEP evidence. In Arabidopsis, JMJ20/JMJ22 are derepressed upon phytochrome B activation by red light, linking them to red light response. Wheat has functional phytochrome signaling and responds to red light, so the term is biologically plausible. However, response to red light is a downstream regulatory context rather than a direct molecular activity -- whether the wheat ortholog participates in precisely the same phyB-PIF1-SOM-JMJ20/22 regulatory circuit is less certain than the core enzymatic function. The regulatory wiring could differ between Arabidopsis and wheat. Medium confidence reflects this uncertainty about pathway-level conservation."
A0A3B6RKV1,Triticum aestivum (wheat),JmjC domain-containing protein,GO:0010030,positive regulation of seed germination,NO_OVERLAP,PHMMER_TRANSFER_PLAUSIBLE,MEDIUM,True,"Q67XX3 is annotated to GO:0010030 with both IMP and IGI evidence. In Arabidopsis, JMJ20/JMJ22 promote seed germination by removing repressive histone arginine methylation at GA biosynthesis gene loci. Seed germination is a universal process in flowering plants, and GA-mediated germination control is conserved in wheat. However, like the red light response term, this reflects a specific regulatory role in a developmental context that may or may not be conserved with the same specificity in wheat. The jmj20/jmj22 double mutant phenotype in Arabidopsis demonstrates functional redundancy, and whether the wheat ortholog has the same germination-promoting role requires experimental validation. Plausible but with moderate confidence."
