gene	L1	L2	L3	L4	L5	L6	L7	L8	L9
Aldob	0.00374402	0.00528407	0.00572281	0.00678213	0.0077412	0.00780202	0.00847514	0.00893073	0.00915811
Asl	0.000621639	0.00107079	0.00135695	0.00155533	0.00180186	0.00171801	0.00177029	0.00199203	0.00199798
Ass1	0.000875683	0.00197357	0.00242043	0.0027023	0.00298594	0.00250608	0.0026674	0.00345528	0.00351987
Cyp2e1	0.0283196	0.0220911	0.0193476	0.0115523	0.0058083	0.00267153	0.000895725	0.00046705	0.000209111
Cyp2f2	8.03085e-05	0.000109586	0.000267415	0.00128018	0.00216445	0.00250455	0.00300598	0.00342901	0.00364419
Fbp1	0.000607337	0.0008626	0.000963197	0.00130423	0.00162695	0.00170077	0.00189092	0.00202371	0.00207242
Fbp2	7.62931e-08	6.00655e-07	1.06989e-06	8.62265e-07	4.7858e-07	5.94968e-07	8.62685e-07	8.44661e-07	7.0364e-07
G6pc	0.00012771	0.00014415	0.000156535	0.00020223	0.000226186	0.000274283	0.000284687	0.000275357	0.00026905
Glul	0.00216036	0.000185133	0.000119639	0.000106046	5.88004e-05	1.95304e-05	1.8918e-16	4.44223e-16	5.89986e-16
Oat	0.00374783	0.000895929	0.000580027	0.000293673	0.000126773	8.33591e-05	3.84046e-05	2.9608e-05	2.18524e-05
Pck1	0.00129283	0.00234078	0.00246734	0.0027407	0.00292825	0.00300621	0.00319131	0.00325573	0.00333428
Pck2	2.39267e-07	1.22682e-06	1.87925e-06	3.18233e-06	3.82073e-06	3.91375e-06	1.90272e-06	1.37836e-06	1.23746e-06
Pcx	0.000396909	0.000425793	0.000425074	0.000425179	0.000426397	0.000418066	0.000432448	0.000437901	0.000440902
Sds	4.36443e-06	9.26309e-06	1.34595e-05	5.59155e-05	9.28047e-05	0.000106978	0.000126477	0.00014155	0.000164672
Slc37a4	0.000164864	0.000159979	0.000169425	0.000191935	0.000204031	0.00020525	0.000204787	0.000203292	0.000203345
