accession,rank,protrek_score,aspect,pred_label,pred_id,label_resolution,match_category,goa_match,goa_match_label,n_goa_terms
A0A3B6GK97,1,13.35,F,phospholipase activity,GO:0120569,exact_label,MORE_SPECIFIC,GO:0016787,hydrolase activity,2
A0A3B6GK97,2,11.5909,P,oxylipin biosynthetic process,GO:0031408,exact_label,NO_OVERLAP,,,2
A0A3B6GK97,3,11.0909,F,calcium-independent phospholipase A2 activity,GO:0047499,obsolete_in_go,OBSOLETE_TERM,,,2
A0A3B6GK97,4,10.8832,F,lipase activity,GO:0016298,exact_label,MORE_SPECIFIC,GO:0016787,hydrolase activity,2
A0A3B6GK97,5,10.5717,F,phosphatidylinositol deacylase activity,GO:0050185,exact_label,MORE_SPECIFIC,GO:0016787,hydrolase activity,2
A0A3B6RKV1,1,17.1994,F,histone H3K27me2/H3K27me3 demethylase activity,GO:0071558,exact_label,NO_OVERLAP,,,3
A0A3B6RKV1,2,16.6788,F,histone H3K9 demethylase activity,GO:0032454,exact_label,NO_OVERLAP,,,3
A0A3B6RKV1,3,16.3758,P,histone H3-K27 demethylation,GO:0071557,obsolete_in_go,OBSOLETE_TERM,,,3
A0A3B6RKV1,4,16.3114,P,histone H3-K9 demethylation,GO:0033169,obsolete_in_go,OBSOLETE_TERM,,,3
A0A3B6RKV1,5,16.0725,F,histone H3R2 demethylase activity,GO:0033746,exact_label,NO_OVERLAP,,,3
F4JLB7,1,15.6649,P,regulation of defense response to oomycetes,GO:1902288,exact_label,NO_OVERLAP,,,8
F4JLB7,2,15.5053,P,negative regulation of defense response to oomycetes,GO:1902289,exact_label,NO_OVERLAP,,,8
F4JLB7,3,15.1573,P,positive regulation of defense response to oomycetes,GO:1902290,exact_label,NO_OVERLAP,,,8
F4JLB7,4,14.9846,P,plasmodesmata-mediated intercellular transport,GO:0010497,exact_label,NO_OVERLAP,,,8
F4JLB7,5,14.9617,P,response to oomycetes,GO:0002239,exact_label,NO_OVERLAP,,,8
F6LAX4,1,15.1043,C,protein phosphatase type 2A complex,GO:0000159,exact_label,EXACT,GO:0000159,protein phosphatase type 2A complex,5
F6LAX4,2,14.5739,P,SCF complex assembly,GO:0010265,exact_label,NO_OVERLAP,,,5
F6LAX4,3,14.0068,F,protein phosphatase regulator activity,GO:0019888,exact_label,EXACT,GO:0019888,protein phosphatase regulator activity,5
F6LAX4,4,13.2422,P,Ran protein signal transduction,GO:0031291,exact_label,NO_OVERLAP,,,5
F6LAX4,5,13.1612,C,protein serine/threonine phosphatase complex,GO:0008287,exact_label,LESS_SPECIFIC,GO:0000159,protein phosphatase type 2A complex,5
Q9KZ33,1,12.755,P,DNA-templated transcription initiation,GO:0006352,exact_label,NO_OVERLAP,,,2
Q9KZ33,2,12.6864,F,sigma factor activity,GO:0016987,exact_label,EXACT,GO:0016987,sigma factor activity,2
Q9KZ33,3,11.9865,F,bacterial-type RNA polymerase core enzyme binding,GO:0001000,exact_label,NO_OVERLAP,,,2
Q9KZ33,4,10.7874,C,sigma factor antagonist complex,GO:1903865,exact_label,NO_OVERLAP,,,2
