accession,uniref50_cluster,uniref50_representative,is_uniref50_representative,uniref50_member_count,uniprot_entry_type
A0A3B6GK97,UniRef50_A0A9R0XWF2,A0A9R0XWF2,False,13,UniProtKB unreviewed (TrEMBL)
A0A3B6RKV1,UniRef50_K3ZI48,K3ZI48,False,71,UniProtKB unreviewed (TrEMBL)
F4JLB7,UniRef50_F4JLB7,F4JLB7,True,18,UniProtKB unreviewed (TrEMBL)
F6LAX4,UniRef50_Q38845,Q38845,False,669,UniProtKB unreviewed (TrEMBL)
Q9KZ33,UniRef50_A0A4D4K1A5,A0A4D4K1A5,False,202,UniProtKB unreviewed (TrEMBL)
G1TUN6,UniRef50_Q7K738,Q7K738,False,1132,UniProtKB unreviewed (TrEMBL)
E1BL04,UniRef50_A4UGR9,A4UGR9,False,564,UniProtKB unreviewed (TrEMBL)
A0A8C9H4D2,UniRef50_Q68BL7-3,Q68BL7-3,False,27,UniProtKB unreviewed (TrEMBL)
A0A8I3PI07,UniRef50_Q6P4Q7,Q6P4Q7,False,1434,UniProtKB unreviewed (TrEMBL)
A0A2R9CAF4,UniRef50_Q86WA9,Q86WA9,False,244,UniProtKB unreviewed (TrEMBL)
C6T1A2,UniRef50_Q1H8M0,Q1H8M0,False,9,UniProtKB unreviewed (TrEMBL)
A0A8B8L1Z3,UniRef50_I1KQZ0,I1KQZ0,False,40,UniProtKB unreviewed (TrEMBL)
Q6YYC5,UniRef50_A0A397YSS3,A0A397YSS3,False,88,UniProtKB unreviewed (TrEMBL)
B8BAB0,UniRef50_Q6K2M1,Q6K2M1,False,93,UniProtKB unreviewed (TrEMBL)
A0A1S3Y076,UniRef50_A0A1S3Y076,A0A1S3Y076,True,35,UniProtKB unreviewed (TrEMBL)
Q9L243,UniRef50_A0A0A6X6K3,A0A0A6X6K3,False,330,UniProtKB unreviewed (TrEMBL)
D3VIU4,UniRef50_A0AAJ5NBN8,A0AAJ5NBN8,False,2296,UniProtKB unreviewed (TrEMBL)
Q9RSY6,UniRef50_K9ZYE7,K9ZYE7,False,78,UniProtKB unreviewed (TrEMBL)
Q8P365,UniRef50_A0A3S4IIL1,A0A3S4IIL1,False,2350,UniProtKB unreviewed (TrEMBL)
A0A8C5FPT8,UniRef50_A0A8C5FCB4,A0A8C5FCB4,False,13,UniProtKB unreviewed (TrEMBL)
A0A674PKV4,UniRef50_A0A8C2VHT6,A0A8C2VHT6,False,148,UniProtKB unreviewed (TrEMBL)
A0A8M9QG43,UniRef50_A0A8M9Q6X2,A0A8M9Q6X2,False,434,UniProtKB unreviewed (TrEMBL)
A0A8C2TBA7,UniRef50_P14925-3,P14925-3,False,309,UniProtKB unreviewed (TrEMBL)
A0A2I0M3K7,UniRef50_A0A9D3XG52,A0A9D3XG52,False,6,UniProtKB unreviewed (TrEMBL)
A0A6I8W8A2,UniRef50_A0A6I8W8A2,A0A6I8W8A2,True,1,UniProtKB unreviewed (TrEMBL)
A0A6I8TLE4,UniRef50_Q8T498,Q8T498,False,35,UniProtKB unreviewed (TrEMBL)
S0EDH7,UniRef50_X0D7B8,X0D7B8,False,14,UniProtKB unreviewed (TrEMBL)
Q2U1U6,UniRef50_A0A0L1JDT5,A0A0L1JDT5,False,3,UniProtKB unreviewed (TrEMBL)
A0A8J0SCI2,UniRef50_A0A8J0SCI2,A0A8J0SCI2,True,1,UniProtKB unreviewed (TrEMBL)
A0A2G9RZF1,UniRef50_A0A2G9RZF1,A0A2G9RZF1,True,2,UniProtKB unreviewed (TrEMBL)
A0A061AL94,UniRef50_Q95XQ8,Q95XQ8,False,44,UniProtKB unreviewed (TrEMBL)
A0A8B6GS20,UniRef50_A0A8B6GS20,A0A8B6GS20,True,2,UniProtKB unreviewed (TrEMBL)
A0BFB4,UniRef50_A0BFB4,A0BFB4,True,9,UniProtKB unreviewed (TrEMBL)
B7FXQ8,UniRef50_A0A1Z5KDN0,A0A1Z5KDN0,False,4,UniProtKB unreviewed (TrEMBL)
A2FPI7,UniRef50_A2DT79,A2DT79,False,37,UniProtKB unreviewed (TrEMBL)
A0A1S3BTE3,UniRef50_Q5SN53,Q5SN53,False,724,UniProtKB unreviewed (TrEMBL)
A0A804UIX9,UniRef50_A0A804UIX9,A0A804UIX9,True,1,UniProtKB unreviewed (TrEMBL)
A0A2I4G8T1,UniRef50_A0A6J1AQR1,A0A6J1AQR1,False,189,UniProtKB unreviewed (TrEMBL)
Q7NUH2,UniRef50_A0A1I6ZQG2,A0A1I6ZQG2,False,185,UniProtKB unreviewed (TrEMBL)
Q7VZI5,UniRef50_Q7VZI5,Q7VZI5,True,17,UniProtKB unreviewed (TrEMBL)
A0A2K5UJ34,UniRef50_A0A1D5R7K8,A0A1D5R7K8,False,15,UniProtKB unreviewed (TrEMBL)
A0A2U1PS28,UniRef50_Q9FNM5,Q9FNM5,False,175,UniProtKB unreviewed (TrEMBL)
A0A3B6NKR6,UniRef50_A0A6P5G2G4,A0A6P5G2G4,False,85,UniProtKB unreviewed (TrEMBL)
A0A8B8WEG2,UniRef50_Q00536-2,Q00536-2,False,404,UniProtKB unreviewed (TrEMBL)
B4MAQ2,UniRef50_B4PZE6,B4PZE6,False,118,UniProtKB unreviewed (TrEMBL)
A0A8B6BFL6,UniRef50_A0A8B6H9Y4,A0A8B6H9Y4,False,10,UniProtKB unreviewed (TrEMBL)
A0A8J1IYX6,UniRef50_A0A1L8H651,A0A1L8H651,False,29,UniProtKB unreviewed (TrEMBL)
A0A444Z7V7,UniRef50_A0A3Q7HTK7,A0A3Q7HTK7,False,588,UniProtKB unreviewed (TrEMBL)
F6WPT1,UniRef50_P51646,P51646,False,766,UniProtKB unreviewed (TrEMBL)
A0A4W3GVU1,UniRef50_Q6NXG1,Q6NXG1,False,284,UniProtKB unreviewed (TrEMBL)
