accession,species_dir,symbol,uniprot_section,in_protrek_text_index_by_construction
D0VXF2,9CAUD,dfrP,TrEMBL,False
P28891,AGKCO,fibrolase,SwissProt,True
F5HMW5,ANOGA,PGRPLB,TrEMBL,False
O22476,ARATH,BRI1,SwissProt,True
P43254,ARATH,COP1,SwissProt,True
P49333,ARATH,ETR1,SwissProt,True
P00691,BACSU,amyE,SwissProt,True
P04189,BACSU,aprE,SwissProt,True
P40396,BACSU,comK,SwissProt,True
P71021,BACSU,divIVA,SwissProt,True
P24073,BACSU,fliY,SwissProt,True
P17865,BACSU,ftsZ,SwissProt,True
P28366,BACSU,secA,SwissProt,True
P07860,BACSU,sigF,SwissProt,True
P19940,BACSU,sigG,SwissProt,True
P12254,BACSU,sigK,SwissProt,True
P06534,BACSU,spo0A,SwissProt,True
P37475,BACSU,spoIIE,SwissProt,True
P13801,BACSU,spoIIGA,SwissProt,True
Q8INB9,DROME,Akt1,SwissProt,True
Q8T8Y5,DROME,Buffy,TrEMBL,False
O77059,DROME,CRY,SwissProt,True
Q0E9H9,DROME,Dscam1,SwissProt,True
P02828,DROME,Hsp83,SwissProt,True
Q08694,DROME,LysB,SwissProt,True
Q9VC03,DROME,Nmnat,SwissProt,True
Q95RG8,DROME,Git,SwissProt,True
P77395,ECOLI,CnoX,SwissProt,True
P0AE85,ECOLI,CpxP,SwissProt,True
P08622,ECOLI,DnaJ,SwissProt,True
P0A6Y8,ECOLI,DnaK,SwissProt,True
P0A6F5,ECOLI,GroEL,SwissProt,True
P0AF93,ECOLI,RidA,SwissProt,True
P0AG86,ECOLI,SecB,SwissProt,True
P0AEU7,ECOLI,Skp,SwissProt,True
P0A9K9,ECOLI,SlyD,SwissProt,True
P77754,ECOLI,Spy,SwissProt,True
P0AD68,ECOLI,ftsI,SwissProt,True
P0AD65,ECOLI,mrdA,SwissProt,True
P0ABZ6,ECOLI,surA,SwissProt,True
Q88I42,PSEPK,BenR,TrEMBL,False
Q88GK8,PSEPK,catA,TrEMBL,False
Q88CR9,PSEPK,ftsY,TrEMBL,False
Q88CU6,PSEPK,mrcA,TrEMBL,False
Q88JH0,PSEPK,pedH,SwissProt,True
Q88D23,PSEPK,phaC,TrEMBL,False
Q88GC8,PSEPK,pvdA,TrEMBL,False
Q88ME8,PSEPK,rpoS,TrEMBL,False
O94603,SCHPO,Epe1,SwissProt,True
Q9Y6Z9,SCHPO,SPAC8E11.10,SwissProt,True
O74447,SCHPO,SPCC16C4.02c,SwissProt,True
Q92340,SCHPO,Shu1,SwissProt,True
Q9UTE9,SCHPO,tim10,SwissProt,True
Q9HDX8,SCHPO,alo1,SwissProt,True
O13978,SCHPO,atg101,SwissProt,True
O36019,SCHPO,atg13,SwissProt,True
O94656,SCHPO,atg16,SwissProt,True
O94649,SCHPO,atg2,SwissProt,True
O94427,SCHPO,atg38,SwissProt,True
O74971,SCHPO,atg5,SwissProt,True
Q9UT41,SCHPO,bst1,SwissProt,True
O13968,SCHPO,cps1,SwissProt,True
Q9C105,SCHPO,cts2,SwissProt,True
Q9US48,SCHPO,gaa1,SwissProt,True
O14313,SCHPO,pmp20,SwissProt,True
O60094,SCHPO,pol5,SwissProt,True
P15258,SCHPO,ral2,SwissProt,True
O60107,SCHPO,snx41,SwissProt,True
G2TRQ9,SCHPO,tam10,SwissProt,True
O74887,SCHPO,tpx1,SwissProt,True
O42644,SCHPO,ura7,SwissProt,True
P05067,human,APP,SwissProt,True
P10415,human,BCL2,SwissProt,True
P51587,human,BRCA2,SwissProt,True
P99999,human,CYCS,SwissProt,True
P00533,human,EGFR,SwissProt,True
Q16595,human,FXN,SwissProt,True
P04406,human,GAPDH,SwissProt,True
P42858,human,HTT,SwissProt,True
Q14145,human,KEAP1,SwissProt,True
Q5S007,human,LRRK2,SwissProt,True
P01106,human,MYC,SwissProt,True
Q16236,human,NFE2L2,SwissProt,True
P46531,human,NOTCH1,SwissProt,True
Q99497,human,PARK7,SwissProt,True
P60484,human,PTEN,SwissProt,True
Q96EB6,human,SIRT1,SwissProt,True
Q13148,human,TARDBP,SwissProt,True
P04637,human,TP53,SwissProt,True
P15692,human,VEGFA,SwissProt,True
P31750,mouse,Akt1,SwissProt,True
P10417,mouse,Bcl2,SwissProt,True
P0DP26,mouse,Calm1,SwissProt,True
Q02248,mouse,Ctnnb1,SwissProt,True
Q01279,mouse,Egfr,SwissProt,True
P39688,mouse,Fyn,SwissProt,True
P01108,mouse,Myc,SwissProt,True
Q01705,mouse,Notch1,SwissProt,True
O08586,mouse,Pten,SwissProt,True
P05480,mouse,Src,SwissProt,True
P02340,mouse,Trp53,SwissProt,True
P47196,rat,Akt1,SwissProt,True
P55213,rat,Casp3,SwissProt,True
G3V6K6,rat,Egfr,TrEMBL,False
P06761,rat,Hspa5,SwissProt,True
P63018,rat,Hspa8,SwissProt,True
P63086,rat,Mapk1,SwissProt,True
Q09137,rat,Prkaa2,SwissProt,True
Q03336,rat,Rgn,SwissProt,True
P53790,rat,Slc5a1,SwissProt,True
P50503,rat,St13,SwissProt,True
P10361,rat,Tp53,SwissProt,True
Q9JLA3,rat,Uggt1,SwissProt,True
Q23272,worm,atfs-1,SwissProt,True
O16305,worm,cmd-1,SwissProt,True
