accession,species_dir,symbol,uniprot_section,in_protrek_text_index_by_construction
A0A3B6GK97,WHEAT,A0A3B6GK97,TrEMBL,False
A0A3B6RKV1,WHEAT,A0A3B6RKV1,TrEMBL,False
F4JLB7,ARATH,F4JLB7,TrEMBL,False
F6LAX4,WHEAT,F6LAX4,TrEMBL,False
Q9KZ33,STRCO,Q9KZ33,TrEMBL,False
G1TUN6,RABIT,G1TUN6,TrEMBL,False
E1BL04,BOVIN,E1BL04,TrEMBL,False
A0A8C9H4D2,9PRIM,A0A8C9H4D2,TrEMBL,False
A0A8I3PI07,CANLF,A0A8I3PI07,TrEMBL,False
A0A2R9CAF4,PANPA,A0A2R9CAF4,TrEMBL,False
C6T1A2,SOYBN,C6T1A2,TrEMBL,False
A0A8B8L1Z3,ABRPR,A0A8B8L1Z3,TrEMBL,False
Q6YYC5,ORYSJ,Q6YYC5,TrEMBL,False
B8BAB0,ORYSI,B8BAB0,TrEMBL,False
A0A1S3Y076,TOBAC,A0A1S3Y076,TrEMBL,False
Q9L243,STRCO,Q9L243,TrEMBL,False
D3VIU4,XENNA,D3VIU4,TrEMBL,False
Q9RSY6,DEIRA,Q9RSY6,TrEMBL,False
Q8P365,XANCP,Q8P365,TrEMBL,False
A0A8C5FPT8,GADMO,A0A8C5FPT8,TrEMBL,False
A0A674PKV4,TAKRU,A0A674PKV4,TrEMBL,False
A0A8M9QG43,DANRE,A0A8M9QG43,TrEMBL,False
A0A8C2TBA7,COTJA,A0A8C2TBA7,TrEMBL,False
A0A2I0M3K7,COLLI,A0A2I0M3K7,TrEMBL,False
A0A6I8W8A2,DROPS,A0A6I8W8A2,TrEMBL,False
A0A6I8TLE4,AEDAE,A0A6I8TLE4,TrEMBL,False
S0EDH7,GIBF5,S0EDH7,TrEMBL,False
Q2U1U6,ASPOR,Q2U1U6,TrEMBL,False
A0A8J0SCI2,XENTR,A0A8J0SCI2,TrEMBL,False
A0A2G9RZF1,AQUCT,A0A2G9RZF1,TrEMBL,False
A0A061AL94,CAEEL,A0A061AL94,TrEMBL,False
A0A8B6GS20,MYTGA,A0A8B6GS20,TrEMBL,False
A0BFB4,PARTE,A0BFB4,TrEMBL,False
B7FXQ8,PHATC,B7FXQ8,TrEMBL,False
A2FPI7,TRIV3,A2FPI7,TrEMBL,False
A0A1S3BTE3,CUCME,A0A1S3BTE3,TrEMBL,False
A0A804UIX9,MAIZE,A0A804UIX9,TrEMBL,False
A0A2I4G8T1,JUGRE,A0A2I4G8T1,TrEMBL,False
Q7NUH2,CHRVO,Q7NUH2,TrEMBL,False
Q7VZI5,BORPE,Q7VZI5,TrEMBL,False
A0A2K5UJ34,MACFA,A0A2K5UJ34,TrEMBL,False
A0A2U1PS28,ARTAN,A0A2U1PS28,TrEMBL,False
A0A3B6NKR6,WHEAT,A0A3B6NKR6,TrEMBL,False
A0A8B8WEG2,BALMU,A0A8B8WEG2,TrEMBL,False
B4MAQ2,DROVI,B4MAQ2,TrEMBL,False
A0A8B6BFL6,MYTGA,A0A8B6BFL6,TrEMBL,False
A0A8J1IYX6,XENTR,A0A8J1IYX6,TrEMBL,False
A0A444Z7V7,ARAHY,A0A444Z7V7,TrEMBL,False
F6WPT1,XENTR,F6WPT1,TrEMBL,False
A0A4W3GVU1,CALMI,A0A4W3GVU1,TrEMBL,False
