gene	evidence	evidence_class	action
ACL4	IBA	computational	REMOVE
ACL4	IBA	computational	REMOVE
ACL4	IBA	computational	REMOVE
ACL4	IBA	computational	REMOVE
ACL4	IBA	computational	REMOVE
ACL4	IEA	computational	ACCEPT
ACL4	IEA	computational	ACCEPT
ACL4	IEA	computational	ACCEPT
ACL4	IDA	experimental	ACCEPT
ACL4	IDA	experimental	ACCEPT
ACL4	IDA	experimental	ACCEPT
ACL4	IMP	experimental	ACCEPT
ACL4	IMP	experimental	ACCEPT
ACL4	IDA	experimental	MODIFY
ACL4	IDA	experimental	ACCEPT
ACL4	HGI	experimental	MARK_AS_OVER_ANNOTATED
ACL4	HDA	experimental	ACCEPT
ACL4	HDA	experimental	ACCEPT
APJ1	IBA	computational	ACCEPT
APJ1	IBA	computational	ACCEPT
APJ1	IBA	computational	ACCEPT
APJ1	IBA	computational	MODIFY
APJ1	IBA	computational	ACCEPT
APJ1	IEA	computational	ACCEPT
APJ1	IEA	computational	ACCEPT
APJ1	IEA	computational	ACCEPT
APJ1	IEA	computational	ACCEPT
APJ1	IEA	computational	ACCEPT
APJ1	IEA	computational	ACCEPT
APJ1	IEA	computational	ACCEPT
APJ1	IEA	computational	MODIFY
APJ1	IPI	experimental	MARK_AS_OVER_ANNOTATED
APJ1	RCA	computational	ACCEPT
APJ1	IDA	experimental	KEEP_AS_NON_CORE
APJ1	IMP	experimental	KEEP_AS_NON_CORE
APJ1	IMP	experimental	MODIFY
APJ1	HDA	experimental	ACCEPT
APJ1	HDA	experimental	ACCEPT
APJ1	HDA	experimental	ACCEPT
APJ1	HDA	experimental	KEEP_AS_NON_CORE
APJ1	HDA	experimental	KEEP_AS_NON_CORE
APJ1	IDA	experimental	KEEP_AS_NON_CORE
APJ1	IDA	experimental	ACCEPT
APJ1	IGI	experimental	KEEP_AS_NON_CORE
ASF1	IBA	computational	ACCEPT
ASF1	IBA	computational	ACCEPT
ASF1	IBA	computational	ACCEPT
ASF1	IBA	computational	ACCEPT
ASF1	IEA	computational	KEEP_AS_NON_CORE
ASF1	IEA	computational	ACCEPT
ASF1	IEA	computational	ACCEPT
ASF1	IEA	computational	ACCEPT
ASF1	IEA	computational	ACCEPT
ASF1	IEA	computational	KEEP_AS_NON_CORE
ASF1	IEA	computational	ACCEPT
ASF1	IPI	experimental	KEEP_AS_NON_CORE
ASF1	IPI	experimental	KEEP_AS_NON_CORE
ASF1	IPI	experimental	KEEP_AS_NON_CORE
ASF1	IPI	experimental	KEEP_AS_NON_CORE
ASF1	IPI	experimental	KEEP_AS_NON_CORE
ASF1	IPI	experimental	KEEP_AS_NON_CORE
ASF1	IPI	experimental	KEEP_AS_NON_CORE
ASF1	IPI	experimental	KEEP_AS_NON_CORE
ASF1	IPI	experimental	KEEP_AS_NON_CORE
ASF1	IPI	experimental	KEEP_AS_NON_CORE
ASF1	IPI	experimental	KEEP_AS_NON_CORE
ASF1	IPI	experimental	KEEP_AS_NON_CORE
ASF1	IDA	experimental	ACCEPT
ASF1	IDA	experimental	ACCEPT
ASF1	IDA	experimental	ACCEPT
ASF1	NAS	author	KEEP_AS_NON_CORE
ASF1	NAS	author	ACCEPT
ASF1	IDA	experimental	ACCEPT
ASF1	IMP	experimental	ACCEPT
ASF1	IMP	experimental	ACCEPT
ASF1	IGI	experimental	ACCEPT
ASF1	IPI	experimental	KEEP_AS_NON_CORE
ASF1	IDA	experimental	ACCEPT
ASF1	IPI	experimental	KEEP_AS_NON_CORE
ASF1	IDA	experimental	ACCEPT
ASF1	IDA	experimental	ACCEPT
ASF1	IDA	experimental	KEEP_AS_NON_CORE
ASF1	IMP	experimental	MARK_AS_OVER_ANNOTATED
ASF1	IMP	experimental	ACCEPT
ASF1	IDA	experimental	ACCEPT
ASF1	IDA	experimental	ACCEPT
ASF1	IDA	experimental	ACCEPT
ASF1	IMP	experimental	ACCEPT
ASF1	IGI	experimental	ACCEPT
ASF1	IDA	experimental	ACCEPT
ASF1	IMP	experimental	ACCEPT
ATG7	IBA	computational	ACCEPT
ATG7	IBA	computational	ACCEPT
ATG7	IBA	computational	ACCEPT
ATG7	IBA	computational	ACCEPT
ATG7	IBA	computational	ACCEPT
ATG7	IBA	computational	ACCEPT
ATG7	IBA	computational	ACCEPT
ATG7	IBA	computational	ACCEPT
ATG7	IBA	computational	ACCEPT
