reference	partner	gene	organism	go_term	locations	shares_secreted_compartment_with_AGT
PMID:18202720	P25095	Agtr1	Rattus norvegicus	GO:0005515	Cell membrane	no
PMID:20927107	P00797	REN	Homo sapiens	GO:0005515	Secreted; Membrane	yes
PMID:23082758	Q10714	Ance	Drosophila melanogaster	GO:0005515	Secreted, extracellular space	yes
PMID:32814053	C9J082	NPHP1	Homo sapiens	GO:0005515	(none annotated)	no
PMID:32814053	O00746	NME4	Homo sapiens	GO:0005515	Mitochondrion intermembrane space; Mitochondrion matrix; Mitochondrion outer membrane	no
PMID:32814053	O14744	PRMT5	Homo sapiens	GO:0005515	Cytoplasm; Nucleus; Chromosome; Golgi apparatus	no
PMID:32814053	O43493-5	TGOLN2	Homo sapiens	GO:0005515	Cell membrane; Golgi apparatus, trans-Golgi network membrane	no
PMID:32814053	Q8IYM2	SLFN12	Homo sapiens	GO:0005515	Nucleus; Cytoplasm, cytosol	no
PMID:32814053	Q8N0U8	VKORC1L1	Homo sapiens	GO:0005515	Endoplasmic reticulum membrane	no
PMID:32814053	Q8NFB2	TMEM185A	Homo sapiens	GO:0005515	Cell projection, dendrite; Membrane	no
PMID:32814053	Q8TAS3	PRRG2	Homo sapiens	GO:0005515	(none annotated)	no
PMID:32814053	Q9UI10	EIF2B4	Homo sapiens	GO:0005515	Cytoplasm, cytosol	no
PMID:32814053	Q9UMY4	SNX12	Homo sapiens	GO:0005515	Membrane	no
PMID:16237761	P0C045		Hepatitis C virus genotype 1a (isolate H77)	GO:0005515	Host cytoplasm; Host cytoplasm, host perinuclear region	no
PMID:10406457	P50052	AGTR2	Homo sapiens	GO:0031703	Cell membrane	no
PMID:1378723	P30556	AGTR1	Homo sapiens	GO:0031702	Cell membrane	no
