token	kind	accession	gene	protein	organism	reviewed	merops	n_hits
AGI_LocusCode:AT1G47710	mod-id	Q9S7T8		Serpin-ZX	Arabidopsis thaliana	Swiss-Prot	I04.087	2
FB:FBgn0002930	mod-id	Q7JWX3	nec	GH10112p	Drosophila melanogaster	TrEMBL	I04.040	2
FB:FBgn0015586	mod-id	Q9VVW1	Acp76A	Accessory gland protein Acp76A	Drosophila melanogaster	Swiss-Prot		2
FB:FBgn0028984	mod-id	Q9VFC2	Spn88Ea	Serine protease inhibitor 88Ea	Drosophila melanogaster	Swiss-Prot	I04.085	1
FB:FBgn0028986	mod-id	Q9VII7	Spn38F	Serpin 38F, isoform A	Drosophila melanogaster	TrEMBL	I04.038	4
FB:FBgn0028990	mod-id	Q9V3N1	Spn27A	Serine protease inhibitor 27A	Drosophila melanogaster	Swiss-Prot	I04.072	1
FB:FBgn0031973	mod-id	Q9VLU4	Spn28Dc	Serine protease inhibitor 28Dc	Drosophila melanogaster	Swiss-Prot	I04.084	1
FB:FBgn0262057	mod-id	Q0E8C8	Spn77Ba	Serine protease inhibitor 77Ba	Drosophila melanogaster	Swiss-Prot	I04.092	1
FB:FBgn0265137	mod-id	Q7K8Y5	Spn42Da	Serpin 4	Drosophila melanogaster	TrEMBL	I04.043	5
GO:0031702	go							
InterPro:IPR000215	interpro							
InterPro:IPR000227	interpro							
InterPro:IPR033834	interpro							
MGI:MGI:101780	mod-id	Q07235	Serpine2	Glia-derived nexin	Mus musculus	Swiss-Prot	I04.021	5
MGI:MGI:105045	mod-id	Q91WP6	Serpina3n	Serine protease inhibitor A3N	Mus musculus	Swiss-Prot	I04.078	2
MGI:MGI:108080	mod-id	P97298	Serpinf1	Pigment epithelium-derived factor	Mus musculus	Swiss-Prot	I04.979	5
MGI:MGI:1913472	mod-id	Q9D154	Serpinb1a	Leukocyte elastase inhibitor A	Mus musculus	Swiss-Prot	I04.006	3
MGI:MGI:1915304	mod-id	Q7TMF5	Serpina12	Serpin A12	Mus musculus	Swiss-Prot	I04.091	2
MGI:MGI:87963	mod-id	P11859	Agt	Angiotensinogen	Mus musculus	Swiss-Prot	I04.953	5
MGI:MGI:88278	mod-id	Q06770	Serpina6	Corticosteroid-binding globulin	Mus musculus	Swiss-Prot	I04.954	4
MGI:MGI:891968	mod-id	Q00897	Serpina1d	Alpha-1-antitrypsin 1-4	Mus musculus	Swiss-Prot	I04.001	2
MGI:MGI:891969	mod-id	Q00896	Serpina1c	Alpha-1-antitrypsin 1-3	Mus musculus	Swiss-Prot	I04.001	2
MGI:MGI:891970	mod-id	P22599	Serpina1b	Alpha-1-antitrypsin 1-2	Mus musculus	Swiss-Prot	I04.001	4
MGI:MGI:891971	mod-id	P07758	Serpina1a	Alpha-1-antitrypsin 1-1	Mus musculus	Swiss-Prot	I04.001	3
MGI:MGI:894696	mod-id	P97290	Serping1	Plasma protease C1 inhibitor	Mus musculus	Swiss-Prot	I04.024	2
PANTHER:PTN000156123	panther-node			PAINT ancestral node				
PANTHER:PTN008518321	panther-node			PAINT ancestral node				
PANTHER:PTN008970140	panther-node			PAINT ancestral node				
RGD:1306692	mod-id	F7FHF3	Serpinf2	Serpin family F member 2	Rattus norvegicus	TrEMBL		3
RGD:1307404	mod-id	Q5M7T5	Serpinc1	Antithrombin-III	Rattus norvegicus	TrEMBL		5
RGD:2069	mod-id	P01015	Agt	Angiotensinogen	Rattus norvegicus	Swiss-Prot	I04.953	3
RGD:3249	mod-id	P20961	Serpine1	Plasminogen activator inhibitor 1	Rattus norvegicus	Swiss-Prot	I04.020	2
RGD:3326	mod-id	P17475	Serpina1	Alpha-1-antiproteinase	Rattus norvegicus	Swiss-Prot	I04.001	5
RGD:3747	mod-id	P09006	Serpina3n	Serine protease inhibitor A3N	Rattus norvegicus	Swiss-Prot	I04.078	5
RGD:3748	mod-id	P07092	Serpine2	Glia-derived nexin	Rattus norvegicus	Swiss-Prot	I04.021	3
RGD:619817	mod-id	A0ABK0LNG6	Serpina5	Serpin family A member 5	Rattus norvegicus	TrEMBL		3
RGD:619833	mod-id	P35577	Serpina7	Thyroxine-binding globulin	Rattus norvegicus	Swiss-Prot	I04.955	3
RGD:619896	mod-id	Q9JLD2	Serpini1	Neuroserpin	Rattus norvegicus	Swiss-Prot	I04.025	2
RGD:631369	mod-id	Q80ZA3	Serpinf1	Alpha-2 antiplasmin	Rattus norvegicus	TrEMBL	I04.979	2
RGD:735225	mod-id	Q6P734	Serping1	Plasma protease C1 inhibitor	Rattus norvegicus	Swiss-Prot		3
UniProtKB-SubCell:SL-0243	uniprotkb-subcell							
UniProtKB:C9J082	protein	C9J082	NPHP1	Nephrocystin 1	Homo sapiens	TrEMBL		1
UniProtKB:O00746	protein	O00746	NME4	Nucleoside diphosphate kinase D, mitochondrial	Homo sapiens	Swiss-Prot		1
UniProtKB:O14744	protein	O14744	PRMT5	Protein arginine N-methyltransferase 5	Homo sapiens	Swiss-Prot		1
UniProtKB:O43493-5	protein	O43493	TGOLN2	Trans-Golgi network integral membrane protein 2	Homo sapiens	Swiss-Prot		1
UniProtKB:P00797	protein	P00797	REN	Renin	Homo sapiens	Swiss-Prot	A01.007	1
UniProtKB:P01008	protein	P01008	SERPINC1	Antithrombin-III	Homo sapiens	Swiss-Prot	I04.018	1
UniProtKB:P01009	protein	P01009	SERPINA1	Alpha-1-antitrypsin	Homo sapiens	Swiss-Prot	I04.001	1
UniProtKB:P01011	protein	P01011	SERPINA3	Alpha-1-antichymotrypsin	Homo sapiens	Swiss-Prot	I04.002	1
UniProtKB:P01014	protein	P01014	SERPINB14B	Ovalbumin-related protein Y	Gallus gallus	Swiss-Prot	I04.958	1
UniProtKB:P01015	protein	P01015	Agt	Angiotensinogen	Rattus norvegicus	Swiss-Prot	I04.953	1
UniProtKB:P01019	protein	P01019	AGT	Angiotensinogen	Homo sapiens	Swiss-Prot	I04.953	1
UniProtKB:P05121	protein	P05121	SERPINE1	Plasminogen activator inhibitor 1	Homo sapiens	Swiss-Prot	I04.020	1
UniProtKB:P05154	protein	P05154	SERPINA5	Plasma serine protease inhibitor	Homo sapiens	Swiss-Prot	I04.004	1
UniProtKB:P05155	protein	P05155	SERPING1	Plasma protease C1 inhibitor	Homo sapiens	Swiss-Prot	I04.024	1
UniProtKB:P07093	protein	P07093	SERPINE2	Glia-derived nexin	Homo sapiens	Swiss-Prot	I04.021	1
UniProtKB:P08697	protein	P08697	SERPINF2	Alpha-2-antiplasmin	Homo sapiens	Swiss-Prot	I04.023	1
UniProtKB:P0C045	protein	P0C045		F protein	Hepatitis C virus genotype 1a (isolate H77)	Swiss-Prot		1
UniProtKB:P11859	protein	P11859	Agt	Angiotensinogen	Mus musculus	Swiss-Prot	I04.953	1
UniProtKB:P25095	protein	P25095	Agtr1	Type-1 angiotensin II receptor A	Rattus norvegicus	Swiss-Prot		1
UniProtKB:P29508	protein	P29508	SERPINB3	Serpin B3	Homo sapiens	Swiss-Prot	I04.008	1
UniProtKB:P30556	protein	P30556	AGTR1	Type-1 angiotensin II receptor	Homo sapiens	Swiss-Prot		1
UniProtKB:P30740	protein	P30740	SERPINB1	Leukocyte elastase inhibitor	Homo sapiens	Swiss-Prot	I04.006	1
UniProtKB:P36955	protein	P36955	SERPINF1	Pigment epithelium-derived factor	Homo sapiens	Swiss-Prot	I04.979	1
UniProtKB:P50052	protein	P50052	AGTR2	Type-2 angiotensin II receptor	Homo sapiens	Swiss-Prot		1
UniProtKB:P50453	protein	P50453	SERPINB9	Serpin B9	Homo sapiens	Swiss-Prot	I04.014	1
UniProtKB:Q10714	protein	Q10714	Ance	Angiotensin-converting enzyme	Drosophila melanogaster	Swiss-Prot	M02.003	1
UniProtKB:Q3ZEJ6	protein	Q3ZEJ6	SERPINA3-3	Serpin A3-3	Bos taurus	Swiss-Prot	I04.027	1
UniProtKB:Q7QIJ8	protein	Q7QIJ8	SRPN2	Serine protease inhibitor 2	Anopheles gambiae	Swiss-Prot	I04.070	1
UniProtKB:Q86WD7	protein	Q86WD7	SERPINA9	Serpin A9	Homo sapiens	Swiss-Prot	I04.082	1
UniProtKB:Q8IYM2	protein	Q8IYM2	SLFN12	Ribonuclease SLFN12	Homo sapiens	Swiss-Prot		1
UniProtKB:Q8N0U8	protein	Q8N0U8	VKORC1L1	Vitamin K epoxide reductase complex subunit 1-like protein 1	Homo sapiens	Swiss-Prot		1
UniProtKB:Q8NFB2	protein	Q8NFB2	TMEM185A	Transmembrane protein 185A	Homo sapiens	Swiss-Prot		1
UniProtKB:Q8TAS3	protein	Q8TAS3	PRRG2	PRRG2 protein	Homo sapiens	TrEMBL		1
UniProtKB:Q90935	protein	Q90935	SERPINI1	Neuroserpin	Gallus gallus	Swiss-Prot	I04.025	1
UniProtKB:Q95121	protein	Q95121	SERPINF1	Pigment epithelium-derived factor	Bos taurus	Swiss-Prot	I04.979	1
UniProtKB:Q99574	protein	Q99574	SERPINI1	Neuroserpin	Homo sapiens	Swiss-Prot	I04.025	1
UniProtKB:Q9TTE1	protein	Q9TTE1	SERPINA3-1	Serpin A3-1	Bos taurus	Swiss-Prot	I04.027	1
UniProtKB:Q9UI10	protein	Q9UI10	EIF2B4	Translation initiation factor eIF2B subunit delta	Homo sapiens	Swiss-Prot		1
UniProtKB:Q9UMY4	protein	Q9UMY4	SNX12	Sorting nexin-12	Homo sapiens	Swiss-Prot		1
