domain	accession_1	coordinates_1	accession_2	coordinates_2	identical_residues	aligned_residue_pairs	percent_identity	alignment_score
C3HC4_RING_type	Q496Y0	158-195	Q9D4H7	159-196	36	38	94.74	36.00
C3HC4_RING_type	Q496Y0	158-195	Q17RB8	123-158	20	36	55.56	18.90
C3HC4_RING_type	Q9D4H7	159-196	Q17RB8	123-158	20	36	55.56	18.90
Lon_N_terminal	Q496Y0	546-756	Q9D4H7	540-750	199	211	94.31	199.00
Lon_N_terminal	Q496Y0	546-756	Q17RB8	558-768	129	210	61.43	127.00
Lon_N_terminal	Q496Y0	546-756	Q1L5Z9	528-737	132	210	62.86	131.00
Lon_N_terminal	Q496Y0	546-756	P36776	123-370	57	198	28.79	31.80
Lon_N_terminal	Q9D4H7	540-750	Q17RB8	558-768	130	210	61.90	128.00
Lon_N_terminal	Q9D4H7	540-750	Q1L5Z9	528-737	132	210	62.86	131.00
Lon_N_terminal	Q9D4H7	540-750	P36776	123-370	57	193	29.53	31.70
Lon_N_terminal	Q17RB8	558-768	Q1L5Z9	528-737	126	210	60.00	125.00
Lon_N_terminal	Q17RB8	558-768	P36776	123-370	58	207	28.02	38.20
Lon_N_terminal	Q1L5Z9	528-737	P36776	123-370	54	203	26.60	37.10
RING_conserved_site	Q496Y0	173-182	Q496Y0	482-491	8	10	80.00	8.00
RING_conserved_site	Q496Y0	173-182	Q9D4H7	174-183	10	10	100.00	10.00
RING_conserved_site	Q496Y0	173-182	Q9D4H7	476-485	8	10	80.00	8.00
RING_conserved_site	Q496Y0	173-182	Q17RB8	138-147	6	10	60.00	6.00
RING_conserved_site	Q496Y0	173-182	Q17RB8	494-503	8	10	80.00	8.00
RING_conserved_site	Q496Y0	173-182	Q1L5Z9	464-473	8	10	80.00	8.00
RING_conserved_site	Q496Y0	173-182	P78317	154-163	7	10	70.00	7.00
RING_conserved_site	Q496Y0	482-491	Q9D4H7	174-183	8	10	80.00	8.00
RING_conserved_site	Q496Y0	482-491	Q9D4H7	476-485	10	10	100.00	10.00
RING_conserved_site	Q496Y0	482-491	Q17RB8	138-147	6	10	60.00	6.00
RING_conserved_site	Q496Y0	482-491	Q17RB8	494-503	7	10	70.00	7.00
RING_conserved_site	Q496Y0	482-491	Q1L5Z9	464-473	10	10	100.00	10.00
RING_conserved_site	Q496Y0	482-491	P78317	154-163	7	10	70.00	7.00
RING_conserved_site	Q9D4H7	174-183	Q9D4H7	476-485	8	10	80.00	8.00
RING_conserved_site	Q9D4H7	174-183	Q17RB8	138-147	6	10	60.00	6.00
RING_conserved_site	Q9D4H7	174-183	Q17RB8	494-503	8	10	80.00	8.00
RING_conserved_site	Q9D4H7	174-183	Q1L5Z9	464-473	8	10	80.00	8.00
RING_conserved_site	Q9D4H7	174-183	P78317	154-163	7	10	70.00	7.00
RING_conserved_site	Q9D4H7	476-485	Q17RB8	138-147	6	10	60.00	6.00
RING_conserved_site	Q9D4H7	476-485	Q17RB8	494-503	7	10	70.00	7.00
RING_conserved_site	Q9D4H7	476-485	Q1L5Z9	464-473	10	10	100.00	10.00
RING_conserved_site	Q9D4H7	476-485	P78317	154-163	7	10	70.00	7.00
RING_conserved_site	Q17RB8	138-147	Q17RB8	494-503	7	10	70.00	7.00
RING_conserved_site	Q17RB8	138-147	Q1L5Z9	464-473	6	10	60.00	6.00
RING_conserved_site	Q17RB8	138-147	P78317	154-163	6	10	60.00	6.00
RING_conserved_site	Q17RB8	494-503	Q1L5Z9	464-473	7	10	70.00	7.00
RING_conserved_site	Q17RB8	494-503	P78317	154-163	7	10	70.00	7.00
RING_conserved_site	Q1L5Z9	464-473	P78317	154-163	7	10	70.00	7.00
RING_type_zinc_finger	Q496Y0	158-195	Q496Y0	466-505	17	38	44.74	15.00
RING_type_zinc_finger	Q496Y0	158-195	Q9D4H7	159-196	36	38	94.74	36.00
RING_type_zinc_finger	Q496Y0	158-195	Q9D4H7	460-499	17	38	44.74	15.00
RING_type_zinc_finger	Q496Y0	158-195	Q17RB8	123-159	20	36	55.56	17.90
RING_type_zinc_finger	Q496Y0	158-195	Q17RB8	478-517	17	38	44.74	15.00
RING_type_zinc_finger	Q496Y0	158-195	Q1L5Z9	143-193	18	38	47.37	14.90
RING_type_zinc_finger	Q496Y0	158-195	Q1L5Z9	448-487	18	38	47.37	16.00
RING_type_zinc_finger	Q496Y0	158-195	P78317	131-177	14	38	36.84	10.40
RING_type_zinc_finger	Q496Y0	466-505	Q9D4H7	159-196	17	38	44.74	15.00
RING_type_zinc_finger	Q496Y0	466-505	Q9D4H7	460-499	39	40	97.50	39.00
RING_type_zinc_finger	Q496Y0	466-505	Q17RB8	123-159	19	37	51.35	16.90
RING_type_zinc_finger	Q496Y0	466-505	Q17RB8	478-517	32	40	80.00	32.00
RING_type_zinc_finger	Q496Y0	466-505	Q1L5Z9	143-193	17	39	43.59	13.00
RING_type_zinc_finger	Q496Y0	466-505	Q1L5Z9	448-487	35	40	87.50	35.00
RING_type_zinc_finger	Q496Y0	466-505	P78317	131-177	17	40	42.50	15.40
RING_type_zinc_finger	Q9D4H7	159-196	Q9D4H7	460-499	17	38	44.74	15.00
RING_type_zinc_finger	Q9D4H7	159-196	Q17RB8	123-159	20	36	55.56	17.90
RING_type_zinc_finger	Q9D4H7	159-196	Q17RB8	478-517	17	38	44.74	15.00
RING_type_zinc_finger	Q9D4H7	159-196	Q1L5Z9	143-193	18	38	47.37	14.90
RING_type_zinc_finger	Q9D4H7	159-196	Q1L5Z9	448-487	18	38	47.37	16.00
RING_type_zinc_finger	Q9D4H7	159-196	P78317	131-177	14	38	36.84	10.40
RING_type_zinc_finger	Q9D4H7	460-499	Q17RB8	123-159	19	37	51.35	16.90
RING_type_zinc_finger	Q9D4H7	460-499	Q17RB8	478-517	33	40	82.50	33.00
RING_type_zinc_finger	Q9D4H7	460-499	Q1L5Z9	143-193	17	39	43.59	13.00
RING_type_zinc_finger	Q9D4H7	460-499	Q1L5Z9	448-487	34	40	85.00	34.00
RING_type_zinc_finger	Q9D4H7	460-499	P78317	131-177	17	40	42.50	15.40
RING_type_zinc_finger	Q17RB8	123-159	Q17RB8	478-517	20	37	54.05	17.00
RING_type_zinc_finger	Q17RB8	123-159	Q1L5Z9	143-193	17	37	45.95	12.90
RING_type_zinc_finger	Q17RB8	123-159	Q1L5Z9	448-487	20	37	54.05	17.00
RING_type_zinc_finger	Q17RB8	123-159	P78317	131-177	18	37	48.65	12.50
RING_type_zinc_finger	Q17RB8	478-517	Q1L5Z9	143-193	17	39	43.59	13.00
RING_type_zinc_finger	Q17RB8	478-517	Q1L5Z9	448-487	34	40	85.00	34.00
RING_type_zinc_finger	Q17RB8	478-517	P78317	131-177	18	40	45.00	16.40
RING_type_zinc_finger	Q1L5Z9	143-193	Q1L5Z9	448-487	18	39	46.15	14.00
RING_type_zinc_finger	Q1L5Z9	143-193	P78317	131-177	10	46	21.74	5.80
RING_type_zinc_finger	Q1L5Z9	448-487	P78317	131-177	18	40	45.00	16.40
