accession	label	group	purpose	interpro_accession	domain	present	locations
Q496Y0	LONRF3_HUMAN	LONRF	query	IPR001841	RING_type_zinc_finger	true	158-195;466-505
Q496Y0	LONRF3_HUMAN	LONRF	query	IPR018957	C3HC4_RING_type	true	158-195
Q496Y0	LONRF3_HUMAN	LONRF	query	IPR017907	RING_conserved_site	true	173-182;482-491
Q496Y0	LONRF3_HUMAN	LONRF	query	IPR003111	Lon_N_terminal	true	546-756
Q496Y0	LONRF3_HUMAN	LONRF	query	IPR003593	AAA_plus_ATPase_domain	false	-
Q496Y0	LONRF3_HUMAN	LONRF	query	IPR003959	AAA_type_ATPase_core	false	-
Q496Y0	LONRF3_HUMAN	LONRF	query	IPR004815	Lon_protease_family	false	-
Q496Y0	LONRF3_HUMAN	LONRF	query	IPR008268	Peptidase_S16_active_site	false	-
Q496Y0	LONRF3_HUMAN	LONRF	query	IPR008269	Lon_proteolytic_domain	false	-
Q9D4H7	LONRF3_MOUSE	LONRF	curated_ortholog	IPR001841	RING_type_zinc_finger	true	159-196;460-499
Q9D4H7	LONRF3_MOUSE	LONRF	curated_ortholog	IPR018957	C3HC4_RING_type	true	159-196
Q9D4H7	LONRF3_MOUSE	LONRF	curated_ortholog	IPR017907	RING_conserved_site	true	174-183;476-485
Q9D4H7	LONRF3_MOUSE	LONRF	curated_ortholog	IPR003111	Lon_N_terminal	true	540-750
Q9D4H7	LONRF3_MOUSE	LONRF	curated_ortholog	IPR003593	AAA_plus_ATPase_domain	false	-
Q9D4H7	LONRF3_MOUSE	LONRF	curated_ortholog	IPR003959	AAA_type_ATPase_core	false	-
Q9D4H7	LONRF3_MOUSE	LONRF	curated_ortholog	IPR004815	Lon_protease_family	false	-
Q9D4H7	LONRF3_MOUSE	LONRF	curated_ortholog	IPR008268	Peptidase_S16_active_site	false	-
Q9D4H7	LONRF3_MOUSE	LONRF	curated_ortholog	IPR008269	Lon_proteolytic_domain	false	-
Q17RB8	LONRF1_HUMAN	LONRF	curated_paralog	IPR001841	RING_type_zinc_finger	true	123-159;478-517
Q17RB8	LONRF1_HUMAN	LONRF	curated_paralog	IPR018957	C3HC4_RING_type	true	123-158
Q17RB8	LONRF1_HUMAN	LONRF	curated_paralog	IPR017907	RING_conserved_site	true	138-147;494-503
Q17RB8	LONRF1_HUMAN	LONRF	curated_paralog	IPR003111	Lon_N_terminal	true	558-768
Q17RB8	LONRF1_HUMAN	LONRF	curated_paralog	IPR003593	AAA_plus_ATPase_domain	false	-
Q17RB8	LONRF1_HUMAN	LONRF	curated_paralog	IPR003959	AAA_type_ATPase_core	false	-
Q17RB8	LONRF1_HUMAN	LONRF	curated_paralog	IPR004815	Lon_protease_family	false	-
Q17RB8	LONRF1_HUMAN	LONRF	curated_paralog	IPR008268	Peptidase_S16_active_site	false	-
Q17RB8	LONRF1_HUMAN	LONRF	curated_paralog	IPR008269	Lon_proteolytic_domain	false	-
Q1L5Z9	LONRF2_HUMAN	LONRF	curated_paralog	IPR001841	RING_type_zinc_finger	true	143-193;448-487
Q1L5Z9	LONRF2_HUMAN	LONRF	curated_paralog	IPR018957	C3HC4_RING_type	false	-
Q1L5Z9	LONRF2_HUMAN	LONRF	curated_paralog	IPR017907	RING_conserved_site	true	464-473
Q1L5Z9	LONRF2_HUMAN	LONRF	curated_paralog	IPR003111	Lon_N_terminal	true	528-737
Q1L5Z9	LONRF2_HUMAN	LONRF	curated_paralog	IPR003593	AAA_plus_ATPase_domain	false	-
Q1L5Z9	LONRF2_HUMAN	LONRF	curated_paralog	IPR003959	AAA_type_ATPase_core	false	-
Q1L5Z9	LONRF2_HUMAN	LONRF	curated_paralog	IPR004815	Lon_protease_family	false	-
Q1L5Z9	LONRF2_HUMAN	LONRF	curated_paralog	IPR008268	Peptidase_S16_active_site	false	-
Q1L5Z9	LONRF2_HUMAN	LONRF	curated_paralog	IPR008269	Lon_proteolytic_domain	false	-
P78317	RNF4_HUMAN	RING_control	positive_Ring_E3_control	IPR001841	RING_type_zinc_finger	true	131-177
P78317	RNF4_HUMAN	RING_control	positive_Ring_E3_control	IPR018957	C3HC4_RING_type	false	-
P78317	RNF4_HUMAN	RING_control	positive_Ring_E3_control	IPR017907	RING_conserved_site	true	154-163
P78317	RNF4_HUMAN	RING_control	positive_Ring_E3_control	IPR003111	Lon_N_terminal	false	-
P78317	RNF4_HUMAN	RING_control	positive_Ring_E3_control	IPR003593	AAA_plus_ATPase_domain	false	-
P78317	RNF4_HUMAN	RING_control	positive_Ring_E3_control	IPR003959	AAA_type_ATPase_core	false	-
P78317	RNF4_HUMAN	RING_control	positive_Ring_E3_control	IPR004815	Lon_protease_family	false	-
P78317	RNF4_HUMAN	RING_control	positive_Ring_E3_control	IPR008268	Peptidase_S16_active_site	false	-
P78317	RNF4_HUMAN	RING_control	positive_Ring_E3_control	IPR008269	Lon_proteolytic_domain	false	-
P36776	LONP1_HUMAN	Lon_control	active_Lon_protease_control	IPR001841	RING_type_zinc_finger	false	-
P36776	LONP1_HUMAN	Lon_control	active_Lon_protease_control	IPR018957	C3HC4_RING_type	false	-
P36776	LONP1_HUMAN	Lon_control	active_Lon_protease_control	IPR017907	RING_conserved_site	false	-
P36776	LONP1_HUMAN	Lon_control	active_Lon_protease_control	IPR003111	Lon_N_terminal	true	123-370
P36776	LONP1_HUMAN	Lon_control	active_Lon_protease_control	IPR003593	AAA_plus_ATPase_domain	true	515-660
P36776	LONP1_HUMAN	Lon_control	active_Lon_protease_control	IPR003959	AAA_type_ATPase_core	true	519-656
P36776	LONP1_HUMAN	Lon_control	active_Lon_protease_control	IPR004815	Lon_protease_family	true	125-947
P36776	LONP1_HUMAN	Lon_control	active_Lon_protease_control	IPR008268	Peptidase_S16_active_site	true	852-860
P36776	LONP1_HUMAN	Lon_control	active_Lon_protease_control	IPR008269	Lon_proteolytic_domain	true	737-949
