protein_id,gene_symbol,taxon_id,taxon_label,uniprot_link,pathway_link,term_id,term_label,term_description,term_ontology,evidence_type,negated,method,original_reference_id,original_reference_title,supporting_entities,extensions,review_summary,review_action,review_reason,review_supporting_text,review_supporting_reference_ids,review_proposed_replacement_terms,review_additional_reference_ids
H9C181,AcrF8,NCBITaxon:1127516,Pectobacterium phage ZF40,https://www.uniprot.org/uniprotkb/H9C181,../genes/BPZF4/AcrF8/AcrF8-pathway.html,GO:0052170,symbiont-mediated suppression of host innate immune response,,,IEA,,UniProtKB-KW,GO_REF:0000043,Gene Ontology annotation based on UniProtKB/Swiss-Prot keyword mapping,,,"This annotation is too general for AcrF8. While it correctly captures that AcrF8 suppresses host immunity, it misses the specific mechanism of CRISPR-Cas inhibition. A more precise term would be GO:0098672 (symbiont-mediated suppression of host CRISPR-cas system), which specifically describes the function of anti-CRISPR proteins.",MODIFY,,,,GO:0098672:symbiont-mediated suppression of host CRISPR-cas system,
H9C181,AcrF8,NCBITaxon:1127516,Pectobacterium phage ZF40,https://www.uniprot.org/uniprotkb/H9C181,../genes/BPZF4/AcrF8/AcrF8-pathway.html,GO:0043021,ribonucleoprotein complex binding,,,IDA,,Experimental,PMID:32170016,"Inhibition mechanisms of AcrF9, AcrF8, and AcrF6 against type I-F CRISPR-Cas complex revealed by cryo-EM",,,"AcrF8 binds to the Type I-F CRISPR-Cas surveillance complex (Csy complex), which is a ribonucleoprotein complex containing both Cas proteins and crRNA. Structural evidence shows direct binding to both protein and RNA components.",NEW,,"The distance between the residues T29, I31, A32, N33 of AcrF8 and the nucleobases of three nucleotides (U[+21], U[+22], G[+23]) of crRNA is less than 4 Å, which is close enough to form multiple hydrogen bonds and nonbonded interactions",PMID:32170016,,
H9C180,H9C180,NCBITaxon:1127516,Pectobacterium phage ZF40,https://www.uniprot.org/uniprotkb/H9C180,,GO:0003677,DNA binding,,,IEA,,Combined-IEA,GO_REF:0000120,Combined Automated Annotation using Multiple IEA Methods.,,,This annotation is correct but too general. Aca2 is specifically a sequence-specific DNA-binding transcription factor that recognizes inverted repeat operator sequences in the acrIF8-aca2 promoter through its N-terminal HTH domain. The protein binds as a homodimer to regulate transcription.,MODIFY,,"Aca2 is a dimer that represses the expression of the acrIF8–aca2 operon, and that this autoregulation is mediated through binding to inverted repeats in the promoter region",PMID:31428783,GO:0003700:DNA-binding transcription factor activity,
H9C180,H9C180,NCBITaxon:1127516,Pectobacterium phage ZF40,https://www.uniprot.org/uniprotkb/H9C180,,GO:0003723,RNA binding,,,IEA,,UniProtKB-KW,GO_REF:0000043,Gene Ontology annotation based on UniProtKB/Swiss-Prot keyword mapping,,,"Correct annotation supported by experimental evidence. Aca2 binds conserved RNA stem-loops on the acrIF8-aca2 mRNA to block ribosome access and inhibit translation. This RNA-binding function, mediated by the same HTH domain that binds DNA, provides a second layer of regulatory control beyond transcriptional repression.",ACCEPT,,"the HTH domain of the regulator Aca2, in addition to repressing Acr synthesis transcriptionally through DNA binding, inhibits translation of mRNAs by binding conserved RNA stem-loops and blocking ribosome access",PMID:38987591,,
H9C180,H9C180,NCBITaxon:1127516,Pectobacterium phage ZF40,https://www.uniprot.org/uniprotkb/H9C180,,GO:0046872,metal ion binding,,,IEA,,UniProtKB-KW,GO_REF:0000043,Gene Ontology annotation based on UniProtKB/Swiss-Prot keyword mapping,,,"This annotation has minimal support. While crystallographic structures show Mg2+ bound at position 92, this appears to be a crystallization artifact rather than a functionally relevant metal-binding site. There is no evidence that metal binding is required for Aca2's repressor function.",REMOVE,,,,,
P28891,fibrolase,NCBITaxon:8713,Agkistrodon contortrix contortrix,https://www.uniprot.org/uniprotkb/P28891,../genes/AGKCO/fibrolase/fibrolase-pathway.html,GO:0035821,modulation of process of another organism,,,IEA,,Ensembl,GO_REF:0000108,"Automatic assignment of GO terms using logical inference, based on on inter-ontology links.",,,"This annotation correctly identifies fibrolase's role in inter-organism interaction through venom. As a venom component, fibrolase directly affects hemostasis in prey/victim organisms by degrading fibrin/fibrinogen, thus modulating coagulation processes in the target organism.",ACCEPT,"Fibrolase is a venom metalloproteinase that directly affects another organism's physiology by disrupting hemostasis through fibrinolytic activity. This is a core function as it represents the primary biological role of this venom component [PMID:1898066, PMID:1304358].","The enzyme exhibits direct fibrinolytic activity and does not activate plasminogen. In vitro studies revealed that fibrolase dissolves clots made either from purified fibrinogen or from whole blood. | This is the first report of the sequence of a direct-acting, nonhemorrhagic fibrinolytic enzyme found in snake venom.",PMID:1898066; PMID:1304358,,
P28891,fibrolase,NCBITaxon:8713,Agkistrodon contortrix contortrix,https://www.uniprot.org/uniprotkb/P28891,../genes/AGKCO/fibrolase/fibrolase-pathway.html,GO:0004222,metalloendopeptidase activity,,,IEA,,Combined-IEA,GO_REF:0000120,Combined Automated Annotation using Multiple IEA Methods.,,,"This annotation correctly identifies the molecular function as a metalloendopeptidase. Fibrolase is classified as EC 3.4.24.72, a zinc metalloproteinase that cleaves peptide bonds in fibrin/fibrinogen. The term accurately captures the enzymatic mechanism.",ACCEPT,The term accurately describes the core catalytic activity - fibrolase is indeed a zinc-dependent metalloendopeptidase (EC 3.4.24.72) that hydrolyzes internal peptide bonds. This is supported by extensive biochemical characterization showing zinc dependency and specific cleavage patterns [PMID:1898066].,"the enzyme is a metalloproteinase since it is inhibited by EDTA, o-phenanthroline and tetraethylenepentamine (a specific zinc chelator). Metal analysis revealed 1 mol of zinc/mol of protein. | Study of cleavage site preference of the fibrinolytic enzyme using the oxidized B chain of insulin revealed that specificity is similar to other snake venom metalloproteinases with cleavage primarily directed to an X-Leu bond.",PMID:1898066; PMID:1898066,,
P28891,fibrolase,NCBITaxon:8713,Agkistrodon contortrix contortrix,https://www.uniprot.org/uniprotkb/P28891,../genes/AGKCO/fibrolase/fibrolase-pathway.html,GO:0005576,extracellular region,,,IEA,,UniProtKB-SubCell,GO_REF:0000044,"Gene Ontology annotation based on UniProtKB/Swiss-Prot Subcellular Location vocabulary mapping, accompanied by conservative changes to GO terms applied by UniProt.",,,Correct annotation - fibrolase is a secreted venom protein found in the extracellular space after envenomation. The protein is secreted from venom glands and acts extracellularly on fibrin/fibrinogen substrates.,ACCEPT,"Fibrolase is definitively a secreted protein that functions in the extracellular environment. It is produced by venom glands and secreted as part of the venom to act on extracellular targets (fibrin/fibrinogen in blood) [PMID:1304358, PMID:1898066].","fibrolase, a fibrinolytic enzyme from southern copperhead (Agkistrodon contortrix contortrix) venom | A fibrinolytic enzyme present in Agkistrodon contortrix contortrix (southern copperhead) venom has been purified",PMID:1304358; PMID:1898066,,
P28891,fibrolase,NCBITaxon:8713,Agkistrodon contortrix contortrix,https://www.uniprot.org/uniprotkb/P28891,../genes/AGKCO/fibrolase/fibrolase-pathway.html,GO:0005886,plasma membrane,,,IEA,,TreeGrafter,GO_REF:0000118,TreeGrafter-generated GO annotations,,,"This annotation is incorrect. Fibrolase is a secreted venom protein that acts in the extracellular space, not a plasma membrane-associated protein. There is no evidence for membrane localization.",REMOVE,"Fibrolase is a secreted soluble enzyme that functions in the extracellular environment (blood plasma) after envenomation. It has no transmembrane domains or membrane-association motifs, and all functional studies show it acting as a soluble enzyme on soluble or fibrin-bound substrates. The UniProt entry clearly states it is ""Secreted"" with no membrane association [PMID:1304358, PMID:1898066].","The enzyme, fibrolase, has a molecular weight of 23,000-24,000 and an isoelectric point of pH 6.8. It is composed of approximately 200 amino acids | Fibrolase is composed of 203 residues in a single polypeptide chain with a molecular weight of 22,891",PMID:1898066; PMID:1304358,,
P28891,fibrolase,NCBITaxon:8713,Agkistrodon contortrix contortrix,https://www.uniprot.org/uniprotkb/P28891,../genes/AGKCO/fibrolase/fibrolase-pathway.html,GO:0006508,proteolysis,,,IEA,,Combined-IEA,GO_REF:0000120,Combined Automated Annotation using Multiple IEA Methods.,,,Correct but could be more specific. Fibrolase performs proteolysis specifically on fibrin/fibrinogen substrates. A more specific term like 'venom-mediated fibrinolysis' (GO:0044484) would better capture the biological context.,MODIFY,"While proteolysis is correct, it's too general for this specialized venom enzyme. Fibrolase specifically performs fibrinolytic proteolysis as part of venom action. The term 'venom-mediated fibrinolysis' (GO:0044484) more accurately describes the biological process [PMID:1898066].","The enzyme exhibits direct fibrinolytic activity and does not activate plasminogen. In vitro studies revealed that fibrolase dissolves clots made either from purified fibrinogen or from whole blood. | a direct-acting, nonhemorrhagic fibrinolytic enzyme found in snake venom",PMID:1898066; PMID:1304358,GO:0044484:venom-mediated fibrinolysis,
P28891,fibrolase,NCBITaxon:8713,Agkistrodon contortrix contortrix,https://www.uniprot.org/uniprotkb/P28891,../genes/AGKCO/fibrolase/fibrolase-pathway.html,GO:0008233,peptidase activity,,,IEA,,UniProtKB-KW,GO_REF:0000043,Gene Ontology annotation based on UniProtKB/Swiss-Prot keyword mapping,,,"This term is correct but too general. Fibrolase is specifically a metalloendopeptidase with defined substrate specificity, not just any peptidase.",REMOVE,This overly broad term adds no information beyond the more specific 'metalloendopeptidase activity' (GO:0004222) already present. The general peptidase activity is redundant with the more specific metallopeptidase annotations and doesn't capture the enzyme's specific catalytic mechanism or substrate specificity [PMID:1898066].,"the enzyme is a metalloproteinase since it is inhibited by EDTA, o-phenanthroline and tetraethylenepentamine (a specific zinc chelator)",PMID:1898066,,
P28891,fibrolase,NCBITaxon:8713,Agkistrodon contortrix contortrix,https://www.uniprot.org/uniprotkb/P28891,../genes/AGKCO/fibrolase/fibrolase-pathway.html,GO:0008237,metallopeptidase activity,,,IEA,,Combined-IEA,GO_REF:0000120,Combined Automated Annotation using Multiple IEA Methods.,,,"Correct annotation that captures the metal-dependent peptidase activity. However, this is somewhat redundant with the more specific 'metalloendopeptidase activity' (GO:0004222) annotation.",REMOVE,"This term is redundant with the more specific 'metalloendopeptidase activity' (GO:0004222) which better describes the enzyme's function. Metalloendopeptidase is a child term of metallopeptidase, so keeping both is unnecessary. The more specific term provides more information about the cleavage pattern (internal bonds) [PMID:1898066].",Study of cleavage site preference of the fibrinolytic enzyme using the oxidized B chain of insulin revealed that specificity is similar to other snake venom metalloproteinases with cleavage primarily directed to an X-Leu bond.,PMID:1898066,,
P28891,fibrolase,NCBITaxon:8713,Agkistrodon contortrix contortrix,https://www.uniprot.org/uniprotkb/P28891,../genes/AGKCO/fibrolase/fibrolase-pathway.html,GO:0016787,hydrolase activity,,,IEA,,UniProtKB-KW,GO_REF:0000043,Gene Ontology annotation based on UniProtKB/Swiss-Prot keyword mapping,,,This extremely broad term is technically correct but uninformative. Fibrolase has much more specific annotations that describe its actual function.,REMOVE,"This is an overly general parent term that provides no useful information beyond the specific metalloendopeptidase activity already annotated. Hydrolase activity is an ancestor of peptidase activity, which itself is an ancestor of metalloendopeptidase activity. Keeping this broad term adds no value [PMID:1898066].",the enzyme is a metalloproteinase,PMID:1898066,,
P28891,fibrolase,NCBITaxon:8713,Agkistrodon contortrix contortrix,https://www.uniprot.org/uniprotkb/P28891,../genes/AGKCO/fibrolase/fibrolase-pathway.html,GO:0046872,metal ion binding,,,IEA,,UniProtKB-KW,GO_REF:0000043,Gene Ontology annotation based on UniProtKB/Swiss-Prot keyword mapping,,,"Correct but could be more specific. Fibrolase specifically binds zinc ions, not just any metal ion. The more specific term 'zinc ion binding' (GO:0008270) would be more accurate.",MODIFY,"While metal ion binding is correct, fibrolase specifically requires zinc for catalytic activity. Metal analysis confirmed 1 mol of zinc per mol of protein, and the enzyme is inhibited by zinc-specific chelators. The term 'zinc ion binding' (GO:0008270) more precisely describes this molecular function [PMID:1898066].","Metal analysis revealed 1 mol of zinc/mol of protein | the enzyme is a metalloproteinase since it is inhibited by EDTA, o-phenanthroline and tetraethylenepentamine (a specific zinc chelator)",PMID:1898066; PMID:1898066,GO:0008270:zinc ion binding,
