Citation,Evidence type,Direction,Claim tested,Key finding,Context,Confidence/limits
QuickGO GO:0071561 term,review/database,refutes/qualifies,Is GO:0071561 a taxon-general or yeast-specific structure?,Term CC def: vacuole-outer-nuclear membrane contact mediated by Vac8p-Nvj1p in S. cerevisiae,GO ontology,High; definition explicitly yeast/Vac8p-Nvj1p
PMID:28533415,structural,qualifies,What builds the NVJ?,Crystal structure: NVJ formed by Vac8p-Nvj1p direct interaction; disruption abolishes NVJ & PMN,S. cerevisiae,High; neither builder is Vps15
PMID:42375028,review/database,qualifies,Is NVJ yeast-specific?,NVJ described as 'a central membrane contact site in yeast',Yeast review,High (review-level)
QuickGO annotation Q99570,computational,refutes,Does human PIK3R4 have direct NVJ evidence?,Only GO:0071561 annot is IBA (ECO:0000318 PAINT) via PANTHER:PTN000426471 + SGD; no human experimental,Human,High; inference-only
PMID:14617358,localization/interaction (IDA),competing,Where does human PIK3R4/p150 localize?,hVPS34/p150 complex colocalizes with Rab7 on late endosomes,Human cells,High; direct human evidence endosomal not nuclear
UniProt Q99570,review/database,competing,Curated human subcellular location,Late endosome; autophagosome; membrane. No nuclear/vacuole terms,Human,High
PMID:23335340,localization (IDA),qualifies (yeast only),Do yeast Vps15/Vps34 localize to NVJ?,Yeast VPS15(P22219) & VPS34(P22543) IDA to NVJ,S. cerevisiae,Moderate; source of the IBA real but yeast-specific
PMID:27882921,mutant phenotype,competing,Vertebrate PIK3R4 in-vivo role/location,VPS15/PIK3R4 mutation causes ciliopathy affects IFT20 release from cis-Golgi,Human/vertebrate,High; non-nuclear disease mechanism
NCBI esearch,computational,refutes,Human literature for PIK3R4 at nucleus/NVJ,'PIK3R4 nuclear envelope'=0; 'nucleus lysosome contact site VPS34'=0 hits,Human,Moderate; absence of evidence
QuickGO GO:0071561 all-species,computational,qualifies,Is the term over-propagated?,5093 gene-products mostly IEA(GO_REF:0000118)/IBA(GO_REF:0000033) across plants nematodes birds fungi,Cross-species,High; over-propagation signature
QuickGO Q8NEB9 / taxon 9606,computational,refutes,Is the human annotation complex-consistent?,Human VPS34/PIK3C3 has 0 NVJ annotations; only human GO:0071561 annotation is PIK3R4 (IBA); no human experimental NVJ,Human,High; internal inconsistency = isolated PAINT artifact
