accession,aspect,reference_terms,best_exact,best_descendant,best_ancestor
D0VXF2,F,GO:0004146,1:GO:0004146,,
D0VXF2,P,GO:0006730|GO:0046654,5:GO:0046654,9:GO:0009257,12:GO:0046653
D0VXF2,C,GO:0030430,,,
F5HMW5,F,GO:0008745,15:GO:0008745,,
F5HMW5,P,GO:0009253|GO:0045824|GO:0061060,2:GO:0061060,21:GO:0035009,
F5HMW5,C,GO:0016020,,,
G3V6K6,F,GO:0004714|GO:0005006|GO:0048408,1:GO:0005006,1:GO:0005006,
G5EFT5,F,GO:0003700|GO:0042802|GO:0043565,,,
H2KZD5,F,GO:0035197,17:GO:0035197,,6:GO:0061980
H2KZD5,P,GO:0007059|GO:0007281|GO:0060966,,13:GO:1902802,
H2KZD5,C,GO:0016442|GO:0043186,16:GO:0016442,,1:GO:0031332
H2KZZ2,F,GO:0000981,,,
H2KZZ2,P,GO:0007040|GO:0008340|GO:0016239|GO:0050830,,,
H2KZZ2,C,GO:0005634,,20:GO:0090575,
O08586,F,GO:0004722|GO:0004725|GO:0016314,5:GO:0016314,,22:GO:0052866
O08586,P,GO:0006470|GO:0046856,,,
O08586,C,GO:0005634|GO:0005737|GO:0005886,,,
O13968,F,GO:0016787,,1:GO:0004046,
O13968,C,GO:0000324|GO:0005774,3:GO:0000324,4:GO:0000328,
O13978,F,GO:0060090,,,
O13978,P,GO:0000045|GO:0016236,14:GO:0016236,5:GO:0034727,14:GO:0016236
O13978,C,GO:0000407|GO:1990316,1:GO:1990316,,
O14313,F,GO:0044183,,,
O14313,C,GO:0005634|GO:0005829,,,
O16305,F,GO:0005509|GO:0030234|GO:0048306,,3:GO:0170005,
O16305,C,GO:0005737,,7:GO:0036063,
O16850,F,GO:0000981,5:GO:0000981,,
O16850,P,GO:0006357|GO:0008286|GO:0008340|GO:0034599|GO:0040024|GO:0045087,,7:GO:0061414,
O16850,C,GO:0005634|GO:0005737,,1:GO:0097221,
O22476,F,GO:0004674|GO:0038023|GO:0042803,,,
O22476,P,GO:0006468|GO:0009729|GO:0009742,1:GO:0009729,,9:GO:0071367
O22476,C,GO:0005886|GO:0010008,,,
O36019,F,GO:0060090,,,
O36019,P,GO:0000423|GO:0016236|GO:0042594,12:GO:0000423,2:GO:0034727,16:GO:0000422
O36019,C,GO:0000407|GO:0005829|GO:1990316,1:GO:1990316,,
O42644,F,GO:0003883|GO:0042802,3:GO:0003883,,
O42644,P,GO:0006241|GO:0044210,14:GO:0044210,14:GO:0044210,16:GO:0006221
O42644,C,GO:0005829|GO:0097268,1:GO:0097268,,
O60094,F,GO:0000182|GO:0001163,,9:GO:0001165,
O60107,F,GO:0032266,3:GO:0032266,,
O60107,P,GO:0000425|GO:0006914|GO:0042147,1:GO:0042147,4:GO:0034499,24:GO:0016236
O60107,C,GO:0000407|GO:0005768|GO:0010008,14:GO:0000407,5:GO:0010009,
O74447,F,GO:0060090,,,
O74887,F,GO:0140824,8:GO:0140824,5:GO:0008379,10:GO:0016684
O74887,P,GO:0034599|GO:0042744|GO:0045454|GO:1900745,2:GO:0045454,3:GO:0061692,
O74887,C,GO:0005829,,,
O74971,F,GO:0019776,,,
O74971,P,GO:0016236,17:GO:0016236,3:GO:0061739,23:GO:0006914
O74971,C,GO:0000407|GO:0034274,2:GO:0034274,8:GO:0097632,
O77059,F,GO:0009882|GO:0071949,5:GO:0009882,,
O77059,C,GO:0005634|GO:0005737,,,
O94427,F,GO:0060090,,,
O94427,P,GO:0016236,,25:GO:0034497,
O94427,C,GO:0000407|GO:0005829|GO:0034271,,,
O94603,F,GO:0003712|GO:0035035|GO:0042393|GO:0042826|GO:0140030,,,
O94603,P,GO:0006325|GO:0006357|GO:0006473|GO:0010964|GO:0031452|GO:0033696,,,
O94603,C,GO:0000792|GO:0005721|GO:0031934|GO:0140720,,,
O94649,F,GO:0043495|GO:0120013,4:GO:0120013,8:GO:1990050,
O94649,P,GO:0000045|GO:0016236,10:GO:0000045,3:GO:0034727,
O94649,C,GO:0000407|GO:0005789|GO:0061908,1:GO:0000407,15:GO:0034045,
O94656,F,GO:0019776,,,
O94656,P,GO:0016236,12:GO:0016236,11:GO:0034497,19:GO:0006914
O94656,C,GO:0000407,13:GO:0000407,18:GO:0097632,
P00533,F,GO:0004714,,1:GO:0005006,
P00533,P,GO:0000165|GO:0007173|GO:0018108|GO:0043410|GO:0046777,17:GO:0018108,4:GO:0038134,
P00533,C,GO:0005886|GO:0016020,,3:GO:0038143,
P00691,F,GO:0004556|GO:0005509|GO:0030247,1:GO:0004556,17:GO:2001067,4:GO:0016160
P00691,C,GO:0005576,,,
P01106,F,GO:0000981|GO:0046983|GO:0070888,2:GO:0070888,,
P01106,P,GO:0000122|GO:0006357|GO:0045944|GO:0065003,,,
P01106,C,GO:0000785|GO:0005634|GO:0005654|GO:0071943,1:GO:0071943,1:GO:0071943,
P01108,F,GO:0000981|GO:0046983,,,
P01108,P,GO:0000122|GO:0006357|GO:0045944,,,
P01108,C,GO:0000785|GO:0005634|GO:0005654|GO:0071943,1:GO:0071943,1:GO:0071943,
P01120,F,GO:0003924,,8:GO:0003925,
P01120,P,GO:0007163|GO:0007265|GO:0032880|GO:0042149|GO:0097271|GO:2000222,5:GO:2000222,21:GO:0007121,12:GO:2000220
P01120,C,GO:0005886,,,
P02340,F,GO:0000978|GO:0000981,,,
P02340,P,GO:0000122|GO:0030330|GO:0042771|GO:0045944|GO:0072332|GO:2000774,,,25:GO:0008630
P02340,C,GO:0000785|GO:0005634|GO:0005654,,,
P02828,F,GO:0140662,,,
P02828,P,GO:0006457|GO:0034605|GO:0050821|GO:0070922,,6:GO:0035080,
P02828,C,GO:0005829|GO:0101031,9:GO:0101031,2:GO:1990565,
P04189,F,GO:0004252|GO:0005509,11:GO:0005509,,
P04189,P,GO:0006508|GO:0009372|GO:0140448,16:GO:0006508,8:GO:0090474,16:GO:0006508
P04189,C,GO:0005576,13:GO:0005576,,
P04406,F,GO:0003723|GO:0004365|GO:0019828|GO:0035605,5:GO:0035605,,9:GO:0043891
P04406,P,GO:0006915|GO:0017148|GO:0050832|GO:0061621,,16:GO:0051402,
P04406,C,GO:0005634|GO:0005829|GO:0070062|GO:0097452,1:GO:0097452,,
P04637,F,GO:0000976,,,
P04637,P,GO:0000122|GO:0030330|GO:0045930|GO:0045944|GO:0072332|GO:2000772,,,
P04637,C,GO:0005634|GO:0016604,,,
P05067,F,GO:0004867|GO:0005507|GO:0008201|GO:0030546|GO:0042802|GO:0050839|GO:0098631,,,
P05067,P,GO:0006878|GO:0007155|GO:0007409|GO:0031175|GO:0050803|GO:1990000,13:GO:1990000,,
P05067,C,GO:0005576|GO:0005769|GO:0005886|GO:0009986|GO:0030426|GO:0043005,,,
P05480,F,GO:0004715,23:GO:0004715,,
P05480,P,GO:0018108|GO:0035556,5:GO:0018108,7:GO:0038083,
P05480,C,GO:0005829|GO:0005886|GO:0005925,,11:GO:0031234,
P06101,F,GO:0019901|GO:0044183|GO:0051087,,,
P06101,P,GO:0006457|GO:0050821,,,
P06101,C,GO:0005737,,1:GO:1990565,
P06534,F,GO:0003700,17:GO:0003700,,
P06534,P,GO:0006355|GO:0030435,8:GO:0030435,15:GO:0034301,5:GO:0043934
P06534,C,GO:0005737,,,
P06700,F,GO:0003714|GO:0017136,19:GO:0017136,1:GO:0097372,13:GO:0033558
P06761,F,GO:0016887|GO:0044183|GO:0051787,,,
P06761,P,GO:0030968|GO:0034976|GO:0036503|GO:0042026,,21:GO:0061857,9:GO:0006986
P06761,C,GO:0005788,3:GO:0005788,4:GO:0099020,
P07860,F,GO:0016987,18:GO:0016987,,
P07860,P,GO:0006352|GO:0030435,5:GO:0030435,6:GO:0034301,2:GO:0043934
P07860,C,GO:1903865,20:GO:1903865,,
P08622,F,GO:0016989|GO:0044183,,,
P08622,P,GO:0006457|GO:0009408|GO:0042026|GO:0043335|GO:0045892,2:GO:0009408,23:GO:2000143,3:GO:0006457
P08622,C,GO:0005829,,,
P0A6F5,F,GO:0140662,3:GO:0140662,,
P0A6F5,P,GO:0006457,14:GO:0006457,2:GO:0042026,
P0A6F5,C,GO:0005829|GO:1990220,1:GO:1990220,1:GO:1990220,
P0A6Y8,F,GO:0016989|GO:0140662,1:GO:0140662,,4:GO:0044183
P0A6Y8,P,GO:0006457|GO:0009408|GO:0034620|GO:0042026|GO:0043335|GO:0045892,13:GO:0006457,16:GO:0042026,13:GO:0006457
P0A6Y8,C,GO:0005829|GO:0016234,,,
P0A9K9,F,GO:0003755|GO:0051082|GO:0170061,,,3:GO:0016530
P0A9K9,P,GO:0042026|GO:0051604,,,
P0A9K9,C,GO:0005829,,,
P0ABZ6,F,GO:0003755|GO:0044183,12:GO:0003755,,
P0ABZ6,P,GO:0006457|GO:0036506|GO:0043165,4:GO:0043165,20:GO:0006458,
P0ABZ6,C,GO:0030288,3:GO:0030288,,
P0AD65,F,GO:0008658|GO:0009002,2:GO:0009002,,17:GO:0004185
P0AD65,P,GO:0008360|GO:0009252|GO:0046677,5:GO:0009252,3:GO:0018104,19:GO:0009273
P0AD65,C,GO:0005886|GO:0030288,25:GO:0030288,,
P0AD68,F,GO:0008658|GO:0009002,16:GO:0008658,,
P0AE85,F,GO:0030547,,,
P0AE85,P,GO:0070298,,,
P0AE85,C,GO:0030288,18:GO:0030288,,15:GO:0042597
P0AEU7,F,GO:0001530|GO:0042802|GO:0140309,11:GO:0001530,,
P0AEU7,P,GO:0043165,23:GO:0043165,,
P0AEU7,C,GO:0030288,,,24:GO:0030313
P0AF93,F,GO:0120241,,1:GO:0120243,4:GO:0019239
P0AF93,P,GO:0009082,,,
P0AF93,C,GO:0005829,,,
P0AG86,F,GO:0140309,,,
P0AG86,P,GO:0036506|GO:0043952,17:GO:0036506,,2:GO:0015031
P0AG86,C,GO:0005829,,13:GO:0009376,
P0DP26,F,GO:0005246|GO:0005509|GO:0043539,,,
P0DP26,P,GO:0005513|GO:0010880|GO:0097720,4:GO:0005513,,23:GO:1903169
P0DP26,C,GO:0005829,,,
P10361,F,GO:0000981|GO:0001228,,,
P10361,P,GO:0006974|GO:0008285|GO:0031571|GO:0042771|GO:0043065|GO:0072331|GO:0090398,,5:GO:1900143,
P10361,C,GO:0000785|GO:0005634,,,
P10415,F,GO:0016248|GO:0051434,8:GO:0051434,,9:GO:0051400
P10415,P,GO:0043066|GO:1901029,,16:GO:0070244,
P10415,C,GO:0005741,,,
P10417,F,GO:0051400|GO:0051434,8:GO:0051400,9:GO:0051434,8:GO:0051400
P10417,P,GO:0043066|GO:1901029|GO:2001234|GO:2001243,,13:GO:0070244,
P10417,C,GO:0005741|GO:0005789|GO:0097148,,,3:GO:0097136
P10591,F,GO:0140662,,,18:GO:0044183
P10591,P,GO:0006457|GO:0042026,,,
P10591,C,GO:0005829,,,
P12254,F,GO:0016987,16:GO:0016987,,
P12254,P,GO:0006352|GO:0030435,5:GO:0030435,3:GO:0034301,2:GO:0043934
P13801,F,GO:0004190,8:GO:0004190,,17:GO:0070001
P13801,P,GO:0034301,4:GO:0034301,,1:GO:0043934
P13801,C,GO:0005886,,,
P15258,P,GO:0022604|GO:0032005,,,16:GO:0031137
P15258,C,GO:0005783,,,
P15692,F,GO:0005172|GO:0008083|GO:0042056,2:GO:0042056,6:GO:0043183,
P15692,P,GO:0001525|GO:0008284|GO:0030335|GO:0045766|GO:0048010,,10:GO:0060754,
P15692,C,GO:0005576,,,
P16474,F,GO:0015450|GO:0044183|GO:0140662,,,
P16474,P,GO:0006616|GO:0006986|GO:0030968|GO:0031204|GO:0036503|GO:0042026,4:GO:0031204,9:GO:0030968,13:GO:0006986
P16474,C,GO:0005788|GO:0034099|GO:0034663,3:GO:0034663,1:GO:0099021,5:GO:0005788
P17865,F,GO:0003924|GO:0042802,13:GO:0003924,17:GO:1990606,
P17865,P,GO:0043093|GO:0051258,1:GO:0051258,,
P17865,C,GO:0032153,5:GO:0032153,,
P19882,F,GO:0140662,,,
P19882,P,GO:0006457|GO:0042026|GO:0051131,18:GO:0042026,3:GO:0051084,
P19882,C,GO:0005759,7:GO:0005759,,
P19940,F,GO:0016987,23:GO:0016987,,
P19940,P,GO:0006352|GO:0030435,4:GO:0030435,5:GO:0034301,2:GO:0043934
P19940,C,GO:0042601,14:GO:0042601,,1:GO:0042763
P24073,F,GO:0004721|GO:0005515,,,
P24073,P,GO:0006935|GO:0016311|GO:0070298|GO:1902021,2:GO:0006935,4:GO:0071945,
P24073,C,GO:0009433,1:GO:0009433,,15:GO:0009425
P28366,F,GO:0008564,1:GO:0008564,,
P28366,P,GO:0043952,7:GO:0043952,,
P28366,C,GO:0005886|GO:0031522,3:GO:0031522,13:GO:0098590,
P28891,F,GO:0004222|GO:0090729,,,
P28891,P,GO:0035821|GO:0044484,4:GO:0044484,2:GO:0044358,13:GO:0035738
P28891,C,GO:0005576,,,
P31539,F,GO:0051087|GO:0140545,,,
P31539,P,GO:0042026|GO:0043335|GO:0070370,1:GO:0070370,,3:GO:0034605
P31539,C,GO:0005829,,21:GO:0031597,
P31750,F,GO:0004674,,,
P31750,P,GO:0006468,,,
P31750,C,GO:0005829|GO:0005886,,,
P32361,F,GO:0004521|GO:0004674,,8:GO:0004694,
P32361,P,GO:0006397|GO:0030968|GO:0034976|GO:0036498,2:GO:0036498,2:GO:0036498,4:GO:0030968
P32361,C,GO:0005789,,1:GO:1990332,
P32796,F,GO:0004092,1:GO:0004092,,
P34707,F,GO:0000981|GO:0043565,,22:GO:0035497,
P34707,P,GO:0001714|GO:0006979|GO:0008340|GO:0048382|GO:1990748,,,
P35169,F,GO:0004674|GO:0005524|GO:0044877,,,
P37475,F,GO:0004722|GO:0016791|GO:0030145,,,
P37475,P,GO:0006470|GO:0008356|GO:0030435,14:GO:0030435,3:GO:0034301,2:GO:0043934
P37475,C,GO:0005886|GO:0042601,19:GO:0042601,,4:GO:0042763
P39688,F,GO:0004713|GO:0004715,19:GO:0004715,19:GO:0004715,
P39688,P,GO:0018108|GO:0035556|GO:0038026|GO:0050852,4:GO:0018108,13:GO:0038083,
P39688,C,GO:0005829|GO:0005886|GO:0045121,,,
P40396,F,GO:0001216,,,
P40396,P,GO:0030420|GO:0045809,1:GO:0045809,,
P42858,F,GO:0019900|GO:0034452|GO:0045505,,,
P42858,P,GO:0000132|GO:0045724|GO:0047496|GO:1901526|GO:1904504|GO:1905337,,,
P42858,C,GO:0005769|GO:0005770|GO:0005776|GO:0005783|GO:0005814|GO:0005829|GO:0030424|GO:0030425|GO:0031410|GO:0048471,,18:GO:0072559,
P43254,F,GO:0061630,,17:GO:0034450,
P43254,P,GO:0009640|GO:0009647|GO:0010017|GO:0010100|GO:0043161,2:GO:0009640,13:GO:0009585,9:GO:0010099
P43254,C,GO:0005634,,6:GO:0071204,
P46531,F,GO:0003713|GO:0004888|GO:0005509,,,
P46531,P,GO:0007219|GO:0007221|GO:0030154|GO:0045893,,1:GO:0060843,
P46531,C,GO:0002193|GO:0005634|GO:0005886|GO:0009986,,,
P47196,F,GO:0004674,,,
P47196,P,GO:0008286|GO:0043491,,,
P49333,F,GO:0004673|GO:0038199|GO:0051740,1:GO:0038199,,
