accession,aspect,reference_terms,best_exact,best_descendant,best_ancestor
A0A061AL94,F,GO:0003678,,,
A0A061AL94,P,GO:0006260|GO:0006270,,,
A0A061AL94,C,GO:0005634|GO:0042555,,10:GO:0005673,
A0A1S3BTE3,F,GO:0004707,1:GO:0004707,2:GO:0004705,
A0A1S3BTE3,P,GO:0000165,,8:GO:0007258,16:GO:0035556
A0A1S3Y076,F,GO:0004526,,,20:GO:0004549
A0A1S3Y076,P,GO:0001682,,,
A0A2G9RZF1,F,GO:0003674,,1:GO:0005042,
A0A2G9RZF1,C,GO:0005576,,5:GO:0031395,
A0A2I0M3K7,F,GO:0160148,,,
A0A2I0M3K7,P,GO:0070902,,,
A0A2I0M3K7,C,GO:0005759,,,
A0A2I4G8T1,F,GO:0035251,,1:GO:0050403,
A0A2K5UJ34,F,GO:0030674,,,
A0A2K5UJ34,P,GO:0060271,10:GO:0060271,,18:GO:0044782
A0A2K5UJ34,C,GO:0005929,16:GO:0005929,3:GO:0036038,
A0A2R9CAF4,F,GO:0005254|GO:0008271,1:GO:0008271,11:GO:0015383,2:GO:0015116
A0A2R9CAF4,P,GO:1902358|GO:1902476,5:GO:1902358,15:GO:1902434,18:GO:0098656
A0A2R9CAF4,C,GO:0005765,,,
A0A2U1PS28,F,GO:0003924|GO:0005525|GO:0043022,,7:GO:0097177,
A0A2U1PS28,P,GO:0006412,,1:GO:0032544,
A0A2U1PS28,C,GO:0009507|GO:0009570,13:GO:0009570,2:GO:0043253,14:GO:0009532
A0A3B6GK97,F,GO:0052689,,5:GO:0050185,
A0A3B6GK97,P,GO:0006629,,,
A0A3B6NKR6,F,GO:0047940,1:GO:0047940,,
A0A3B6NKR6,P,GO:0006065,,,
A0A3B6NKR6,C,GO:0005829,,,
A0A3B6RKV1,F,GO:0032452,8:GO:0032452,1:GO:0071558,
A0A3B6RKV1,P,GO:0040029,,,
A0A3B6RKV1,C,GO:0005634,,,
A0A444Z7V7,F,GO:0051753,9:GO:0051753,,
A0A444Z7V7,P,GO:0071555,,2:GO:0052324,
A0A444Z7V7,C,GO:0000139,23:GO:0000139,,
A0A4W3GVU1,F,GO:0003729,,21:GO:1990715,
A0A4W3GVU1,P,GO:0048024,4:GO:0048024,6:GO:0000381,2:GO:0043484
A0A4W3GVU1,C,GO:0005634,,,
A0A674PKV4,P,GO:0048268|GO:0048812|GO:0072583,,,
A0A674PKV4,C,GO:0005886|GO:0005905,,15:GO:0097204,
A0A6I8TLE4,F,GO:0005096,,,
A0A6I8TLE4,P,GO:0007265|GO:0046580,5:GO:0046580,,7:GO:0046578
A0A6I8TLE4,C,GO:0005829|GO:0005886,,,
A0A6I8W8A2,F,GO:0003674,,1:GO:0042806,
A0A6I8W8A2,C,GO:0005737,,4:GO:0001535,
A0A804UIX9,F,GO:0003674,,4:GO:0047396,
A0A804UIX9,C,GO:0016020,,12:GO:0043661,
A0A8B6BFL6,F,GO:0003964,2:GO:0003964,6:GO:0003720,
A0A8B6BFL6,P,GO:0006310|GO:0015074|GO:0032197,5:GO:0015074,,
A0A8B6BFL6,C,GO:0005634|GO:0005737,,7:GO:0031380,
A0A8B6GS20,F,GO:0019903,,,
A0A8B6GS20,P,GO:0060304,,,
A0A8B6GS20,C,GO:0005737,,20:GO:0044841,
A0A8B8L1Z3,F,GO:0044183,,,
A0A8B8L1Z3,P,GO:0006457,,,
A0A8B8L1Z3,C,GO:0005737,,3:GO:0030314,
A0A8B8WEG2,F,GO:0004693,5:GO:0004693,,4:GO:0097472
A0A8B8WEG2,P,GO:0010506|GO:0051726,,8:GO:1902749,
A0A8B8WEG2,C,GO:0005737,,3:GO:0000308,
A0A8C2TBA7,F,GO:0004504|GO:0004598,1:GO:0004504,,
A0A8C2TBA7,P,GO:0001519,5:GO:0001519,,6:GO:0006518
A0A8C2TBA7,C,GO:0030667,,,
A0A8C5FPT8,F,GO:0031267,,,
A0A8C5FPT8,P,GO:0016192,,1:GO:0071955,
A0A8C5FPT8,C,GO:0031410,,11:GO:0055037,
A0A8C9H4D2,F,GO:0005201,,11:GO:0030197,
