accession	subsection	rank	protrek_score	cosine	text
D0VXF2	GO_annotation	1	17.6642	0.329909	The GO term for this protein involving molecular function incorporates dihydrofolate reductase activity.
D0VXF2	GO_annotation	2	17.4761	0.326396	The GO term for this protein involving biological process incorporates glycine biosynthetic process.
D0VXF2	GO_annotation	3	16.0959	0.300619	The GO term for this protein involving biological process incorporates response to methotrexate.
D0VXF2	GO_annotation	4	15.1555	0.283055	The GO term for this protein involving molecular function incorporates methotrexate binding.
D0VXF2	GO_annotation	5	15.1253	0.282492	The GO term for this protein involving biological process incorporates tetrahydrofolate biosynthetic process.
D0VXF2	GO_annotation	6	14.5972	0.272629	The GO term for this protein involving biological process incorporates dihydrofolate metabolic process.
D0VXF2	GO_annotation	7	13.8556	0.258778	The GO term for this protein involving molecular function incorporates folate reductase activity.
D0VXF2	GO_annotation	8	13.7174	0.256196	The GO term for this protein involving biological process incorporates one-carbon metabolic process.
D0VXF2	GO_annotation	9	12.5103	0.233652	The GO term for this protein involving biological process incorporates 10-formyltetrahydrofolate biosynthetic process.
D0VXF2	GO_annotation	10	12.3562	0.230773	The GO term for this protein involving biological process incorporates folic acid metabolic process.
D0VXF2	GO_annotation	11	12.2563	0.228907	The GO term for this protein involving biological process incorporates cellular response to tetrahydrofolate.
D0VXF2	GO_annotation	12	11.8220	0.220796	The GO term for this protein involving biological process incorporates tetrahydrofolate metabolic process.
D0VXF2	GO_annotation	13	11.5982	0.216617	The GO term for this protein involving biological process incorporates methotrexate transport.
D0VXF2	GO_annotation	14	11.1968	0.209119	The GO term for this protein involving molecular function incorporates methotrexate transmembrane transporter activity.
D0VXF2	GO_annotation	15	11.1305	0.207882	The GO term for this protein involving biological process incorporates folic acid-containing compound metabolic process.
D0VXF2	GO_annotation	16	11.0413	0.206215	The GO term for this protein involving biological process incorporates glycine betaine biosynthetic process from glycine.
D0VXF2	GO_annotation	17	11.0190	0.205799	The GO term for this protein involving biological process incorporates S-methylmethionine cycle.
D0VXF2	GO_annotation	18	10.9669	0.204827	The GO term for this protein involving biological process incorporates 10-formyltetrahydrofolate metabolic process.
D0VXF2	GO_annotation	19	10.8521	0.202681	The GO term for this protein involving biological process incorporates S-methylmethionine metabolic process.
D0VXF2	GO_annotation	20	10.8116	0.201926	The GO term for this protein involving biological process incorporates 10-formyltetrahydrofolate catabolic process.
D0VXF2	GO_annotation	21	10.6819	0.199503	The GO term for this protein involving biological process incorporates S-adenosylmethionine cycle.
D0VXF2	GO_annotation	22	10.6458	0.198828	The GO term for this protein involving biological process incorporates pteridine-containing compound metabolic process.
D0VXF2	GO_annotation	23	10.6455	0.198824	The GO term for this protein involving biological process incorporates pteridine metabolic process.
D0VXF2	GO_annotation	24	10.4027	0.194288	The GO term for this protein involving biological process incorporates pteridine-containing compound biosynthetic process.
D0VXF2	GO_annotation	25	10.3984	0.194208	The GO term for this protein involving molecular function incorporates folic acid receptor activity.
P28891	GO_annotation	1	17.3969	0.324919	The GO term for this protein involving biological process incorporates envenomation resulting in blood vessel extracellular matrix damage, causing hemorrhagic damage in another organism.
P28891	GO_annotation	2	16.2278	0.303083	The GO term for this protein involving biological process incorporates envenomation resulting in hemorrhagic damage in another organism.
P28891	GO_annotation	3	15.9660	0.298193	The GO term for this protein involving biological process incorporates envenomation resulting in fibrinogenolysis in another organism.
P28891	GO_annotation	4	14.6227	0.273104	The GO term for this protein involving biological process incorporates envenomation resulting in fibrinolysis in another organism.
P28891	GO_annotation	5	14.2553	0.266242	The GO term for this protein involving biological process incorporates envenomation resulting in positive regulation of platelet aggregation in another organism.
P28891	GO_annotation	6	14.2506	0.266155	The GO term for this protein involving biological process incorporates envenomation resulting in negative regulation of platelet aggregation in another organism.
P28891	GO_annotation	7	14.0578	0.262555	The GO term for this protein involving biological process incorporates negative regulation of platelet aggregation in another organism.
P28891	GO_annotation	8	13.7674	0.257131	The GO term for this protein involving biological process incorporates envenomation resulting in modulation of blood coagulation in another organism.
P28891	GO_annotation	9	13.7047	0.255959	The GO term for this protein involving biological process incorporates positive regulation of platelet aggregation in another organism.
