accession,rank,protrek_score,aspect,pred_label,pred_id,label_resolution,match_category,goa_match,goa_match_label,n_goa_terms
D0VXF2,1,17.6642,F,dihydrofolate reductase activity,GO:0004146,exact_label,EXACT,GO:0004146,dihydrofolate reductase activity,7
D0VXF2,2,17.4761,P,glycine biosynthetic process,GO:0006545,exact_label,NO_OVERLAP,,,7
D0VXF2,3,16.0959,P,response to methotrexate,GO:0031427,exact_label,NO_OVERLAP,,,7
D0VXF2,4,15.1555,F,methotrexate binding,GO:0051870,exact_label,NO_OVERLAP,,,7
D0VXF2,5,15.1253,P,tetrahydrofolate biosynthetic process,GO:0046654,exact_label,EXACT,GO:0046654,tetrahydrofolate biosynthetic process,7
P28891,1,17.3969,P,"envenomation resulting in blood vessel extracellular matrix damage, causing hemorrhagic damage in another organism",GO:0044482,obsolete_in_go,OBSOLETE_TERM,,,10
P28891,2,16.2278,P,envenomation resulting in hemorrhagic damage in another organism,GO:0044358,exact_label,MORE_SPECIFIC,GO:0035821,modulation of process of another organism,10
P28891,3,15.966,P,envenomation resulting in fibrinogenolysis in another organism,GO:0044485,exact_label,MORE_SPECIFIC,GO:0035821,modulation of process of another organism,10
P28891,4,14.6227,P,envenomation resulting in fibrinolysis in another organism,GO:0044484,exact_label,MORE_SPECIFIC,GO:0035821,modulation of process of another organism,10
P28891,5,14.2553,P,envenomation resulting in positive regulation of platelet aggregation in another organism,GO:0044478,exact_label,MORE_SPECIFIC,GO:0035821,modulation of process of another organism,10
F5HMW5,1,19.448,F,peptidoglycan immune receptor activity,GO:0016019,exact_label,EXACT,GO:0016019,peptidoglycan immune receptor activity,10
F5HMW5,2,16.8877,P,negative regulation of peptidoglycan recognition protein signaling pathway,GO:0061060,exact_label,NO_OVERLAP,,,10
F5HMW5,3,16.6545,P,positive regulation of peptidoglycan recognition protein signaling pathway,GO:0061059,exact_label,NO_OVERLAP,,,10
F5HMW5,4,16.5383,P,detection of peptidoglycan,GO:0032499,exact_label,NO_OVERLAP,,,10
F5HMW5,5,16.2564,P,peptidoglycan recognition protein signaling pathway,GO:0061057,exact_label,MORE_SPECIFIC,GO:0002376,immune system process,10
O22476,1,17.3679,P,detection of brassinosteroid stimulus,GO:0009729,exact_label,EXACT,GO:0009729,detection of brassinosteroid stimulus,36
O22476,2,16.5949,P,maintenance of meristem identity,GO:0010074,exact_label,NO_OVERLAP,,,36
O22476,3,16.5731,P,negative regulation of defense response to oomycetes,GO:1902289,exact_label,NO_OVERLAP,,,36
O22476,4,16.5278,P,brassinosteroid mediated signaling pathway,GO:0009742,exact_label,EXACT,GO:0009742,brassinosteroid mediated signaling pathway,36
O22476,5,16.5236,P,regulation of plant organ morphogenesis,GO:1905421,exact_label,NO_OVERLAP,,,36
P43254,1,16.0667,P,positive regulation of photomorphogenesis,GO:2000306,exact_label,NO_OVERLAP,,,26
P43254,2,15.9842,P,photomorphogenesis,GO:0009640,exact_label,EXACT,GO:0009640,photomorphogenesis,26
P43254,3,15.7521,C,Cul4B-RING E3 ubiquitin ligase complex,GO:0031465,exact_label,MORE_SPECIFIC,GO:0080008,Cul4-RING E3 ubiquitin ligase complex,26
P43254,4,15.6448,P,anthocyanin accumulation in tissues in response to UV light,GO:0043481,exact_label,NO_OVERLAP,,,26
P43254,5,15.5994,P,negative regulation of photomorphogenesis,GO:0010100,exact_label,NO_OVERLAP,,,26
P49333,1,19.5852,F,ethylene receptor activity,GO:0038199,exact_label,EXACT,GO:0038199,ethylene receptor activity,40
P49333,2,19.5605,F,ethylene binding,GO:0051740,exact_label,EXACT,GO:0051740,ethylene binding,40
P49333,3,18.631,P,detection of ethylene stimulus,GO:0009727,exact_label,EXACT,GO:0009727,detection of ethylene stimulus,40
P49333,4,18.4838,P,negative regulation of ethylene-activated signaling pathway,GO:0010105,exact_label,EXACT,GO:0010105,negative regulation of ethylene-activated signaling pathway,40
P49333,5,18.2898,P,regulation of ethylene-activated signaling pathway,GO:0010104,exact_label,LESS_SPECIFIC,GO:0010105,negative regulation of ethylene-activated signaling pathway,40
P00691,1,18.3166,F,alpha-amylase activity,GO:0004556,exact_label,EXACT,GO:0004556,alpha-amylase activity,8
P00691,2,17.7155,F,"glucan 1,4-alpha-maltotriohydrolase activity",GO:0033934,exact_label,MORE_SPECIFIC,GO:0003824,catalytic activity,8
P00691,3,17.6136,F,neopullulanase activity,GO:0031216,exact_label,MORE_SPECIFIC,GO:0003824,catalytic activity,8
P00691,4,17.5052,F,amylase activity,GO:0016160,exact_label,LESS_SPECIFIC,GO:0004556,alpha-amylase activity,8
P00691,5,17.4807,F,"glucan 1,4-alpha-maltotetraohydrolase activity",GO:0033910,exact_label,MORE_SPECIFIC,GO:0003824,catalytic activity,8
P04189,1,13.3714,F,fibrinogen binding,GO:0070051,exact_label,NO_OVERLAP,,,11
P04189,2,13.29,P,envenomation resulting in fibrinogenolysis in another organism,GO:0044485,exact_label,NO_OVERLAP,,,11
P04189,3,13.1204,P,"envenomation resulting in blood vessel extracellular matrix damage, causing hemorrhagic damage in another organism",GO:0044482,obsolete_in_go,OBSOLETE_TERM,,,11
P04189,4,12.9743,P,zymogen inhibition,GO:0097341,exact_label,NO_OVERLAP,,,11
P04189,5,12.9627,C,serine-type endopeptidase complex,GO:1905370,exact_label,NO_OVERLAP,,,11
P40396,1,19.9546,P,positive regulation of establishment of competence for transformation,GO:0045809,exact_label,NO_OVERLAP,,,3
