accession	subsection	rank	protrek_score	cosine	text
P00441	GO_annotation	1	16.3285	0.304964	The GO term for this protein involving biological process incorporates transmission of nerve impulse.
P00441	GO_annotation	2	16.1635	0.301882	The GO term for this protein involving biological process incorporates relaxation of vascular associated smooth muscle.
P00441	GO_annotation	3	16.0324	0.299432	The GO term for this protein involving biological process incorporates superoxide metabolic process.
P00441	GO_annotation	4	15.9489	0.297874	The GO term for this protein involving biological process incorporates regulation of protein kinase activity.
P00441	GO_annotation	5	15.8135	0.295345	The GO term for this protein involving biological process incorporates auditory receptor cell stereocilium organization.
P36969	GO_annotation	1	18.0508	0.337130	The GO term for this protein involving molecular function incorporates glutathione peroxidase activity.
P36969	GO_annotation	2	17.9359	0.334985	The GO term for this protein involving molecular function incorporates phospholipid-hydroperoxide glutathione peroxidase activity.
P36969	GO_annotation	3	14.8368	0.277104	The GO term for this protein involving molecular function incorporates peroxidase activity.
P36969	GO_annotation	4	14.8088	0.276581	The GO term for this protein involving biological process incorporates response to reactive oxygen species.
P36969	GO_annotation	5	14.6160	0.272980	The GO term for this protein involving molecular function incorporates fatty acid peroxidase activity.
P04637	GO_annotation	1	16.0465	0.299696	The GO term for this protein involving biological process incorporates oligodendrocyte apoptotic process.
P04637	GO_annotation	2	16.0237	0.299270	The GO term for this protein involving biological process incorporates positive regulation of thymocyte apoptotic process.
P04637	GO_annotation	3	16.0116	0.299045	The GO term for this protein involving biological process incorporates positive regulation of oligodendrocyte apoptotic process.
P04637	GO_annotation	4	15.6811	0.292871	The GO term for this protein involving biological process incorporates thymocyte apoptotic process.
P04637	GO_annotation	5	15.5706	0.290809	The GO term for this protein involving biological process incorporates regulation of thymocyte apoptotic process.
P0A6Y8	GO_annotation	1	11.9440	0.223076	The GO term for this protein involving molecular function incorporates ATP-dependent protein folding chaperone.
P0A6Y8	GO_annotation	2	11.4421	0.213701	The GO term for this protein involving molecular function incorporates unfolded protein binding.
P0A6Y8	GO_annotation	3	10.7289	0.200382	The GO term for this protein involving molecular function incorporates heat shock protein binding.
P0A6Y8	GO_annotation	4	10.5680	0.197375	The GO term for this protein involving molecular function incorporates protein folding chaperone.
P0A6Y8	GO_annotation	5	10.5406	0.196864	The GO term for this protein involving cellular component incorporates efflux pump complex.
P0A6F5	GO_annotation	1	14.8611	0.277557	The GO term for this protein involving cellular component incorporates GroEL-GroES complex.
P0A6F5	GO_annotation	2	12.9667	0.242176	The GO term for this protein involving biological process incorporates protein refolding.
P0A6F5	GO_annotation	3	12.5207	0.233847	The GO term for this protein involving molecular function incorporates ATP-dependent protein folding chaperone.
P0A6F5	GO_annotation	4	12.2613	0.229002	The GO term for this protein involving molecular function incorporates isomerase activity.
P0A6F5	GO_annotation	5	12.0634	0.225306	The GO term for this protein involving molecular function incorporates unfolded protein binding.
P00441	Function	1	14.5014	0.270840	Destroys radicals which are normally produced within the cells and which are toxic to biological systems. May play a role in the interactive biology of organisms with their hosts and so contribute to their capacity to cause disease
