# UniProt accessions for MCH2 comparative panel
# accession<TAB>label
# --- target ---
P36032	MCH2_YEAST
# --- yeast MCH paralogs ---
Q07376	MCH1_YEAST
P53918	MCH3_ESBP6_YEAST
Q08268	MCH4_YEAST
Q08777	MCH5_YEAST
# --- yeast monocarboxylate transporter (functional reference, JEN1) ---
P36035	JEN1_YEAST
# --- human SLC16 / MCT family ---
P53985	SLC16A1_MCT1_HUMAN
O60669	SLC16A7_MCT2_HUMAN
O15427	SLC16A3_MCT4_HUMAN
O15374	SLC16A4_MCT5_HUMAN
O15375	SLC16A5_MCT6_HUMAN
O15403	SLC16A6_MCT7_HUMAN
O95907	SLC16A8_MCT3_HUMAN
P36021	SLC16A2_MCT8_HUMAN
Q7RTY1	SLC16A9_MCT9_HUMAN
Q8TF71	SLC16A10_MCT10_TAT1_HUMAN
Q8NCK7	SLC16A11_MCT11_HUMAN
Q6ZSM3	SLC16A12_MCT12_HUMAN
Q7RTY0	SLC16A13_MCT13_HUMAN
Q7RTX9	SLC16A14_MCT14_HUMAN
