mouse_row_number	mouse_gene_product_id	qualifier	go_id	go_name	mouse_reference	source_entity	source_match_count	source_evidence_codes	source_references	source_assigned_by	source_status	mouse_non_iso_same_term_codes	mouse_non_iso_same_term_refs
18	UniProtKB:Q64438	is_active_in	GO:0005615	extracellular space	GO_REF:0000119	UniProtKB:P03950	6	IBA|IDA	GO_REF:0000033|PMID:16461950|PMID:16490744|PMID:23047679|PMID:29748193|PMID:3663649	GO_Central|UniProt	DIRECT_EXPERIMENTAL_SOURCE	IBA	GO_REF:0000033
19	UniProtKB:Q64438	involved_in	GO:0001525	angiogenesis	GO_REF:0000119	UniProtKB:P03950	7	IBA|IDA|IMP|TAS	GO_REF:0000033|PMID:16567967|PMID:17125737|PMID:2479414|PMID:3470787|PMID:4074709|PMID:8448182	GO_Central|MGI|UniProt	DIRECT_EXPERIMENTAL_SOURCE	IBA	GO_REF:0000033
20	UniProtKB:Q64438	involved_in	GO:0001666	response to hypoxia	GO_REF:0000119	UniProtKB:P03950	4	IDA|NAS	PMID:10999833|PMID:15776477|PMID:15979542|PMID:16490744	UniProt	DIRECT_EXPERIMENTAL_SOURCE		
21	UniProtKB:Q64438	involved_in	GO:0001878	response to yeast	GO_REF:0000119	UniProtKB:P03950	0				NO_CURRENT_SOURCE_TERM		
22	UniProtKB:Q64438	involved_in	GO:0001938	positive regulation of endothelial cell proliferation	GO_REF:0000119	UniProtKB:P03950	2	IDA	PMID:9122172|PMID:9707554	UniProt	DIRECT_EXPERIMENTAL_SOURCE		
23	UniProtKB:Q64438	acts_upstream_of_or_within	GO:0002181	cytoplasmic translation	GO_REF:0000119	UniProtKB:P03950	0				NO_CURRENT_SOURCE_TERM		
24	UniProtKB:Q64438	enables	GO:0003779	actin binding	GO_REF:0000119	UniProtKB:P03950	2	IDA	PMID:11782452|PMID:7679494	UniProt	DIRECT_EXPERIMENTAL_SOURCE		
25	UniProtKB:Q64438	enables	GO:0004540	RNA nuclease activity	GO_REF:0000119	UniProtKB:P03950	13	IBA|IDA|IEA	GO_REF:0000033|GO_REF:0000117|PMID:11919285|PMID:23047679|PMID:2424496|PMID:2459697|PMID:2730651|PMID:3122207|PMID:3289612|PMID:3470787|PMID:8159680|PMID:8570639|PMID:8622921	GO_Central|UniProt	DIRECT_EXPERIMENTAL_SOURCE	IBA|IDA|IEA	GO_REF:0000033|GO_REF:0000117|PMID:23170778
26	UniProtKB:Q64438	enables	GO:0004549	tRNA-specific ribonuclease activity	GO_REF:0000119	UniProtKB:P03950	15	IDA	PMID:19332886|PMID:20129916|PMID:21855800|PMID:27518564|PMID:29100074|PMID:29748193|PMID:31582561|PMID:32510170|PMID:38718836	UniProt	DIRECT_EXPERIMENTAL_SOURCE		
27	UniProtKB:Q64438	enables	GO:0005102	signaling receptor binding	GO_REF:0000119	UniProtKB:P03950	1	IDA	PMID:9122172	UniProt	DIRECT_EXPERIMENTAL_SOURCE		
28	UniProtKB:Q64438	enables	GO:0005507	copper ion binding	GO_REF:0000119	UniProtKB:P03950	1	IDA	PMID:9245697	UniProt	DIRECT_EXPERIMENTAL_SOURCE		
29	UniProtKB:Q64438	located_in	GO:0005604	basement membrane	GO_REF:0000119	UniProtKB:P03950	1	IDA	PMID:15166501	UniProt	DIRECT_EXPERIMENTAL_SOURCE		
30	UniProtKB:Q64438	located_in	GO:0005615	extracellular space	GO_REF:0000119	UniProtKB:P03950	6	IBA|IDA	GO_REF:0000033|PMID:16461950|PMID:16490744|PMID:23047679|PMID:29748193|PMID:3663649	GO_Central|UniProt	DIRECT_EXPERIMENTAL_SOURCE	IBA	GO_REF:0000033
31	UniProtKB:Q64438	is_active_in	GO:0005634	nucleus	GO_REF:0000119	UniProtKB:P03950	6	IDA|IEA	GO_REF:0000044|PMID:10649442|PMID:15735021|PMID:23047679|PMID:23843625|PMID:25372031	UniProt	DIRECT_EXPERIMENTAL_SOURCE		
32	UniProtKB:Q64438	located_in	GO:0005634	nucleus	GO_REF:0000119	UniProtKB:P03950	6	IDA|IEA	GO_REF:0000044|PMID:10649442|PMID:15735021|PMID:23047679|PMID:23843625|PMID:25372031	UniProt	DIRECT_EXPERIMENTAL_SOURCE		
33	UniProtKB:Q64438	located_in	GO:0005694	chromosome	GO_REF:0000119	UniProtKB:P03950	0				NO_CURRENT_SOURCE_TERM		
34	UniProtKB:Q64438	located_in	GO:0005730	nucleolus	GO_REF:0000119	UniProtKB:P03950	3	IDA|IEA|ISS	GO_REF:0000024|GO_REF:0000044|GO_REF:0000052	HPA|UniProt	DIRECT_EXPERIMENTAL_SOURCE	IEA	GO_REF:0000044
35	UniProtKB:Q64438	is_active_in	GO:0005737	cytoplasm	GO_REF:0000119	UniProtKB:P03950	2	IDA	PMID:23047679|PMID:23843625	UniProt	DIRECT_EXPERIMENTAL_SOURCE		
36	UniProtKB:Q64438	acts_upstream_of_or_within	GO:0006898	receptor-mediated endocytosis	GO_REF:0000119	UniProtKB:P03950	0				NO_CURRENT_SOURCE_TERM		
37	UniProtKB:Q64438	involved_in	GO:0007165	signal transduction	GO_REF:0000119	UniProtKB:P03950	1	IDA	PMID:29100074	UniProt	DIRECT_EXPERIMENTAL_SOURCE		
38	UniProtKB:Q64438	enables	GO:0008201	heparin binding	GO_REF:0000119	UniProtKB:P03950	1	IDA	PMID:10103013	UniProt	DIRECT_EXPERIMENTAL_SOURCE		
39	UniProtKB:Q64438	involved_in	GO:0009303	rRNA transcription	GO_REF:0000119	UniProtKB:P03950	4	IDA|IMP	PMID:15735021|PMID:27518564|PMID:29100074|PMID:32510170	UniProt	DIRECT_EXPERIMENTAL_SOURCE		
40	UniProtKB:Q64438	involved_in	GO:0009725	response to hormone	GO_REF:0000119	UniProtKB:P03950	1	IDA	PMID:10999833	UniProt	DIRECT_EXPERIMENTAL_SOURCE		
41	UniProtKB:Q64438	located_in	GO:0010494	cytoplasmic stress granule	GO_REF:0000119	UniProtKB:P03950	3	IDA|IEA	GO_REF:0000044|PMID:27518564|PMID:29100074	UniProt	DIRECT_EXPERIMENTAL_SOURCE		
42	UniProtKB:Q64438	located_in	GO:0015629	actin cytoskeleton	GO_REF:0000119	UniProtKB:P03950	0				NO_CURRENT_SOURCE_TERM		
43	UniProtKB:Q64438	involved_in	GO:0016477	cell migration	GO_REF:0000119	UniProtKB:P03950	1	IMP	PMID:17125737	UniProt	DIRECT_EXPERIMENTAL_SOURCE		
44	UniProtKB:Q64438	involved_in	GO:0019731	antibacterial humoral response	GO_REF:0000119	UniProtKB:P03950	1	IBA	GO_REF:0000033	GO_Central	INFERRED_SOURCE_ONLY	IBA	GO_REF:0000033
45	UniProtKB:Q64438	involved_in	GO:0019732	antifungal humoral response	GO_REF:0000119	UniProtKB:P03950	0				NO_CURRENT_SOURCE_TERM		
46	UniProtKB:Q64438	involved_in	GO:0023052	signaling	GO_REF:0000119	UniProtKB:P03950	1	IDA	PMID:2457905	UniProt	DIRECT_EXPERIMENTAL_SOURCE		
47	UniProtKB:Q64438	located_in	GO:0030139	endocytic vesicle	GO_REF:0000119	UniProtKB:P03950	1	IDA	PMID:29748193	UniProt	DIRECT_EXPERIMENTAL_SOURCE		
48	UniProtKB:Q64438	involved_in	GO:0032055	negative regulation of translation in response to stress	GO_REF:0000119	UniProtKB:P03950	8	IDA	PMID:19332886|PMID:20129916|PMID:21855800|PMID:27518564|PMID:29100074|PMID:31582561|PMID:32510170|PMID:38718836	UniProt	DIRECT_EXPERIMENTAL_SOURCE		
49	UniProtKB:Q64438	part_of	GO:0032311	angiogenin-PRI complex	GO_REF:0000119	UniProtKB:P03950	2	IDA|IPI	PMID:3470787	MGI|UniProt	DIRECT_EXPERIMENTAL_SOURCE		
50	UniProtKB:Q64438	acts_upstream_of_or_within	GO:0033554	cellular response to stress	GO_REF:0000119	UniProtKB:P03950	0				NO_CURRENT_SOURCE_TERM		
51	UniProtKB:Q64438	involved_in	GO:0034063	stress granule assembly	GO_REF:0000119	UniProtKB:P03950	2	IDA	PMID:20129916|PMID:23047679	UniProt	DIRECT_EXPERIMENTAL_SOURCE		
52	UniProtKB:Q64438	acts_upstream_of_or_within	GO:0036416	tRNA stabilization	GO_REF:0000119	UniProtKB:P03950	0				NO_CURRENT_SOURCE_TERM		
53	UniProtKB:Q64438	enables	GO:0042277	peptide binding	GO_REF:0000119	UniProtKB:P03950	1	IDA	PMID:11782452	UniProt	DIRECT_EXPERIMENTAL_SOURCE		
54	UniProtKB:Q64438	involved_in	GO:0042327	positive regulation of phosphorylation	GO_REF:0000119	UniProtKB:P03950	1	IDA	PMID:17125737	UniProt	DIRECT_EXPERIMENTAL_SOURCE		
55	UniProtKB:Q64438	enables	GO:0042803	protein homodimerization activity	GO_REF:0000119	UniProtKB:P03950	1	IDA	PMID:25372031	UniProt	DIRECT_EXPERIMENTAL_SOURCE		
