go_id	go_label	evidence	reference	identifier	resolution
GO:0005179	hormone activity	IEA	GO_REF:0000002	InterPro:IPR026155	IPR026155 'Apelin' type=family proteins=345
GO:0005576	extracellular region	IBA	GO_REF:0000033	PANTHER:PTN001041490	PTHR15953 node PTN001041490 IBD GO:0005576 (aspect C, negated=false, taxon taxon:32523) seeds=RGD:620672|UniProtKB:Q9TUI9|UniProtKB:Q9ULZ1
GO:0005576	extracellular region	IBA	GO_REF:0000033	RGD:620672	[1 hit(s)] Q9R0R3 (APEL_RAT) Apln | Apelin | Rattus norvegicus | Swiss-Prot
GO:0005576	extracellular region	IBA	GO_REF:0000033	UniProtKB:Q9TUI9	Q9TUI9 (APEL_BOVIN) APLN | Apelin | Bos taurus | Swiss-Prot
GO:0005576	extracellular region	IBA	GO_REF:0000033	UniProtKB:Q9ULZ1	Q9ULZ1 (APEL_HUMAN) APLN | Apelin | Homo sapiens | Swiss-Prot
GO:0005576	extracellular region	IEA	GO_REF:0000044	UniProtKB-SubCell:SL-0112	SL-0112 'Extracellular space' category=Cellular component
GO:0005576	extracellular region	IEA	GO_REF:0000044	UniProtKB-SubCell:SL-0243	SL-0243 'Secreted' category=Cellular component
GO:0005576	extracellular region	ISS	GO_REF:0000024	UniProtKB:Q9TUI9	Q9TUI9 (APEL_BOVIN) APLN | Apelin | Bos taurus | Swiss-Prot
GO:0007165	signal transduction	IEA	GO_REF:0000002	InterPro:IPR026155	IPR026155 'Apelin' type=family proteins=345
GO:0010629	negative regulation of gene expression	IGI	PMID:23263626	RNAcentral:URS00000F0F49_9606	URS00000F0F49_9606 miRNA len=22 'Homo sapiens (human) hsa-miR-424-5p'
GO:0010629	negative regulation of gene expression	IGI	PMID:23263626	RNAcentral:URS00000F6E49_9606	URS00000F6E49_9606 miRNA len=23 'Homo sapiens (human) hsa-miR-503-5p'
GO:0031704	apelin receptor binding	IEA	GO_REF:0000120	UniProtKB:Q9R0R3	Q9R0R3 (APEL_RAT) Apln | Apelin | Rattus norvegicus | Swiss-Prot
GO:0031704	apelin receptor binding	IEA	GO_REF:0000120	ensembl:ENSRNOP00000100018	[1 hit(s)] Q9R0R3 (APEL_RAT) Apln | Apelin | Rattus norvegicus | Swiss-Prot
GO:0031704	apelin receptor binding	IEA	GO_REF:0000120	InterPro:IPR026155	IPR026155 'Apelin' type=family proteins=345
GO:0040037	negative regulation of fibroblast growth factor receptor signaling pathway	IGI	PMID:23263626	RNAcentral:URS00000F0F49_9606	URS00000F0F49_9606 miRNA len=22 'Homo sapiens (human) hsa-miR-424-5p'
GO:0040037	negative regulation of fibroblast growth factor receptor signaling pathway	IGI	PMID:23263626	RNAcentral:URS00000F6E49_9606	URS00000F6E49_9606 miRNA len=23 'Homo sapiens (human) hsa-miR-503-5p'
GO:0042756	drinking behavior	IEA	GO_REF:0000107	UniProtKB:Q9R0R3	Q9R0R3 (APEL_RAT) Apln | Apelin | Rattus norvegicus | Swiss-Prot
GO:0042756	drinking behavior	IEA	GO_REF:0000107	ensembl:ENSRNOP00000100018	[1 hit(s)] Q9R0R3 (APEL_RAT) Apln | Apelin | Rattus norvegicus | Swiss-Prot
GO:0042756	drinking behavior	ISS	GO_REF:0000024	UniProtKB:Q9R0R3	Q9R0R3 (APEL_RAT) Apln | Apelin | Rattus norvegicus | Swiss-Prot
GO:0045776	negative regulation of blood pressure	IEA	GO_REF:0000107	UniProtKB:Q9R0R3	Q9R0R3 (APEL_RAT) Apln | Apelin | Rattus norvegicus | Swiss-Prot
GO:0045776	negative regulation of blood pressure	IEA	GO_REF:0000107	ensembl:ENSRNOP00000100018	[1 hit(s)] Q9R0R3 (APEL_RAT) Apln | Apelin | Rattus norvegicus | Swiss-Prot
GO:0045776	negative regulation of blood pressure	ISS	GO_REF:0000024	UniProtKB:Q9R0R3	Q9R0R3 (APEL_RAT) Apln | Apelin | Rattus norvegicus | Swiss-Prot
GO:0045823	positive regulation of heart contraction	IEA	GO_REF:0000107	UniProtKB:Q9R0R3	Q9R0R3 (APEL_RAT) Apln | Apelin | Rattus norvegicus | Swiss-Prot
GO:0045823	positive regulation of heart contraction	IEA	GO_REF:0000107	ensembl:ENSRNOP00000100018	[1 hit(s)] Q9R0R3 (APEL_RAT) Apln | Apelin | Rattus norvegicus | Swiss-Prot
GO:0045823	positive regulation of heart contraction	ISS	GO_REF:0000024	UniProtKB:Q9R0R3	Q9R0R3 (APEL_RAT) Apln | Apelin | Rattus norvegicus | Swiss-Prot
GO:0060183	apelin receptor signaling pathway	IEA	GO_REF:0000120	UniProtKB:Q9R0R3	Q9R0R3 (APEL_RAT) Apln | Apelin | Rattus norvegicus | Swiss-Prot
GO:0060183	apelin receptor signaling pathway	IEA	GO_REF:0000120	ensembl:ENSRNOP00000100018	[1 hit(s)] Q9R0R3 (APEL_RAT) Apln | Apelin | Rattus norvegicus | Swiss-Prot
GO:0060183	apelin receptor signaling pathway	IEA	GO_REF:0000120	UniProtKB:Q9R0R4	Q9R0R4 (APEL_MOUSE) Apln | Apelin | Mus musculus | Swiss-Prot
GO:0060183	apelin receptor signaling pathway	IEA	GO_REF:0000120	ensembl:ENSMUSP00000046012	[1 hit(s)] Q9R0R4 (APEL_MOUSE) Apln | Apelin | Mus musculus | Swiss-Prot
GO:0060976	coronary vasculature development	IEA	GO_REF:0000107	UniProtKB:Q9R0R4	Q9R0R4 (APEL_MOUSE) Apln | Apelin | Mus musculus | Swiss-Prot
GO:0060976	coronary vasculature development	IEA	GO_REF:0000107	ensembl:ENSMUSP00000046012	[1 hit(s)] Q9R0R4 (APEL_MOUSE) Apln | Apelin | Mus musculus | Swiss-Prot
GO:0060976	coronary vasculature development	ISS	GO_REF:0000024	UniProtKB:Q9R0R4	Q9R0R4 (APEL_MOUSE) Apln | Apelin | Mus musculus | Swiss-Prot
GO:1904022	positive regulation of G protein-coupled receptor internalization	IEA	GO_REF:0000120	UniProtKB:Q9R0R3	Q9R0R3 (APEL_RAT) Apln | Apelin | Rattus norvegicus | Swiss-Prot
GO:1904022	positive regulation of G protein-coupled receptor internalization	IEA	GO_REF:0000120	ensembl:ENSRNOP00000100018	[1 hit(s)] Q9R0R3 (APEL_RAT) Apln | Apelin | Rattus norvegicus | Swiss-Prot
GO:1904022	positive regulation of G protein-coupled receptor internalization	IEA	GO_REF:0000120	UniProtKB:Q9R0R4	Q9R0R4 (APEL_MOUSE) Apln | Apelin | Mus musculus | Swiss-Prot
GO:1904022	positive regulation of G protein-coupled receptor internalization	IEA	GO_REF:0000120	ensembl:ENSMUSP00000046012	[1 hit(s)] Q9R0R4 (APEL_MOUSE) Apln | Apelin | Mus musculus | Swiss-Prot
GO:0090278	negative regulation of peptide hormone secretion	ISS	PMID:15231996	UniProtKB:Q9R0R3	Q9R0R3 (APEL_RAT) Apln | Apelin | Rattus norvegicus | Swiss-Prot
