readout_class	proximity	convergence	total	reviewed	ACCEPT	KEEP_AS_NON_CORE	MODIFY	MARK_AS_OVER_ANNOTATED	REMOVE	UNDECIDED	NEW	PENDING	pct_removed_or_overann	pct_any_downgrade
UPR_ER_STRESS	phenotypic	high	28	28	13	7	0	4	1	0	3	0	18%	43%
OXIDATIVE_STRESS_ROS	phenotypic	high	10	10	3	4	0	3	0	0	0	0	30%	70%
APOPTOSIS_CASPASE	phenotypic	high	93	88	41	37	2	6	0	1	2	4	7%	51%
AUTOPHAGY_FLUX	phenotypic	high	219	219	136	34	21	13	0	0	15	0	6%	31%
MITO_MEMBRANE_POTENTIAL	phenotypic	high	226	226	141	31	14	32	4	0	4	0	16%	36%
CALCIUM_FLUX	phenotypic	high	29	29	15	8	0	3	1	0	2	0	14%	41%
IRON_PROBE	phenotypic	high	6	6	5	1	0	0	0	0	0	0	0%	17%
TRANSCRIPTIONAL_REPORTER	phenotypic	high	304	303	233	43	7	10	4	1	6	0	5%	21%
VIABILITY_PROLIFERATION	phenotypic	high	114	113	23	72	2	12	1	1	3	0	12%	77%
CELL_MIGRATION_INVASION	phenotypic	high	41	37	19	18	0	0	0	4	0	0	0%	49%
CELL_ADHESION_SPREADING	phenotypic	high	5	5	4	1	0	0	0	0	0	0	0%	20%
MEMBRANE_TRAFFICKING_ENDOCYTOSIS	phenotypic	high	15	15	7	8	0	0	0	0	0	0	0%	53%
SECRETION_DEGRANULATION	phenotypic	high	2	1	0	1	0	0	0	1	0	0	0%	100%
METABOLIC_FLUX	phenotypic	high	3	3	0	3	0	0	0	0	0	0	0%	100%
DNA_DAMAGE_FOCI	phenotypic	high	65	65	43	12	3	5	0	0	2	0	8%	31%
SENESCENCE	phenotypic	high	11	11	5	6	0	0	0	0	0	0	0%	55%
WNT_REPORTER	phenotypic	high	19	19	11	8	0	0	0	0	0	0	0%	42%
NFKB_REPORTER	phenotypic	high	7	6	2	4	0	0	0	1	0	0	0%	67%
HYPOXIA_HIF	phenotypic	high	3	3	3	0	0	0	0	0	0	0	0%	0%
CELL_DIFFERENTIATION	phenotypic	high	32	32	4	23	1	3	0	0	1	0	9%	84%
ANGIOGENESIS_TUBE	phenotypic	high	24	21	14	6	0	1	0	3	0	0	5%	33%
PHAGOCYTOSIS	phenotypic	high	16	16	9	3	3	0	0	0	1	0	0%	38%
CELL_CYCLE_FLOW	phenotypic	high	25	25	10	7	3	1	2	0	2	0	12%	52%
BARRIER_PERMEABILITY	phenotypic	high	8	8	7	0	0	0	0	0	1	0	0%	0%
PROTEIN_TURNOVER	phenotypic	high	38	38	22	10	4	0	1	0	1	0	3%	39%
REDOX_BALANCE	phenotypic	high	1	1	1	0	0	0	0	0	0	0	0%	0%
LIPID_PEROXIDATION	phenotypic	high	14	14	13	0	0	0	0	0	1	0	0%	0%
TRANSLATION_ASSAY	phenotypic	high	19	19	10	1	1	2	1	0	4	0	16%	26%
CYCLIC_NUCLEOTIDE_SIGNALING	phenotypic	high	23	23	15	3	4	1	0	0	0	0	4%	35%
CYTOTOXICITY_KILLING	phenotypic	high	3	3	0	3	0	0	0	0	0	0	0%	100%
CYTOKINE_PRODUCTION	phenotypic	high	8	8	0	8	0	0	0	0	0	0	0%	100%
HISTONE_MARK	phenotypic	high	20	20	16	4	0	0	0	0	0	0	0%	20%
ELECTROPHYSIOLOGY	molecular	low	57	56	45	2	6	1	0	1	2	0	2%	16%
KINASE_ACTIVITY_ASSAY	molecular	low	167	165	116	20	12	10	5	2	2	0	9%	28%
GTPASE_ACTIVITY	molecular	low	102	100	89	6	1	0	0	2	4	0	0%	7%
UBIQUITINATION_ASSAY	molecular	low	79	79	63	10	2	0	0	0	4	0	0%	15%
CHROMATIN_CHIP	molecular	low	212	211	187	5	11	1	2	1	5	0	1%	9%
PROTEASE_ACTIVITY	molecular	low	43	42	30	4	6	0	0	1	2	0	0%	24%
NUCLEASE_ACTIVITY	molecular	low	44	44	31	4	6	0	2	0	1	0	5%	27%
LIPID_TRANSFER_FLIPPASE	molecular	low	14	14	12	0	1	0	0	0	1	0	0%	7%
PROTEASOME_ACTIVITY	molecular	low	59	59	39	14	1	5	0	0	0	0	8%	34%
METHYLTRANSFERASE_ACTIVITY	molecular	low	27	27	16	8	1	1	0	0	1	0	4%	37%
ACETYLTRANSFERASE_DEACETYLASE	molecular	low	98	91	79	1	5	1	3	7	2	0	4%	11%
PHOSPHATASE_ACTIVITY	molecular	low	9	9	7	0	1	0	1	0	0	0	11%	22%
POLYMERASE_ACTIVITY	molecular	low	34	34	27	3	4	0	0	0	0	0	0%	21%
HELICASE_ACTIVITY	molecular	low	11	6	5	0	1	0	0	0	0	5	0%	17%
