readout_class	proximity	convergence	total	reviewed	ACCEPT	KEEP_AS_NON_CORE	MODIFY	MARK_AS_OVER_ANNOTATED	REMOVE	UNDECIDED	NEW	PENDING	pct_removed_or_overann	pct_any_downgrade
UPR_ER_STRESS	phenotypic	high	152	150	98	24	4	10	9	1	5	1	13%	31%
OXIDATIVE_STRESS_ROS	phenotypic	high	193	192	96	56	9	24	4	1	3	0	15%	48%
APOPTOSIS_CASPASE	phenotypic	high	989	942	439	271	34	103	77	20	18	27	19%	51%
AUTOPHAGY_FLUX	phenotypic	high	996	991	537	176	79	128	47	5	24	0	18%	43%
MITO_MEMBRANE_POTENTIAL	phenotypic	high	710	702	401	108	37	85	51	6	20	2	19%	40%
CALCIUM_FLUX	phenotypic	high	172	170	81	39	9	26	5	1	10	1	18%	46%
pH_PROBE	phenotypic	high	72	72	23	38	2	8	1	0	0	0	12%	68%
IRON_PROBE	phenotypic	high	34	34	17	6	4	6	0	0	1	0	18%	47%
TRANSCRIPTIONAL_REPORTER	phenotypic	high	2101	2073	1023	384	93	301	228	28	44	0	26%	49%
VIABILITY_PROLIFERATION	phenotypic	high	8077	7992	3617	1368	466	1461	842	77	238	8	29%	52%
CELL_MIGRATION_INVASION	phenotypic	high	539	530	267	131	21	49	48	9	14	0	18%	47%
CELL_ADHESION_SPREADING	phenotypic	high	85	83	45	17	2	8	8	2	3	0	19%	42%
MEMBRANE_TRAFFICKING_ENDOCYTOSIS	phenotypic	high	318	317	181	54	17	47	14	1	4	0	19%	42%
SECRETION_DEGRANULATION	phenotypic	high	207	206	107	62	10	13	5	1	9	0	9%	44%
METABOLIC_FLUX	phenotypic	high	373	372	198	43	27	78	18	1	8	0	26%	45%
DNA_DAMAGE_FOCI	phenotypic	high	443	438	242	66	12	60	37	5	21	0	22%	40%
SENESCENCE	phenotypic	high	57	57	35	13	0	6	3	0	0	0	16%	39%
WNT_REPORTER	phenotypic	high	115	113	40	47	3	12	7	2	4	0	17%	61%
NFKB_REPORTER	phenotypic	high	181	178	59	24	5	58	31	3	1	0	50%	66%
HYPOXIA_HIF	phenotypic	high	117	117	76	8	12	15	6	0	0	0	18%	35%
NOTCH_REPORTER	phenotypic	high	15	15	4	2	0	3	6	0	0	0	60%	73%
HIPPO_TEAD_REPORTER	phenotypic	high	1	1	1	0	0	0	0	0	0	0	0%	0%
IN_VITRO_ENZYME	molecular	low	6976	6924	3721	1051	468	948	492	50	244	2	21%	43%
DIRECT_BINDING	molecular	low	5131	5090	2862	553	468	661	327	25	219	16	19%	39%
RUBIDIUM_FLUX	molecular	low	1	1	0	1	0	0	0	0	0	0	0%	100%
