query_label	query_accession	target_label	target_accession	matches	aligned_residues	global_identity_percent	alignment_score
mobA_PP_3457	Q88HA3	PP_2483	Q88K10	59	183	32.24	45.80
mobA_PP_3457	Q88HA3	PP_4230	Q88F68	51	176	28.98	36.60
mobA_PP_3457	Q88HA3	E_coli_MobA	P32173	64	185	34.59	54.40
mobA_PP_3457	Q88HA3	E_coli_MocA	Q46810	53	171	30.99	32.70
PP_2483	Q88K10	PP_4230	Q88F68	90	187	48.13	84.20
PP_2483	Q88K10	E_coli_MobA	P32173	66	168	39.29	41.40
PP_2483	Q88K10	E_coli_MocA	Q46810	51	179	28.49	36.90
PP_4230	Q88F68	E_coli_MobA	P32173	50	174	28.74	35.80
PP_4230	Q88F68	E_coli_MocA	Q46810	63	159	39.62	39.70
E_coli_MobA	P32173	E_coli_MocA	Q46810	55	175	31.43	37.00
