id,name,entry_type,source_tax_id,source_tax_name,full_tax_name,gene,length,subfamily,subfamily_name,in_alphafold
O74515,Histone chaperone cia1,protein,284812,Schizosaccharomyces pombe (strain 972 / ATCC 24843),Schizosaccharomyces pombe (strain 972 / ATCC 24843) (Fission yeast),cia1,262,PTHR12040:SF0,HISTONE CHAPERONE ASF1,True
P0CM26,Histone chaperone ASF1,protein,214684,Cryptococcus deneoformans (strain JEC21 / ATCC MYA-565),Cryptococcus deneoformans (strain JEC21 / ATCC MYA-565),ASF1,208,PTHR12040:SF0,HISTONE CHAPERONE ASF1,True
P0CM27,Histone chaperone ASF1,protein,283643,Cryptococcus deneoformans (strain B-3501A),Cryptococcus deneoformans (strain B-3501A),ASF1,208,PTHR12040:SF0,HISTONE CHAPERONE ASF1,True
P32447,Histone chaperone ASF1,protein,559292,Saccharomyces cerevisiae (strain ATCC 204508 / S288c),Saccharomyces cerevisiae (strain ATCC 204508 / S288c) (Baker's yeast),ASF1,279,PTHR12040:SF0,HISTONE CHAPERONE ASF1,True
Q17603,Probable histone chaperone asf-1-like protein,protein,6239,Caenorhabditis elegans,Caenorhabditis elegans,asfl-1,245,PTHR12040:SF0,HISTONE CHAPERONE ASF1,True
Q17QJ0,Histone chaperone ASF1B,protein,9913,Bos taurus,Bos taurus (Bovine),ASF1B,202,PTHR12040:SF22,HISTONE CHAPERONE ASF1B,True
Q19326,Probable histone chaperone asf-1,protein,6239,Caenorhabditis elegans,Caenorhabditis elegans,unc-85,275,PTHR12040:SF0,HISTONE CHAPERONE ASF1,True
Q1E0W9,Histone chaperone ASF1,protein,246410,Coccidioides immitis (strain RS),Coccidioides immitis (strain RS) (Valley fever fungus),ASF1,272,PTHR12040:SF0,HISTONE CHAPERONE ASF1,True
Q2GQS2,Histone chaperone ASF1,protein,306901,Chaetomium globosum (strain ATCC 6205 / CBS 148.51 / DSM 1962 / NBRC 6347 / NRRL 1970),Chaetomium globosum (strain ATCC 6205 / CBS 148.51 / DSM 1962 / NBRC 6347 / NRRL 1970) (Soil fungus),ASF1,276,PTHR12040:SF0,HISTONE CHAPERONE ASF1,True
Q2KIG1,Histone chaperone ASF1A,protein,9913,Bos taurus,Bos taurus (Bovine),ASF1A,204,PTHR12040:SF8,HISTONE CHAPERONE ASF1A,True
Q2UKV7,Histone chaperone asf1,protein,510516,Aspergillus oryzae (strain ATCC 42149 / RIB 40),Aspergillus oryzae (strain ATCC 42149 / RIB 40) (Yellow koji mold),asf1,285,PTHR12040:SF0,HISTONE CHAPERONE ASF1,True
Q3C1E9,Histone chaperone ASF1,protein,9031,Gallus gallus,Gallus gallus (Chicken),ASF1,204,PTHR12040:SF8,HISTONE CHAPERONE ASF1A,True
Q4IR08,Histone chaperone ASF1,protein,229533,Gibberella zeae (strain ATCC MYA-4620 / CBS 123657 / FGSC 9075 / NRRL 31084 / PH-1),Gibberella zeae (strain ATCC MYA-4620 / CBS 123657 / FGSC 9075 / NRRL 31084 / PH-1) (Wheat head blight fungus),ASF1,279,PTHR12040:SF0,HISTONE CHAPERONE ASF1,True
Q4PBU8,Histone chaperone ASF1,protein,5270,Mycosarcoma maydis,Mycosarcoma maydis (Corn smut fungus),ASF1,174,PTHR12040:SF0,HISTONE CHAPERONE ASF1,True
Q4WXX5,Histone chaperone asf1,protein,330879,Aspergillus fumigatus (strain ATCC MYA-4609 / CBS 101355 / FGSC A1100 / Af293),Aspergillus fumigatus (strain ATCC MYA-4609 / CBS 101355 / FGSC A1100 / Af293),asf1,282,PTHR12040:SF0,HISTONE CHAPERONE ASF1,True
Q54N45,Histone chaperone asf1,protein,44689,Dictyostelium discoideum,Dictyostelium discoideum (Social amoeba),asf1,154,PTHR12040:SF0,HISTONE CHAPERONE ASF1,True
Q59MV1,Histone chaperone ASF1,protein,237561,Candida albicans (strain SC5314 / ATCC MYA-2876),Candida albicans (strain SC5314 / ATCC MYA-2876) (Yeast),ASF1,247,PTHR12040:SF0,HISTONE CHAPERONE ASF1,True
Q5B3I9,Histone chaperone asf1,protein,227321,Emericella nidulans (strain FGSC A4 / ATCC 38163 / CBS 112.46 / NRRL 194 / M139),Emericella nidulans (strain FGSC A4 / ATCC 38163 / CBS 112.46 / NRRL 194 / M139),asf1,279,PTHR12040:SF0,HISTONE CHAPERONE ASF1,True
Q69DB9,Histone chaperone asf1a-A,protein,8355,Xenopus laevis,Xenopus laevis (African clawed frog),asf1aa,201,PTHR12040:SF8,HISTONE CHAPERONE ASF1A,True
Q6BYE5,Histone chaperone ASF1,protein,284592,Debaryomyces hansenii (strain ATCC 36239 / CBS 767 / BCRC 21394 / JCM 1990 / NBRC 0083 / IGC 2968),Debaryomyces hansenii (strain ATCC 36239 / CBS 767 / BCRC 21394 / JCM 1990 / NBRC 0083 / IGC 2968) (Yeast),ASF1,264,PTHR12040:SF0,HISTONE CHAPERONE ASF1,True
Q6CI62,Histone chaperone ASF1,protein,284591,Yarrowia lipolytica (strain CLIB 122 / E 150),Yarrowia lipolytica (strain CLIB 122 / E 150) (Yeast),ASF1,265,PTHR12040:SF0,HISTONE CHAPERONE ASF1,True
Q6CN69,Histone chaperone ASF1,protein,284590,Kluyveromyces lactis (strain ATCC 8585 / CBS 2359 / DSM 70799 / NBRC 1267 / NRRL Y-1140 / WM37),Kluyveromyces lactis (strain ATCC 8585 / CBS 2359 / DSM 70799 / NBRC 1267 / NRRL Y-1140 / WM37) (Yeast),ASF1,277,PTHR12040:SF0,HISTONE CHAPERONE ASF1,True
