Citation,Type,Stance,Claim,Key_finding,Context,Confidence_limits
UniProt K9IFT7,database,qualifies,GO:0031731 provenance,Term = IEA:TreeGrafter graft to PANTHER SF9 'beta-defensin 1',D. rotundus TrEMBL,weakest GO tier
this analysis (Needleman-Wunsch),structural/evolutionary,supports-orthology,Closest human relative,Mature %id DEFB1 59.1 > hBD3 53.7 > DEFB118 52.3 > hBD2 40.9,in silico,simple global alignment; moderate margin
PMID 23411029,localization/expression,qualifies/competing,Documented function,Bat accessory submandibular-gland antimicrobial (w/ lysozyme lactotransferrin); no CCR6 assay,D. rotundus glands,primary source; silent on CCR6
PMID 10521347,direct binding,supports-family,Beta-defensin-CCR6 binding,hBD competitively displaced 125I-LARC/CCL20 on CCR6; PTX-sensitive chemotaxis,CCR6 transfectants/iDC/memory T cells,peptide mainly hBD-2
PMID 25122636,direct interaction,supports,DEFB1-CCR6 binding,Human DEFB1 interacts with CCR6 and triggers Ca2+,human sperm,closest ortholog; non-salivary context
PMID 20022113,mutant/structure-function,supports-plausibility,CCR6 determinant,N-term Leu/Ile essential; K9IFT7 mature N-term=Leu,Defb14 peptides,determinant present is not proof
PMID 17705135,direct assay,competing/refutes-family,Is CCR6 a real beta-defensin receptor,'CCR6 is not a functional receptor for beta-defensins',CCR6 transfectants,direct conflict
PMID 20483750,direct interaction,qualifies/competing,Receptor exclusivity,hBD2/3 (+mouse orthologs) bind CCR2 not only CCR6,HEK293-CCR2/monocytes,multiple receptors
PMID 15009427,direct assay,qualifies,hBD1 vs hBD2 usage,'hBD-2 but not hBD-1' chemoattracts neutrophils via CCR6,TNF-treated neutrophils,receptor use varies by defensin/cell
PubMed (0 hits),absence,qualifies,Bat defensin function,No functional study of any chiropteran beta-defensin,Chiroptera,annotation = pure homology transfer
