pmid	severity	flags	publication_types	comments_corrections	notice_pmids	title	journal	year	n_citing_genes	citing_genes	citation_sites	used_as_annotation_evidence	already_flagged_is_invalid	annotation_details
PMID:16616141	RETRACTED	RETRACTED	Comparative Study;Journal Article;Research Support, Non-U.S. Gov't;Retracted Publication	RetractionIn:40963457	40963457	Evidence that low doses of Taxol enhance the functional transactivatory properties of p53 on p21 waf promoter in MCF-7 breast cancer cells.	FEBS Lett	2006	1	human/TP53	annotation;reference;supporting_text	True	False	human/TP53 GO:0005515 protein binding [IPI] action=REMOVE
PMID:19225519	RETRACTED	RETRACTED	Journal Article;Research Support, N.I.H., Extramural;Research Support, Non-U.S. Gov't;Retracted Publication	CommentIn:19225511;RetractionIn:38110576	38110576	APP binds DR6 to trigger axon pruning and neuron death via distinct caspases.	Nature	2009	1	human/TNFRSF21	reference	False	True	
PMID:22483618	RETRACTED	RETRACTED	Journal Article;Research Support, Non-U.S. Gov't;Retracted Publication	CommentIn:22578539;RetractionIn:27392148	27392148	Lysyl oxidase-like 2 deaminates lysine 4 in histone H3.	Mol Cell	2012	1	human/LOXL2	reference;supporting_text	False	True	
PMID:27782176	RETRACTED	RETRACTED	Journal Article;Research Support, N.I.H., Extramural;Research Support, Non-U.S. Gov't;Retracted Publication	RetractionIn:42642456	42642456	Functional kinomics establishes a critical node of volume-sensitive cation-Cl- cotransporter regulation in the mammalian brain.	Sci Rep	2016	1	mouse/Mtor	annotation;reference	True	False	mouse/Mtor GO:0044325 transmembrane transporter binding [IPI] action=KEEP_AS_NON_CORE
PMID:29371969	RETRACTED	RETRACTED;ERRATUM	Journal Article;Retracted Publication	ErratumIn:29873327;RetractionIn:42664430	42664430	MiR-124 acts as a target for Alzheimer's disease by regulating BACE1.	Oncotarget	2017	1	human/BACE1	annotation;reference	True	False	human/BACE1 GO:0043525 positive regulation of neuron apoptotic process [IGI] action=KEEP_AS_NON_CORE
PMID:31638206	RETRACTED	RETRACTED	Journal Article;Retracted Publication	RetractionIn:41645757	41645757	MicroRNA‑4500 suppresses tumor progression in non‑small cell lung cancer by regulating STAT3.	Mol Med Rep	2019	1	human/STAT3	annotation;reference;supporting_text	True	False	human/STAT3 GO:0030335 positive regulation of cell migration [IMP] action=UNDECIDED
PMID:32125225	RETRACTED	RETRACTED	Journal Article;Retracted Publication	RetractionIn:35078223	35078223	Actin‑like protein 8 executes a promoting function in the malignant progression of endometrial cancer: identification of a promising biomarker.	Biosci Biotechnol Biochem	2020	1	human/ACTL8	reference	False	True	
PMID:14730064	EXPRESSION_OF_CONCERN	EXPRESSION_OF_CONCERN;ERRATUM	Comparative Study;Journal Article;Research Support, Non-U.S. Gov't	ErratumIn:41206053;ExpressionOfConcernIn:38739113	38739113	Calcium sensors and their interacting protein kinases: genomics of the Arabidopsis and rice CBL-CIPK signaling networks.	Plant Physiol	2004	1	ARATH/CIPK24	annotation;reference	True	False	ARATH/CIPK24 GO:0005515 protein binding [IPI] action=MARK_AS_OVER_ANNOTATED
PMID:19033661	EXPRESSION_OF_CONCERN	EXPRESSION_OF_CONCERN	Journal Article;Research Support, N.I.H., Extramural;Research Support, Non-U.S. Gov't	ExpressionOfConcernIn:40955656	40955656	AIP1 functions as an endogenous inhibitor of VEGFR2-mediated signaling and inflammatory angiogenesis in mice.	J Clin Invest	2008	2	human/DAB2IP;human/VEGFA	annotation;reference;supporting_text	True	False	human/DAB2IP GO:0010596 negative regulation of endothelial cell migration [IMP] action=ACCEPT;human/DAB2IP GO:0016525 negative regulation of angiogenesis [IDA] action=ACCEPT;human/DAB2IP GO:0017124 SH3 domain binding [IDA] action=ACCEPT;human/DAB2IP GO:0030948 negative regulation of vascular endothelial growth factor receptor signaling pathway [IMP] action=ACCEPT;human/DAB2IP GO:0035148 tube formation [IMP] action=KEEP_AS_NON_CORE;human/DAB2IP GO:0035924 cellular response to vascular endothelial growth factor stimulus [IDA] action=ACCEPT;human/DAB2IP GO:0043184 vascular endothelial growth factor receptor 2 binding [IPI] action=ACCEPT;human/DAB2IP GO:0043548 phosphatidylinositol 3-kinase binding [IDA] action=ACCEPT;human/VEGFA GO:0001934 positive regulation of protein phosphorylation [IDA] action=ACCEPT;human/VEGFA GO:0010595 positive regulation of endothelial cell migration [IDA] action=ACCEPT;human/VEGFA GO:0031334 positive regulation of protein-containing complex assembly [IDA] action=KEEP_AS_NON_CORE;human/VEGFA GO:0035148 tube formation [IDA] action=ACCEPT;human/VEGFA GO:0045766 positive regulation of angiogenesis [IDA] action=ACCEPT
PMID:19624469	EXPRESSION_OF_CONCERN	EXPRESSION_OF_CONCERN;ERRATUM	Journal Article;Research Support, Non-U.S. Gov't	ErratumIn:38976380;ExpressionOfConcernIn:41995107	41995107	Modulation of drought resistance by the abscisic acid receptor PYL5 through inhibition of clade A PP2Cs.	Plant J	2009	1	ARATH/PYR1	annotation;reference;supporting_text	True	False	ARATH/PYR1 GO:0005515 protein binding [IPI] action=REMOVE;ARATH/PYR1 GO:0009738 abscisic acid-activated signaling pathway [IDA] action=ACCEPT;ARATH/PYR1 GO:0038023 signaling receptor activity [IDA] action=ACCEPT
PMID:20208519	EXPRESSION_OF_CONCERN	EXPRESSION_OF_CONCERN	Journal Article;Research Support, N.I.H., Extramural;Research Support, Non-U.S. Gov't	ExpressionOfConcernIn:41699183	41699183	Transcription-independent ARF regulation in oncogenic stress-mediated p53 responses.	Nature	2010	1	human/MYC	annotation;reference;supporting_text	True	False	human/MYC GO:0005515 protein binding [IPI] action=REMOVE
PMID:20473329	EXPRESSION_OF_CONCERN	EXPRESSION_OF_CONCERN	Journal Article;Research Support, N.I.H., Extramural;Research Support, Non-U.S. Gov't	ExpressionOfConcernIn:37264082	37264082	SIRPalpha1 receptors interfere with the EGFRvIII signalosome to inhibit glioblastoma cell transformation and migration.	Oncogene	2010	2	human/EGFR;human/PTPN11	annotation;reference;supporting_text	True	False	human/EGFR GO:0005515 protein binding [IPI] action=REMOVE;human/PTPN11 GO:0005515 protein binding [IPI] action=MARK_AS_OVER_ANNOTATED
PMID:22689054	EXPRESSION_OF_CONCERN	EXPRESSION_OF_CONCERN	Journal Article	ExpressionOfConcernIn:41912777	41912777	GRP78 regulates clusterin stability, retrotranslocation and mitochondrial localization under ER stress in prostate cancer.	Oncogene	2013	1	human/CLU	annotation;reference;supporting_text	True	False	human/CLU GO:0005515 protein binding [IPI] action=MARK_AS_OVER_ANNOTATED;human/CLU GO:0005737 cytoplasm [IDA] action=KEEP_AS_NON_CORE;human/CLU GO:0005739 mitochondrion [IDA] action=KEEP_AS_NON_CORE;human/CLU GO:0005829 cytosol [IDA] action=KEEP_AS_NON_CORE;human/CLU GO:0043231 intracellular membrane-bounded organelle [IDA] action=KEEP_AS_NON_CORE;human/CLU GO:0099020 perinuclear endoplasmic reticulum lumen [IDA] action=KEEP_AS_NON_CORE
PMID:24147005	EXPRESSION_OF_CONCERN	EXPRESSION_OF_CONCERN	Journal Article;Research Support, Non-U.S. Gov't	ExpressionOfConcernIn:31600315	31600315	The coordination of cell growth during fission yeast mating requires Ras1-GTP hydrolysis.	PLoS One	2013	1	SCHPO/cdc42	annotation;reference;supporting_text	True	False	SCHPO/cdc42 GO:1902917 positive regulation of mating projection assembly [IMP] action=KEEP_AS_NON_CORE
PMID:24608080	EXPRESSION_OF_CONCERN	EXPRESSION_OF_CONCERN	Journal Article;Research Support, Non-U.S. Gov't	ExpressionOfConcernIn:34217526	34217526	MicroRNA-27a/b regulates cellular cholesterol efflux, influx and esterification/hydrolysis in THP-1 macrophages.	Atherosclerosis	2014	1	human/LPL	annotation;reference	True	False	human/LPL GO:0010884 positive regulation of lipid storage [TAS] action=KEEP_AS_NON_CORE;human/LPL GO:0043495 protein-membrane adaptor activity [TAS] action=KEEP_AS_NON_CORE
PMID:25084135	EXPRESSION_OF_CONCERN	EXPRESSION_OF_CONCERN	Comparative Study;Journal Article;Research Support, Non-U.S. Gov't	ExpressionOfConcernIn:34217524	34217524	MicroRNA-19b promotes macrophage cholesterol accumulation and aortic atherosclerosis by targeting ATP-binding cassette transporter A1.	Atherosclerosis	2014	1	human/ABCA1	annotation;reference	True	False	human/ABCA1 GO:0033344 cholesterol efflux [IMP] action=ACCEPT
PMID:25446899	EXPRESSION_OF_CONCERN	EXPRESSION_OF_CONCERN	Journal Article;Research Support, N.I.H., Extramural;Research Support, Non-U.S. Gov't;Research Support, U.S. Gov't, Non-P.H.S.	CommentIn:25525233;ExpressionOfConcernIn:40930611	40930611	Cancer exosomes perform cell-independent microRNA biogenesis and promote tumorigenesis.	Cancer Cell	2014	1	human/AGO2	annotation;reference	True	False	human/AGO2 GO:0005515 protein binding [IPI] action=MARK_AS_OVER_ANNOTATED
PMID:25465408	EXPRESSION_OF_CONCERN	EXPRESSION_OF_CONCERN	Journal Article;Research Support, Non-U.S. Gov't	CommentIn:25465403;ExpressionOfConcernIn:40828150	40828150	C2-domain abscisic acid-related proteins mediate the interaction of PYR/PYL/RCAR abscisic acid receptors with the plasma membrane and regulate abscisic acid sensitivity in Arabidopsis.	Plant Cell	2014	1	ARATH/PYR1	annotation;reference;supporting_text	True	False	ARATH/PYR1 GO:0005515 protein binding [IPI] action=REMOVE;ARATH/PYR1 GO:0005634 nucleus [EXP] action=ACCEPT;ARATH/PYR1 GO:0005886 plasma membrane [EXP] action=KEEP_AS_NON_CORE
