token	kind	accession	entry_name	gene	protein	organism	status	length	n_hits	go_id	go_name	evidence	reference
MGI:MGI:108176	mod-id	O55103	PRAX_MOUSE	Prx	Periaxin	Mus musculus	Swiss-Prot	1391	5	GO:0005634	nucleus	IBA	GO_REF:0000033
MGI:MGI:1316648	mod-id	E9Q616	E9Q616_MOUSE	Ahnak	AHNAK nucleoprotein	Mus musculus	TrEMBL	5656	5	GO:0005634	nucleus	IBA	GO_REF:0000033
PANTHER:PTN001156025	panther-node				PANTHER tree node (not a protein)					GO:0005634	nucleus	IBA	GO_REF:0000033
RGD:619960	mod-id	Q63425	PRAX_RAT	Prx	Periaxin	Rattus norvegicus	Swiss-Prot	1383	3	GO:0005634	nucleus	IBA	GO_REF:0000033
UniProtKB:Q9BXM0	protein	Q9BXM0	PRAX_HUMAN	PRX	Periaxin	Homo sapiens	Swiss-Prot	1461	1	GO:0005634	nucleus	IBA	GO_REF:0000033
MGI:MGI:108176	mod-id	O55103	PRAX_MOUSE	Prx	Periaxin	Mus musculus	Swiss-Prot	1391	5	GO:0005737	cytoplasm	IBA	GO_REF:0000033
MGI:MGI:1316648	mod-id	E9Q616	E9Q616_MOUSE	Ahnak	AHNAK nucleoprotein	Mus musculus	TrEMBL	5656	5	GO:0005737	cytoplasm	IBA	GO_REF:0000033
MGI:MGI:2144831	mod-id	A0A7N9VR94	A0A7N9VR94_MOUSE	Ahnak2	AHNAK nucleoprotein 2	Mus musculus	TrEMBL	3501	3	GO:0005737	cytoplasm	IBA	GO_REF:0000033
PANTHER:PTN001156025	panther-node				PANTHER tree node (not a protein)					GO:0005737	cytoplasm	IBA	GO_REF:0000033
RGD:619960	mod-id	Q63425	PRAX_RAT	Prx	Periaxin	Rattus norvegicus	Swiss-Prot	1383	3	GO:0005737	cytoplasm	IBA	GO_REF:0000033
UniProtKB:Q09666	protein	Q09666	AHNK_HUMAN	AHNAK	Neuroblast differentiation-associated protein AHNAK	Homo sapiens	Swiss-Prot	5890	1	GO:0005737	cytoplasm	IBA	GO_REF:0000033
UniProtKB:Q8IVF2	protein	Q8IVF2	AHNK2_HUMAN	AHNAK2	Protein AHNAK2	Homo sapiens	Swiss-Prot	5795	1	GO:0005737	cytoplasm	IBA	GO_REF:0000033
UniProtKB:Q9BXM0	protein	Q9BXM0	PRAX_HUMAN	PRX	Periaxin	Homo sapiens	Swiss-Prot	1461	1	GO:0005737	cytoplasm	IBA	GO_REF:0000033
MGI:MGI:108176	mod-id	O55103	PRAX_MOUSE	Prx	Periaxin	Mus musculus	Swiss-Prot	1391	5	GO:0043484	regulation of RNA splicing	IBA	GO_REF:0000033
MGI:MGI:1316648	mod-id	E9Q616	E9Q616_MOUSE	Ahnak	AHNAK nucleoprotein	Mus musculus	TrEMBL	5656	5	GO:0043484	regulation of RNA splicing	IBA	GO_REF:0000033
PANTHER:PTN001156025	panther-node				PANTHER tree node (not a protein)					GO:0043484	regulation of RNA splicing	IBA	GO_REF:0000033
UniProtKB-SubCell:SL-0191	uniprotkb-subcell				not a protein identifier					GO:0005634	nucleus	IEA	GO_REF:0000044
ARBA:ARBA00026971	arba				not a protein identifier					GO:0005737	cytoplasm	IEA	GO_REF:0000117
ARBA:ARBA00027801	arba				not a protein identifier					GO:0005886	plasma membrane	IEA	GO_REF:0000117
UniProtKB:O75923	protein	O75923	DYSF_HUMAN	DYSF	Dysferlin	Homo sapiens	Swiss-Prot	2080	1	GO:0005515	protein binding	IPI	PMID:17185750
UniProtKB:Q9NZM1	protein	Q9NZM1	MYOF_HUMAN	MYOF	Myoferlin	Homo sapiens	Swiss-Prot	2061	1	GO:0005515	protein binding	IPI	PMID:17185750
