propagated_term	propagated_name	donor_token	donor_acc	donor_gene	donor_organism	donor_term	donor_term_name	donor_evidence	donor_reference	experimental
GO:0005634	nucleus	MGI:MGI:108176	O55103	Prx	Mus musculus	GO:0005634		IBA	GO_REF:0000033	no
GO:0005634	nucleus	MGI:MGI:108176	O55103	Prx	Mus musculus	GO:0005634		ISO	GO_REF:0000096	no
GO:0005634	nucleus	MGI:MGI:108176	O55103	Prx	Mus musculus	GO:0005634		ISO	GO_REF:0000119	no
GO:0005634	nucleus	MGI:MGI:108176	O55103	Prx	Mus musculus	GO:0005634		IEA	GO_REF:0000120	no
GO:0005634	nucleus	MGI:MGI:108176	O55103	Prx	Mus musculus	GO:0005634		EXP	PMID:10671475	yes
GO:0005634	nucleus	MGI:MGI:108176	O55103	Prx	Mus musculus	GO:0005634		IDA	PMID:15282162	yes
GO:0005634	nucleus	MGI:MGI:1316648	E9Q616	Ahnak	Mus musculus	GO:0005634		IBA	GO_REF:0000033	no
GO:0005634	nucleus	MGI:MGI:1316648	E9Q616	Ahnak	Mus musculus	GO:0005634		IEA	GO_REF:0000044	no
GO:0005634	nucleus	MGI:MGI:1316648	E9Q616	Ahnak	Mus musculus	GO:0005634		IDA	PMID:21940993	yes
GO:0005634	nucleus	RGD:619960	Q63425	Prx	Rattus norvegicus	GO:0005634		IBA	GO_REF:0000033	no
GO:0005634	nucleus	RGD:619960	Q63425	Prx	Rattus norvegicus	GO:0005634		IEA	GO_REF:0000120	no
GO:0005634	nucleus	RGD:619960	Q63425	Prx	Rattus norvegicus	GO:0005634		ISO	GO_REF:0000121	no
GO:0005634	nucleus	RGD:619960	Q63425	Prx	Rattus norvegicus	GO:0005634		ISO	GO_REF:0000121	no
GO:0005634	nucleus	RGD:619960	Q63425	Prx	Rattus norvegicus	GO:0005634		EXP	PMID:10671475	yes
GO:0005634	nucleus	RGD:619960	Q63425	Prx	Rattus norvegicus	GO:0016607		ISO	GO_REF:0000121	no
GO:0005634	nucleus	UniProtKB:Q9BXM0	Q9BXM0	PRX	Homo sapiens	GO:0005634		IBA	GO_REF:0000033	no
GO:0005634	nucleus	UniProtKB:Q9BXM0	Q9BXM0	PRX	Homo sapiens	GO:0005634		IEA	GO_REF:0000120	no
