citation,evidence_type,stance,claim,key_finding,context,confidence
PMID 10488122 (Bandoh 1999 JBC),Direct assay (heterologous Sf9),Supports (conditional),Human LPAR2/EDG4 activates adenylate cyclase (raises cAMP),LPA raised forskolin-stimulated cAMP in EDG4- and EDG7-Sf9 cells (not EDG2); PTX-insensitive; LPA alone ineffective,Sf9 insect cells overexpression +5uM forskolin/0.5mM IBMX,Moderate; heterologous forskolin-primed likely Gq/PKC->AC-II potentiation not canonical Gs
UniProt/QuickGO Q9HBW0 IBA source (GO_REF:0000033 PTN002733616),Structural/evolutionary (annotation provenance),Qualifies/Competing (over-propagation),Basis of the GO:0007189 IBA on LPAR2,IBA withFrom = MC1R/MC2R/MC3R/MC4R/MC5R (Gs cAMP-activating melanocortin receptors) + GPR3; NO LPA receptor among sources; LPAR3 shares identical IBA/withFrom,PANTHER PTHR22750 (MECA family); QuickGO queried 2026-09-21,High; direct DB read - annotation inherited from melanocortin receptors not LPA data
PMID 16203867 (Li 2005 J Exp Med),Direct assay + mutant (native intestine),Competing (Gi/cAMP inhibition),LPAR2 cAMP-relevant G-protein coupling in native epithelium,"LPA inhibited CFTR-dependent iodide efflux through LPA2-mediated Gi pathway; reduced CTX-induced fluid secretion; LPA2 peptide reversible",Human/mouse intestinal epithelial cells apical CFTR complex,High; direct native evidence of Gi (AC-inhibiting) coupling opposite to GO:0007189
PMID 21299497 (Zhang 2011),Mutant/perturbation (native epithelia),Competing (cAMP-lowering),LPAR2 raises or lowers local cAMP,Disrupting LPA2-NHERF2 elevates cAMP near CFTR = intact LPA2 signaling LOWERS cAMP,Human airway epithelia CFTR complex,Moderate-high; opposite direction to GO:0007189
PMID 19221439 (Singh 2009),Mutant phenotype (mouse),Competing (Gi-type inhibition),LPAR2 inhibits cAMP-dependent secretion,LPA inhibited forskolin-stimulated HCO3- secretion (WT); lost in Nherf2-/-; NHERF2 couples LPA receptor inhibitory signal to CFTR,Mouse duodenum in vivo,Moderate-high; native inhibitory (cAMP-lowering) role
PMID 21134377 (Lee 2011),Interaction (native colon cancer),Competing (Gq/G12),LPAR2 G-protein coupling,LPA2 couples to Gaq via NHERF-2 and Ga12 via MAGI-3; no Gs/cAMP-up,Human HCT116/SW480 colon cancer,Moderate-high; Gq/G12 core not Gs
PMID 10727522 (Im 2000 Mol Pharmacol),Direct assay (mammalian RH7777/HEK293T),Qualifies (paralog LPAR3),EDG7/LPAR3 cAMP coupling in mammalian cells,EDG7-RH7777 show NO inhibition of forskolin cAMP; HEK293T+Gi2a give LPA-dependent GTPgammaS (Gi EC50 195nM),Rat hepatoma RH7777 HEK293T membranes concerns LPAR3 not LPAR2,High for LPAR3; does not directly test LPAR2 AC activation
PMID 10729222 (Contos & Chun 2000),Sequence/genomic,Qualifies (construct artifact),Early EDG4 clone construct integrity,Initial ovarian-tumor EDG4 cDNA has G-deletion frameshift near 3' end altering C-terminus,Human/mouse genomic vs cDNA comparison,High; assay results are construct-dependent
PMID 16769764 (Oz-Arslan 2006),Pharmacology (native cells),Competing (Gi-dominant physiology),LPAR2 native signaling uses Gi,DCs express LPA2; PTX and PKC/Rho inhibitors block LPL-induced ERK/cytokines,Human dendritic cells,Moderate; supports Gi/Gq/Rho dominance not AC activation
PMID 16504475 (Kim 2006),Genetic/pharmacology,Competing (Gq-dominant),LPA receptors incl. LPA2 couple to Gq,Gq inhibitor peptide attenuates LPA-induced proliferation/ERK/Akt in LPA1/LPA2 VSMC,Mouse/rat vascular smooth muscle,Moderate; Gq core not Gs
PMID 16904289 (Zhang 2007),Interaction,Competing (G12/13-Rho scaffolding),LPA2 C-terminal PDZ motif routes to Rho/ERK,LPA2 C-terminus binds MAGI-3/NHERF2/PDZ-RhoGEF; regulates ERK/RhoA,SW480 colon cancer,Moderate; C-terminus-dependent Gq/G12-13 not AC activation
