"Entry"	"Entry Name"	"Gene Names (primary)"	"Gene Names"	"Protein names"	"Length"	"Organism (ID)"	"Reviewed"	"Ensembl"
"A1A4G5"	"LNP1_HUMAN"	"LNP1"	"LNP1 NP3"	"Leukemia NUP98 fusion partner 1"	"178"	"9606"	"reviewed"	"ENST00000383693.8;ENST00000884269.1;ENST00000884271.1;ENST00000941632.1;"
"Q9C0E8"	"LNP_HUMAN"	"LNPK"	"LNPK KIAA1715 LNP"	"Endoplasmic reticulum junction formation protein lunapark (ER junction formation factor lunapark)"	"428"	"9606"	"reviewed"	"ENST00000272748.9 [Q9C0E8-1];ENST00000409660.5 [Q9C0E8-3];ENST00000544803.5 [Q9C0E8-4];ENST00000878296.1 [Q9C0E8-1];"
"P07948"	"LYN_HUMAN"	"LYN"	"LYN JTK8"	"Tyrosine-protein kinase Lyn (EC 2.7.10.2) (Lck/Yes-related novel protein tyrosine kinase) (V-yes-1 Yamaguchi sarcoma viral related oncogene homolog) (p53Lyn) (p56Lyn)"	"512"	"9606"	"reviewed"	"ENST00000519728.6 [P07948-1];ENST00000520220.6 [P07948-2];ENST00000862997.1 [P07948-2];ENST00000862999.1 [P07948-1];ENST00000967493.1 [P07948-1];ENST00000967494.1 [P07948-2];ENST00000967495.1 [P07948-1];"
"P27348"	"1433T_HUMAN"	"YWHAQ"	"YWHAQ"	"14-3-3 protein theta (14-3-3 protein T-cell) (14-3-3 protein tau) (Protein HS1)"	"245"	"9606"	"reviewed"	"ENST00000238081.8;ENST00000381844.8;ENST00000862425.1;ENST00000862427.1;"
"P31946"	"1433B_HUMAN"	"YWHAB"	"YWHAB"	"14-3-3 protein beta/alpha (Protein 1054) (Protein kinase C inhibitor protein 1) (KCIP-1) [Cleaved into: 14-3-3 protein beta/alpha, N-terminally processed]"	"246"	"9606"	"reviewed"	"ENST00000353703.9 [P31946-1];ENST00000372839.7 [P31946-1];ENST00000879921.1 [P31946-1];ENST00000879922.1 [P31946-1];ENST00000879924.1 [P31946-1];ENST00000879925.1 [P31946-1];ENST00000879928.1 [P31946-1];ENST00000879929.1 [P31946-1];ENST00000879930.1 [P31946-1];ENST00000920367.1 [P31946-1];ENST00000920369.1 [P31946-1];ENST00000920370.1 [P31946-1];ENST00000957069.1 [P31946-1];ENST00000957070.1 [P31946-1];ENST00000957071.1 [P31946-1];ENST00000957072.1 [P31946-1];ENST00000957073.1 [P31946-1];ENST00000957074.1 [P31946-1];ENST00000957075.1 [P31946-1];ENST00000957076.1 [P31946-1];ENST00000957077.1 [P31946-1];"
"P61981"	"1433G_HUMAN"	"YWHAG"	"YWHAG"	"14-3-3 protein gamma (Protein kinase C inhibitor protein 1) (KCIP-1) [Cleaved into: 14-3-3 protein gamma, N-terminally processed]"	"247"	"9606"	"reviewed"	"ENST00000307630.5;"
"P62258"	"1433E_HUMAN"	"YWHAE"	"YWHAE"	"14-3-3 protein epsilon (14-3-3E)"	"255"	"9606"	"reviewed"	"ENST00000264335.13 [P62258-1];ENST00000571732.5 [P62258-2];ENST00000616643.3 [P62258-2];ENST00000627231.2 [P62258-1];"
"P63104"	"1433Z_HUMAN"	"YWHAZ"	"YWHAZ"	"14-3-3 protein zeta/delta (Protein kinase C inhibitor protein 1) (KCIP-1)"	"245"	"9606"	"reviewed"	"ENST00000353245.7 [P63104-1];ENST00000395951.7 [P63104-1];ENST00000395953.6 [P63104-1];ENST00000395956.7 [P63104-1];ENST00000395957.6 [P63104-1];ENST00000395958.6 [P63104-1];ENST00000419477.6 [P63104-1];ENST00000457309.2 [P63104-1];ENST00000522542.5 [P63104-2];ENST00000908384.1 [P63104-1];ENST00000908385.1 [P63104-1];ENST00000908386.1 [P63104-1];ENST00000908387.1 [P63104-1];ENST00000908388.1 [P63104-1];ENST00000936696.1 [P63104-1];ENST00000936697.1 [P63104-1];ENST00000936698.1 [P63104-1];"
"E7ESK7"	"E7ESK7_HUMAN"	"YWHAZ"	"YWHAZ"	"Tyrosine 3-monooxygenase/tryptophan 5-monooxygenase activation protein zeta"	"137"	"9606"	"unreviewed"	"ENST00000521328.5;"
"Q04917"	"1433F_HUMAN"	"YWHAH"	"YWHAH YWHA1"	"14-3-3 protein eta (Protein AS1)"	"246"	"9606"	"reviewed"	"ENST00000248975.6;"
"P31947"	"1433S_HUMAN"	"SFN"	"SFN HME1"	"14-3-3 protein sigma (Epithelial cell marker protein 1) (Stratifin)"	"248"	"9606"	"reviewed"	"ENST00000339276.6 [P31947-1];"
"O60269"	"GRIN2_HUMAN"	"GPRIN2"	"GPRIN2 KIAA0514"	"G protein-regulated inducer of neurite outgrowth 2 (GRIN2)"	"458"	"9606"	"reviewed"	"ENST00000374314.6;ENST00000374317.2;ENST00000889306.1;ENST00000889307.1;ENST00000889308.1;ENST00000889309.1;ENST00000889310.1;ENST00000889311.1;ENST00000889312.1;ENST00000889313.1;ENST00000889314.1;ENST00000889315.1;ENST00000889316.1;ENST00000889317.1;ENST00000889318.1;ENST00000889319.1;ENST00000889320.1;ENST00000889321.1;ENST00000912560.1;ENST00000912561.1;ENST00000912562.1;ENST00000912563.1;ENST00000912564.1;ENST00000912565.1;ENST00000912566.1;ENST00000912567.1;ENST00000912568.1;ENST00000912569.1;ENST00000912570.1;ENST00000943943.1;ENST00000943944.1;ENST00000943945.1;ENST00000943946.1;ENST00000943947.1;ENST00000943948.1;ENST00000943949.1;ENST00000943950.1;ENST00000943951.1;ENST00000943952.1;ENST00000943953.1;ENST00000943954.1;ENST00000943955.1;"
"P04406"	"G3P_HUMAN"	"GAPDH"	"GAPDH GAPD CDABP0047 OK/SW-cl.12"	"Glyceraldehyde-3-phosphate dehydrogenase (GAPDH) (EC 1.2.1.12) (Peptidyl-cysteine S-nitrosylase GAPDH) (EC 2.6.99.-)"	"335"	"9606"	"reviewed"	"ENST00000229239.10 [P04406-1];ENST00000396858.5 [P04406-2];ENST00000396859.5 [P04406-1];ENST00000396861.5 [P04406-1];ENST00000619601.1 [P04406-2];ENST00000889643.1 [P04406-1];ENST00000889645.1 [P04406-1];ENST00000889651.1 [P04406-1];ENST00000920777.1 [P04406-1];"
