"accession_a"	"accession_b"	"gene_a"	"gene_b"	"detection_method"	"publication_ids"	"interaction_type"	"interaction_ids"	"confidence"	"expansion_method"	"experimental_role_a"	"experimental_role_b"	"interaction_annotation"	"host_organism"	"features_a"	"features_b"
"A1A4G5"	"P04406"	"LNP1"	"GAPDH"	"psi-mi:""MI:0030""(cross-linking study)"	"pubmed:30021884|imex:IM-26653|doi:10.1074/mcp.ra118.000924"	"psi-mi:""MI:0915""(physical association)"	"intact:EBI-20927136|imex:IM-26653-1613"	"intact-miscore:0.40"	"-"	"psi-mi:""MI:0497""(neutral component)"	"psi-mi:""MI:0497""(neutral component)"	"figure legend:Table S2-white|comment:""\""interaction detected in:  TX100 unsoluble fraction (fractionated nuclei)\""""|curation depth:imex curation|full coverage:Only protein-protein interactions"	"taxid:9606(human-u2os)|taxid:9606(Homo sapiens U2OS osteosarcoma cell)"	"-"	"-"
"intact:EBI-22320813"	"A1A4G5"	"""ccsb orf id: 6830"""	"LNP1"	"psi-mi:""MI:1356""(validated two hybrid)"	"pubmed:32296183|imex:IM-25472"	"psi-mi:""MI:0915""(physical association)"	"intact:EBI-24325206|imex:IM-25472-115417"	"intact-miscore:0.56"	"-"	"psi-mi:""MI:0497""(neutral component)"	"psi-mi:""MI:0497""(neutral component)"	"figure legend:Supplementary Table 9|curation depth:imex curation|full coverage:Only protein-protein interactions"	"taxid:4932(yeasx)|taxid:4932(""Saccharomyces cerevisiae (Baker's yeast)"")"	"-"	"-"
"A1A4G5"	"intact:EBI-22320813"	"LNP1"	"""ccsb orf id: 6830"""	"psi-mi:""MI:1112""(two hybrid prey pooling approach)"	"pubmed:32296183|imex:IM-25472"	"psi-mi:""MI:0915""(physical association)"	"intact:EBI-22395574|imex:IM-25472-4641"	"author score:0.869562163071|intact-miscore:0.56"	"-"	"psi-mi:""MI:0496""(bait)"	"psi-mi:""MI:0498""(prey)"	"figure legend:Supplementary Table 9|curation depth:imex curation|full coverage:Only protein-protein interactions"	"taxid:4932(yeasx)|taxid:4932(""Saccharomyces cerevisiae (Baker's yeast)"")"	"gal4 dna binding domain:n-n"	"gal4 activation domain:n-n"
"A1A4G5"	"intact:EBI-22320813"	"LNP1"	"""ccsb orf id: 6830"""	"psi-mi:""MI:0397""(two hybrid array)"	"pubmed:32296183|imex:IM-25472"	"psi-mi:""MI:0915""(physical association)"	"intact:EBI-22853155|imex:IM-25472-29634"	"author score:0.869562163071|intact-miscore:0.56"	"-"	"psi-mi:""MI:0496""(bait)"	"psi-mi:""MI:0498""(prey)"	"figure legend:Supplementary Table 9|curation depth:imex curation|full coverage:Only protein-protein interactions"	"taxid:4932(yeasx)|taxid:4932(""Saccharomyces cerevisiae (Baker's yeast)"")"	"gal4 dna binding domain:n-n"	"gal4 activation domain:n-n"
"A1A4G5"	"P15104"	"LNP1"	"GLUL"	"psi-mi:""MI:0007""(anti tag coimmunoprecipitation)"	"pubmed:33961781|imex:IM-29278|doi:10.1016/j.cell.2021.04.011"	"psi-mi:""MI:0914""(association)"	"intact:EBI-54755854|imex:IM-29278-11851"	"intact-miscore:0.35"	"psi-mi:""MI:1060""(spoke expansion)"	"psi-mi:""MI:0496""(bait)"	"psi-mi:""MI:0498""(prey)"	"figure legend:Supplementary Table 1|curation depth:imex curation|full coverage:Only protein-protein interactions"	"taxid:9606(human-293t)|taxid:9606(Homo sapiens HEK293T embryonic kidney cell)"	"tandem tag:c-c"	"-"
"A1A4G5"	"P27348"	"LNP1"	"YWHAQ"	"psi-mi:""MI:0007""(anti tag coimmunoprecipitation)"	"pubmed:33961781|imex:IM-29278|doi:10.1016/j.cell.2021.04.011"	"psi-mi:""MI:0914""(association)"	"intact:EBI-54755854|imex:IM-29278-11851"	"intact-miscore:0.35"	"psi-mi:""MI:1060""(spoke expansion)"	"psi-mi:""MI:0496""(bait)"	"psi-mi:""MI:0498""(prey)"	"figure legend:Supplementary Table 1|curation depth:imex curation|full coverage:Only protein-protein interactions"	"taxid:9606(human-293t)|taxid:9606(Homo sapiens HEK293T embryonic kidney cell)"	"tandem tag:c-c"	"-"
"A1A4G5"	"P31946"	"LNP1"	"YWHAB"	"psi-mi:""MI:0007""(anti tag coimmunoprecipitation)"	"pubmed:33961781|imex:IM-29278|doi:10.1016/j.cell.2021.04.011"	"psi-mi:""MI:0914""(association)"	"intact:EBI-54755854|imex:IM-29278-11851"	"intact-miscore:0.35"	"psi-mi:""MI:1060""(spoke expansion)"	"psi-mi:""MI:0496""(bait)"	"psi-mi:""MI:0498""(prey)"	"figure legend:Supplementary Table 1|curation depth:imex curation|full coverage:Only protein-protein interactions"	"taxid:9606(human-293t)|taxid:9606(Homo sapiens HEK293T embryonic kidney cell)"	"tandem tag:c-c"	"-"
"A1A4G5"	"P61981"	"LNP1"	"YWHAG"	"psi-mi:""MI:0007""(anti tag coimmunoprecipitation)"	"pubmed:33961781|imex:IM-29278|doi:10.1016/j.cell.2021.04.011"	"psi-mi:""MI:0914""(association)"	"intact:EBI-54755854|imex:IM-29278-11851"	"intact-miscore:0.35"	"psi-mi:""MI:1060""(spoke expansion)"	"psi-mi:""MI:0496""(bait)"	"psi-mi:""MI:0498""(prey)"	"figure legend:Supplementary Table 1|curation depth:imex curation|full coverage:Only protein-protein interactions"	"taxid:9606(human-293t)|taxid:9606(Homo sapiens HEK293T embryonic kidney cell)"	"tandem tag:c-c"	"-"
"A1A4G5"	"P62258"	"LNP1"	"YWHAE"	"psi-mi:""MI:0007""(anti tag coimmunoprecipitation)"	"pubmed:33961781|imex:IM-29278|doi:10.1016/j.cell.2021.04.011"	"psi-mi:""MI:0914""(association)"	"intact:EBI-54755854|imex:IM-29278-11851"	"intact-miscore:0.35"	"psi-mi:""MI:1060""(spoke expansion)"	"psi-mi:""MI:0496""(bait)"	"psi-mi:""MI:0498""(prey)"	"figure legend:Supplementary Table 1|curation depth:imex curation|full coverage:Only protein-protein interactions"	"taxid:9606(human-293t)|taxid:9606(Homo sapiens HEK293T embryonic kidney cell)"	"tandem tag:c-c"	"-"
"A1A4G5"	"P63104"	"LNP1"	"YWHAZ"	"psi-mi:""MI:0007""(anti tag coimmunoprecipitation)"	"pubmed:33961781|imex:IM-29278|doi:10.1016/j.cell.2021.04.011"	"psi-mi:""MI:0914""(association)"	"intact:EBI-54755854|imex:IM-29278-11851"	"intact-miscore:0.35"	"psi-mi:""MI:1060""(spoke expansion)"	"psi-mi:""MI:0496""(bait)"	"psi-mi:""MI:0498""(prey)"	"figure legend:Supplementary Table 1|curation depth:imex curation|full coverage:Only protein-protein interactions"	"taxid:9606(human-293t)|taxid:9606(Homo sapiens HEK293T embryonic kidney cell)"	"tandem tag:c-c"	"-"
